#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  174.1  2322.0  0.007603288762108145
11.0  182.6  2418.0  0.007933473388119481
12.0  190.8  2508.0  0.008263776376451629
13.0  198.6  2593.0  0.008572630868059117
14.0  206.0  2673.0  0.008902808545621994
15.0  213.3  2748.0  0.009233092656309694
16.0  220.3  2820.0  0.009513148795220224
17.0  227.1  2888.0  0.009843271813782245
18.0  233.6  2953.0  0.010152339631828714
20.0  246.3  3075.0  0.010669582934679312
22.5  261.2  3213.0  0.011329607230614836
25.0  275.3  3338.0  0.011968709203585823
27.5  288.8  3454.0  0.012579745625409124
30.0  301.6  3560.0  0.013191285001848761
32.5  313.9  3658.0  0.013736447866897759
35.0  325.8  3750.0  0.014254122210785203
37.5  337.2  3835.0  0.014866068747318507
40.0  348.3  3916.0  0.015411035007422441
45.0  369.4  4063.0  0.016446884203398526
50.0  389.4  4194.0  0.017388789492083688
55.0  408.4  4313.0  0.018451558199783565
60.0  426.6  4421.0  0.019393555630672785
65.0  444.0  4520.0  0.020315757431117354
70.0  460.7  4611.0  0.02116341182323871
80.0  492.6  4773.0  0.022933599804653433
90.0  522.4  4913.0  0.02467873578609731
100.0  550.7  5035.0  0.02635469597623923
110.0  577.6  5144.0  0.027910929758788047
120.0  603.3  5240.0  0.029586990384288837
130.0  627.9  5326.0  0.03114353865571477
140.0  651.6  5404.0  0.03268118724893574
150.0  674.5  5474.0  0.03414293484749078
160.0  696.6  5538.0  0.03560477496067065
170.0  718.0  5596.0  0.03714296703280447
180.0  738.8  5649.0  0.03860492196598771
200.0  778.8  5742.0  0.04139601430089617
225.0  826.0  5838.0  0.04491614409096133
250.0  870.7  5916.0  0.04843665967013002
275.0  913.2  5981.0  0.05184361098534709
300.0  953.8  6033.0  0.0551507026247173
325.0  992.8  6077.0  0.05846246659182283
350.0  1030.0  6112.0  0.061752165953916145
375.0  1066.0  6141.0  0.06494636248474583
400.0  1101.0  6164.0  0.06825445040435092
450.0  1168.0  6197.0  0.07462640283438564
500.0  1289.0  6214.0  0.08092051655791627
550.0  1404.0  6221.0  0.0871188268975197
600.0  1493.0  6219.0  0.0931829383524688
650.0  1565.0  6210.0  0.09934394797872692
700.0  1624.0  6195.0  0.1052921174637494
800.0  1716.0  6154.0  0.11731074119619227
900.0  1789.0  6102.0  0.12931055641362002
1000.0  1853.0  6042.0  0.14129189644137416
1100.0  1911.0  5978.0  0.15329432474817847
1200.0  1967.0  5911.0  0.16535909409524474
1300.0  2023.0  5842.0  0.17732833952868335
1400.0  2079.0  5773.0  0.18949245367560155
1500.0  2135.0  5703.0  0.2015417078423223
1600.0  2192.0  5634.0  0.21370776775774902
1700.0  2249.0  5566.0  0.22595304822019993
1800.0  2307.0  5499.0  0.23810212094813438
2000.0  2424.0  5367.0  0.26258196815470786
2250.0  2572.0  5210.0  0.29327758182309127
2500.0  2719.0  5062.0  0.32404200345017004
2750.0  2863.0  4922.0  0.35488992659696617
3000.0  3005.0  4790.0  0.38559525412017204
3250.0  3142.0  4665.0  0.4163847499608986
3500.0  3274.0  4548.0  0.44717743681898803
3750.0  3401.0  4437.0  0.4778286512966756
4000.0  3524.0  4332.0  0.5085779487944793
4500.0  3752.0  4139.0  0.5698486114750128
5000.0  3960.0  3965.0  0.6308438554824799
5500.0  4150.0  3807.0  0.6916764416979951
6000.0  4322.0  3663.0  0.7523774651064451
6500.0  4479.0  3532.0  0.812946763324635
7000.0  4623.0  3411.0  0.8733701735232319
8000.0  4875.0  3197.0  0.9939923842766605
9000.0  5090.0  3012.0  1.1180098613160798
10000.0  5280.0  2850.0  1.2389884947004148
11000.0  5450.0  2708.0  1.3500384327862671
12000.0  5607.0  2581.0  1.470859344057072
13000.0  5757.0  2468.0  1.5916067887515435
14000.0  5902.0  2365.0  1.7123048589547363
15000.0  6046.0  2272.0  1.8329431251405484
16000.0  6190.0  2187.0  1.9436535622378799
17000.0  6337.0  2109.0  2.0641907857560065
18000.0  6487.0  2038.0  2.174794521328394
20000.0  6801.0  1910.0  2.4058586346666337
22500.0  7223.0  1774.0  2.6870393540102833
25000.0  7678.0  1659.0  2.948132013665602
27500.0  8163.0  1559.0  3.208948999283099
30000.0  8675.0  1473.0  3.4596172114845305
