#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.7698  9.695  0.00017320508075688773
0.0012  0.7698  10.28  0.0002449489742783178
0.0013000000000000002  0.8012  10.85  0.0002449489742783178
0.0014  0.8315  11.41  0.0002449489742783178
0.0015  0.8607  11.95  0.0002449489742783178
0.0016  0.8889  12.48  0.0002449489742783178
0.0017  0.9162  12.99  0.0002449489742783178
0.0018000000000000002  0.9428  13.5  0.0002449489742783178
0.002  0.9938  14.48  0.0002449489742783178
0.0022500000000000003  1.054  15.65  0.0002449489742783178
0.00249999  1.111  16.78  0.0002449489742783178
0.00274999  1.165  17.87  0.0002449489742783178
0.00299999  1.217  18.91  0.0002449489742783178
0.00324999  1.267  19.93  0.0002449489742783178
0.00349999  1.315  20.91  0.00033166247903554
0.00374999  1.361  21.87  0.00033166247903554
0.00399999  1.405  22.8  0.00033166247903554
0.004499990000000001  1.491  24.6  0.00033166247903554
0.00499999  1.571  26.32  0.00033166247903554
0.005499990000000001  1.648  27.98  0.00033166247903554
0.00599999  1.721  29.57  0.00033166247903554
0.006499990000000001  1.792  31.11  0.0003741657386773942
0.00699999  1.859  32.6  0.0003741657386773942
0.00799999  1.988  35.45  0.0003741657386773942
0.008999990000000001  2.108  38.16  0.000458257569495584
0.00999999  2.222  40.74  0.000458257569495584
0.0109999  2.331  43.22  0.000458257569495584
0.0119999  2.434  45.59  0.0004898979485566356
0.0129999  2.534  47.88  0.0004898979485566356
0.013999900000000001  2.629  50.1  0.0004898979485566356
0.0149999  2.722  52.25  0.0004898979485566356
0.0159999  2.811  54.33  0.0005744562646538029
0.016999900000000002  2.897  56.35  0.0005744562646538029
0.0179999  2.981  58.32  0.0005744562646538029
0.0199999  3.143  62.12  0.0005744562646538029
0.0224999  3.333  66.63  0.0006164414002968976
0.024999900000000002  3.514  70.91  0.0006164414002968976
0.0274999  3.685  74.99  0.0007000000000000001
0.0299999  3.849  78.89  0.0007000000000000001
0.0324999  4.006  82.64  0.0007000000000000001
0.0349999  4.157  86.26  0.0007000000000000001
0.037499899999999996  4.303  89.75  0.0007000000000000001
0.0399999  4.444  93.12  0.0007874007874011811
0.044999899999999995  4.714  99.56  0.0008602325267042626
0.0499999  4.969  105.7  0.0008602325267042626
0.0549999  5.212  111.4  0.0008602325267042626
0.059999899999999995  5.443  117.0  0.0009433981132056604
0.0649999  5.666  122.2  0.0009433981132056604
0.0699999  5.879  127.3  0.0009433981132056604
0.0799999  6.285  136.9  0.0010295630140987001
0.0899999  6.667  145.8  0.001072380529476361
0.0999999  7.027  154.2  0.0011874342087037917
0.11  7.37  162.2  0.0011874342087037917
0.12  7.698  169.7  0.0011874342087037917
0.13  8.012  176.9  0.0012727922061357855
0.13999899999999998  8.315  183.8  0.0013152946437965905
0.149999  8.607  190.3  0.0013152946437965905
0.159999  8.889  196.7  0.0014000000000000002
0.169999  9.162  202.8  0.0014000000000000002
0.179999  9.428  208.6  0.0014317821063276354
0.199999  9.938  219.8  0.0015588457268119896
0.224999  10.54  232.8  0.0016431676725154984
0.249999  11.11  244.9  0.0016431676725154984
0.27499900000000005  11.65  256.3  0.0017720045146669351
0.299999  12.17  267.0  0.0018867962264113207
0.32499900000000004  12.67  277.1  0.0018867962264113207
0.349999  13.15  286.7  0.001972308292331602
0.374999  13.61  295.9  0.0020149441679609887
0.39999900000000005  14.05  304.6  0.0021000000000000003
0.44999900000000004  14.91  320.9  0.002215851980616034
0.499999  15.71  336.0  0.002343074902771996
0.549999  16.48  350.1  0.002428991560298224
0.5999990000000001  17.21  363.2  0.0025865034312755127
0.649999  17.92  375.5  0.0026720778431774776
0.699999  18.59  387.1  0.0027586228448267447
0.799999  19.88  408.5  0.0029154759474226506
0.899999  21.08  427.9  0.0031288975694324034
0.9999990000000001  22.22  445.5  0.003331666249791537
1.1  23.31  461.8  0.003458323293158117
1.2  24.34  476.9  0.0037013511046643495
1.3  25.34  490.9  0.0037881393849751623
1.4  26.29  504.0  0.003915354390090379
1.5  27.22  516.2  0.0041182520563948005
1.6  28.11  527.8  0.004244997055358225
1.7  28.97  538.7  0.004361192497471305
1.8  29.81  549.0  0.004574931693479149
2.0  31.43  568.2  0.004817675788178362
2.25  33.33  589.7  0.005147815070493501
2.5  35.14  608.9  0.005449770637375485
2.75  36.85  626.3  0.005780138406647371
3.0  38.49  642.1  0.006110646446980876
3.25  40.06  656.6  0.006352952069707436
3.5  41.57  669.9  0.006683561924602779
3.75  43.03  682.2  0.006986415389883429
4.0  44.44  693.6  0.00722841614740048
4.5  47.14  714.1  0.007773673520286276
5.0  49.69  732.1  0.008309632964216891
5.5  52.12  748.0  0.008854942122905152
6.0  54.43  762.2  0.009400531899844819
6.5  56.66  774.8  0.009937303457175896
7.0  58.79  786.3  0.010393267051317406
8.0  62.85  806.0  0.011359577456930342
9.0  66.67  822.5  0.012326394444443193
10.0  70.27  836.2  0.013319534526401439
11.0  73.7  847.9  0.014286707108357756
12.0  76.98  857.8  0.015129771974487918
13.0  80.12  866.3  0.01609751533622503
14.0  83.15  873.5  0.016974687036879356
15.0  86.07  879.8  0.01781852968120546
16.0  88.89  885.1  0.018695721435665436
17.0  91.63  889.7  0.019663926362758787
18.0  94.28  893.5  0.020508291006322298
20.0  99.38  899.6  0.02223015969353347
22.5  105.4  904.7  0.02438257574580668
25.0  111.1  907.6  0.026527344382730817
27.5  116.5  908.9  0.028672460654781618
30.0  121.7  908.9  0.030793992920698027
32.5  126.7  907.8  0.03291610548044832
35.0  131.5  905.9  0.03506194518277616
37.5  136.1  903.4  0.03718467426238934
40.0  140.5  900.4  0.039307760048112636
45.0  149.1  893.2  0.04354698611844452
50.0  157.1  884.8  0.04779476958831374
55.0  164.8  875.8  0.05210623763044114
60.0  172.1  866.2  0.0563478482286591
65.0  179.2  856.5  0.06069044405835238
70.0  185.9  846.6  0.06500438446751111
80.0  198.8  826.7  0.07372774240406388
90.0  210.8  807.2  0.08259624688810019
100.0  231.8  788.3  0.09138900371488903
110.0  263.4  770.1  0.1003054335517274
120.0  291.3  752.6  0.10898050284339857
130.0  315.9  735.9  0.11763031071964404
140.0  337.7  720.0  0.12630859036502626
150.0  357.3  704.7  0.1348209553444864
160.0  374.9  690.2  0.14347546828639382
170.0  390.9  676.3  0.15196529209000326
180.0  405.6  663.0  0.1605771154305619
200.0  431.8  638.2  0.17777947013083376
225.0  459.7  610.0  0.19928399333614327
250.0  483.8  584.5  0.2209194196986766
275.0  505.1  561.5  0.24254389293486656
300.0  524.2  540.5  0.26433845728535227
325.0  541.8  521.2  0.2861986198429336
350.0  558.2  503.5  0.30823048194492386
375.0  573.7  487.2  0.3301546758717799
400.0  588.6  472.1  0.35221598487291855
450.0  617.0  444.9  0.39646979708421676
500.0  644.6  421.2  0.44064653635311835
550.0  671.7  400.3  0.484860691333088
600.0  698.8  381.7  0.528709570558355
650.0  726.0  365.0  0.572306936879154
700.0  753.4  349.9  0.6155399662085316
800.0  809.2  323.7  0.7006620654780734
900.0  866.0  301.7  0.7836793604529853
1000.0  923.9  282.9  0.8641724422822102
1100.0  982.7  266.6  0.9422214707806228
1200.0  1042.0  252.3  1.0177753042788964
1300.0  1102.0  239.6  1.093473936589254
1400.0  1162.0  228.4  1.1639516914374066
1500.0  1221.0  218.3  1.2343112127822544
1600.0  1281.0  209.1  1.294774459124059
1700.0  1341.0  200.8  1.3551272781550816
1800.0  1400.0  193.2  1.4252204355818086
2000.0  1517.0  179.8  1.5357738277493858
2250.0  1661.0  165.8  1.6761061183588586
2500.0  1800.0  154.0  1.8063006394285532
2750.0  1935.0  144.0  1.926431166691403
3000.0  2066.0  135.3  2.0365294841960915
3250.0  2192.0  127.7  2.1464958071237876
3500.0  2313.0  121.0  2.256345443410649
3750.0  2430.0  115.1  2.356250347480081
4000.0  2543.0  109.7  2.44619525181454
4500.0  2757.0  100.6  2.625965186364816
5000.0  2956.0  92.95  2.795680081840553
5500.0  3140.0  86.51  2.9454547305976373
6000.0  3313.0  80.98  3.0951532902265115
6500.0  3473.0  76.18  3.2447910210058213
7000.0  3623.0  71.97  3.3745323009270485
8000.0  3894.0  64.91  3.6340230626675996
9000.0  4132.0  59.22  3.873547238643154
10000.0  4341.0  54.53  4.113002568683856
