#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  72.99  751.4  0.01175967686630887
11.0  76.56  764.8  0.01254033492375702
12.0  79.96  776.6  0.01332103599574748
13.0  83.23  786.9  0.014009996431120175
14.0  86.37  796.0  0.01479087556569928
15.0  89.4  804.2  0.015571769327857385
16.0  92.33  811.4  0.016352675622050356
17.0  95.17  817.9  0.0170428870793654
18.0  97.93  823.7  0.017747675904185314
20.0  103.2  833.7  0.019257466084612485
22.5  109.5  843.4  0.021024271687742242
25.0  115.4  850.9  0.02270110129487114
27.5  121.0  856.6  0.024468142553124052
30.0  126.4  860.9  0.026184155514356388
32.5  131.6  864.0  0.027823371470761773
35.0  136.6  866.1  0.02962870230030333
37.5  141.4  867.5  0.031345494094048035
40.0  146.0  868.2  0.03298499658935862
45.0  154.8  868.1  0.03634198673710617
50.0  163.2  866.5  0.03969949621846605
55.0  171.2  863.6  0.04305740354457059
60.0  178.8  859.9  0.04641562237005985
65.0  186.1  855.6  0.04973720941106367
70.0  193.1  850.9  0.053095950881399616
80.0  206.5  840.4  0.059764621641904506
90.0  219.0  829.2  0.06647691328574154
100.0  240.9  817.6  0.07314731710732801
110.0  273.0  806.0  0.07981309416380247
120.0  300.5  794.4  0.08627224350855842
130.0  324.4  783.0  0.09273214113779538
140.0  345.8  771.9  0.09910892997101725
150.0  365.1  760.9  0.10548672902313354
160.0  383.0  750.3  0.11186536550693427
170.0  399.6  740.0  0.11816196511568348
180.0  415.2  729.9  0.12445971235705151
200.0  443.7  710.7  0.13709288821817125
225.0  475.1  688.3  0.15288145734522549
250.0  503.0  667.5  0.16863149172085265
275.0  528.1  648.1  0.1844701330839223
300.0  551.1  630.1  0.20023888233807138
325.0  572.3  613.3  0.21604865192821734
350.0  592.2  597.5  0.23190864580692114
375.0  611.1  582.7  0.24777542250998183
400.0  629.2  568.8  0.26365509666987286
450.0  663.4  543.4  0.29543134566257523
500.0  696.0  520.6  0.3272827676490163
550.0  727.6  500.0  0.35900030640655445
600.0  758.5  481.3  0.39063756859779886
650.0  789.1  464.3  0.42218295796964617
700.0  819.5  448.7  0.4535573833595921
800.0  880.4  421.0  0.5155576980319468
900.0  941.5  397.1  0.5764718379938434
1000.0  1003.0  376.3  0.6360350540654186
1100.0  1065.0  357.9  0.6943454903720482
1200.0  1127.0  341.6  0.7512124067133078
1300.0  1190.0  326.9  0.8066903433164426
1400.0  1253.0  313.7  0.8606336967607067
1500.0  1316.0  301.6  0.9132330753975132
1600.0  1379.0  290.6  0.9644547941712976
1700.0  1442.0  280.5  1.0143604191804805
1800.0  1505.0  271.2  1.0629524354363182
2000.0  1631.0  254.6  1.1525410751899474
2250.0  1788.0  236.9  1.2654767520582906
2500.0  1943.0  221.9  1.3680113742217204
2750.0  2096.0  208.9  1.4695464402324958
3000.0  2247.0  197.5  1.5610259959398498
3250.0  2394.0  187.5  1.65188532592308
3500.0  2539.0  178.5  1.7328500021640652
3750.0  2680.0  170.5  1.8133364166640453
4000.0  2818.0  163.3  1.893460672947817
4500.0  3083.0  150.7  2.0434854538263787
5000.0  3335.0  140.2  2.1736473357009873
5500.0  3573.0  131.2  2.303131611523753
6000.0  3798.0  123.4  2.4225903347450224
6500.0  4010.0  116.6  2.541676737903544
7000.0  4211.0  110.6  2.650905824430585
8000.0  4581.0  100.4  2.859168928202739
9000.0  4912.0  92.13  3.057239187567764
10000.0  5210.0  85.24  3.2452808106541413
