#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  150.8  1893.0  0.007877816956492452
11.0  158.1  1971.0  0.008205485969764377
12.0  165.2  2044.0  0.008533463540673273
13.0  171.9  2113.0  0.008905054744357275
14.0  178.4  2177.0  0.009233092656309694
15.0  184.7  2238.0  0.009561380653441217
16.0  190.7  2296.0  0.009932774033471214
17.0  196.6  2351.0  0.010176443386566841
18.0  202.3  2403.0  0.01047377677822093
20.0  213.2  2501.0  0.01104581368664165
22.5  226.2  2612.0  0.01174563748802082
25.0  238.4  2714.0  0.012445481107614923
27.5  250.0  2806.0  0.013103053079339944
30.0  261.2  2892.0  0.013802898246382896
32.5  271.8  2971.0  0.014345033983926284
35.0  282.1  3044.0  0.014917439458566608
37.5  292.0  3113.0  0.015575942989109842
40.0  301.6  3178.0  0.016118622769951532
45.0  319.9  3296.0  0.017275126627611156
50.0  337.2  3402.0  0.018390758548792924
55.0  353.6  3497.0  0.019379628479411055
60.0  369.3  3583.0  0.02040906661266017
65.0  384.4  3662.0  0.021438516739737384
70.0  398.9  3735.0  0.022398883900766126
80.0  426.5  3865.0  0.024302263269086688
90.0  452.4  3976.0  0.026205915362757317
100.0  476.8  4074.0  0.02798320925126352
110.0  500.1  4160.0  0.02976088036332259
120.0  522.3  4237.0  0.031510474448982834
130.0  543.7  4305.0  0.03328873683395031
140.0  564.2  4367.0  0.0349509656518958
150.0  584.0  4423.0  0.03657553827355108
160.0  603.1  4473.0  0.03823820079449346
170.0  621.7  4519.0  0.03977499214330532
180.0  639.7  4561.0  0.041437905352466844
200.0  674.3  4634.0  0.044601008957197374
225.0  715.3  4710.0  0.04846328507231015
250.0  753.9  4772.0  0.05229894836418798
275.0  790.7  4822.0  0.05600973129733797
300.0  825.9  4863.0  0.05972118552071786
325.0  859.6  4896.0  0.06343319320355867
350.0  892.1  4924.0  0.06705602135528174
375.0  923.4  4946.0  0.07070714249635605
400.0  953.7  4963.0  0.07430457590216097
450.0  1042.0  4988.0  0.0813661477519982
500.0  1115.0  5000.0  0.08840339360001968
550.0  1173.0  5004.0  0.09535156002918882
600.0  1221.0  5001.0  0.102241185439137
650.0  1264.0  4992.0  0.10919111685480647
700.0  1304.0  4980.0  0.11608290141101747
800.0  1376.0  4945.0  0.1297204301565486
900.0  1442.0  4902.0  0.14336164061561238
1000.0  1503.0  4854.0  0.15709697641902598
1100.0  1560.0  4801.0  0.17090260384207143
1200.0  1615.0  4747.0  0.18458672758354
1300.0  1667.0  4692.0  0.19845669552826886
1400.0  1716.0  4636.0  0.21220504235290924
1500.0  1764.0  4581.0  0.2261168060980873
1600.0  1811.0  4525.0  0.2400849016493957
1700.0  1856.0  4471.0  0.25400068897544353
1800.0  1900.0  4417.0  0.2679795887749662
2000.0  1984.0  4312.0  0.29618092443639915
2250.0  2085.0  4187.0  0.3316892220136193
2500.0  2180.0  4069.0  0.3673839136380362
2750.0  2270.0  3957.0  0.40328518445388
3000.0  2357.0  3852.0  0.43935180664246737
3250.0  2440.0  3753.0  0.4756483890438398
3500.0  2520.0  3660.0  0.5121396782128876
3750.0  2596.0  3572.0  0.5486747852781282
4000.0  2671.0  3489.0  0.5854700760927068
4500.0  2812.0  3335.0  0.659251803182972
5000.0  2945.0  3196.0  0.7333061434353323
5500.0  3070.0  3070.0  0.8076081599389645
6000.0  3190.0  2956.0  0.8820921833912826
6500.0  3305.0  2851.0  0.9565640909003432
7000.0  3416.0  2755.0  1.031132042950853
8000.0  3629.0  2584.0  1.1772318887967657
9000.0  3832.0  2436.0  1.3312151779483286
10000.0  4030.0  2306.0  1.4752900257237558
11000.0  4224.0  2192.0  1.6189897868732837
12000.0  4415.0  2091.0  1.7623286980583388
13000.0  4604.0  2000.0  1.9053558119154546
14000.0  4793.0  1918.0  2.048079148861196
15000.0  4981.0  1843.0  2.190529913057569
16000.0  5170.0  1775.0  2.3230703842113782
17000.0  5359.0  1712.0  2.4553456986746287
18000.0  5548.0  1655.0  2.5873819393355904
20000.0  5929.0  1552.0  2.8508545806477046
22500.0  6411.0  1442.0  3.154909722955635
25000.0  6896.0  1349.0  3.448129060809644
27500.0  7384.0  1269.0  3.7306572396831097
30000.0  7873.0  1199.0  4.002661339658903
