#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  185.2  2287.0  0.007469270379361026
11.0  194.3  2378.0  0.007777531742140306
12.0  202.9  2463.0  0.008077747210701756
13.0  211.2  2543.0  0.008408329203831163
14.0  219.2  2618.0  0.00871665073293636
15.0  226.9  2688.0  0.009047098982546837
16.0  234.3  2755.0  0.009377632963600144
17.0  241.5  2819.0  0.00968607247546703
18.0  248.5  2879.0  0.009986991538997118
20.0  262.0  2991.0  0.010532805893967665
22.5  277.9  3119.0  0.011142710621747296
25.0  292.9  3234.0  0.011781765572273114
27.5  307.2  3340.0  0.012442266674525186
30.0  320.9  3436.0  0.013052585950684257
32.5  334.0  3525.0  0.013691603266235844
35.0  346.6  3608.0  0.014208800090085018
37.5  358.7  3685.0  0.014726167186338747
40.0  370.5  3758.0  0.015365220467015762
45.0  393.0  3889.0  0.01640030487521497
50.0  414.2  4006.0  0.01746310396235446
55.0  434.4  4111.0  0.01840461898546123
60.0  453.8  4205.0  0.019440421806123445
65.0  472.3  4292.0  0.020382345301755637
70.0  490.1  4370.0  0.021350878202078715
80.0  524.0  4510.0  0.023214435164354095
90.0  555.7  4629.0  0.024984195004042056
100.0  585.8  4732.0  0.02667976761517986
110.0  614.4  4822.0  0.028424285391193214
120.0  641.7  4902.0  0.030100000000000002
130.0  667.9  4972.0  0.03165596310333964
140.0  693.1  5034.0  0.03331215994197915
150.0  717.5  5090.0  0.034868467130058936
160.0  741.0  5141.0  0.03644955418108704
170.0  763.8  5186.0  0.038006052149624804
180.0  785.9  5226.0  0.03954339388570485
200.0  828.5  5296.0  0.04256700600230183
225.0  878.7  5366.0  0.04629524813628284
250.0  926.3  5421.0  0.050028891652724033
275.0  971.5  5464.0  0.05364410498833959
300.0  1015.0  5497.0  0.05716432453899898
325.0  1056.0  5522.0  0.060707824866321806
350.0  1096.0  5540.0  0.0642101238123709
375.0  1134.0  5553.0  0.0677083451282041
400.0  1172.0  5561.0  0.07121151592263712
450.0  1265.0  5567.0  0.07804492296107417
500.0  1351.0  5561.0  0.08485664381767641
550.0  1425.0  5547.0  0.0915555022923254
600.0  1491.0  5526.0  0.09823339554347085
650.0  1551.0  5501.0  0.10493359805133912
700.0  1605.0  5471.0  0.11161294727763442
800.0  1705.0  5405.0  0.1248771396213094
900.0  1794.0  5333.0  0.13812639139570687
1000.0  1877.0  5257.0  0.15135683004080128
1100.0  1955.0  5179.0  0.16457268910727563
1200.0  2029.0  5101.0  0.17779012908482855
1300.0  2100.0  5024.0  0.1911214012087605
1400.0  2168.0  4948.0  0.2044182721774157
1500.0  2233.0  4873.0  0.21779772726086932
1600.0  2297.0  4800.0  0.23119398781110206
1700.0  2358.0  4729.0  0.24457219792936402
1800.0  2418.0  4660.0  0.25803336993497566
2000.0  2533.0  4527.0  0.28499270166093726
2250.0  2670.0  4371.0  0.3188473145566699
2500.0  2800.0  4227.0  0.352865413436908
2750.0  2924.0  4092.0  0.38695371816277974
3000.0  3042.0  3967.0  0.42112670302416116
3250.0  3156.0  3851.0  0.4552867338282547
3500.0  3265.0  3742.0  0.4896149711763316
3750.0  3370.0  3640.0  0.5239139719457767
4000.0  3472.0  3545.0  0.558203269427903
4500.0  3664.0  3370.0  0.6267598982066418
5000.0  3844.0  3215.0  0.6952523714450747
5500.0  4013.0  3076.0  0.7635709266335382
6000.0  4174.0  2950.0  0.8315359162417459
6500.0  4326.0  2836.0  0.8993694568974422
7000.0  4472.0  2732.0  0.9668374889297581
8000.0  4747.0  2548.0  1.0988854216887218
9000.0  5005.0  2391.0  1.2300617301582875
10000.0  5251.0  2256.0  1.3610754350880043
11000.0  5487.0  2137.0  1.4919568525932645
12000.0  5718.0  2031.0  1.6227340416716476
13000.0  5944.0  1938.0  1.7435331858040441
14000.0  6168.0  1853.0  1.864222974861108
15000.0  6391.0  1777.0  1.984829715617942
16000.0  6613.0  1708.0  2.1053556397910547
17000.0  6836.0  1644.0  2.2258030034124765
18000.0  7059.0  1586.0  2.3362860484110244
20000.0  7509.0  1483.0  2.5571721197447776
22500.0  8078.0  1374.0  2.8280297257985105
25000.0  8653.0  1281.0  3.0787504689402807
27500.0  9233.0  1202.0  3.319297386496124
30000.0  9815.0  1133.0  3.5497077992420727
