#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  137.4  1763.0  0.008038034585643434
11.0  144.1  1831.0  0.00841011296000238
12.0  150.5  1894.0  0.008737276463521113
13.0  156.6  1953.0  0.009192932067626737
14.0  162.5  2009.0  0.009520504188329523
15.0  168.3  2061.0  0.009848350115628506
16.0  173.8  2110.0  0.010220078277586723
17.0  179.1  2157.0  0.010547985589675405
18.0  184.3  2201.0  0.01079166344916297
20.0  194.3  2283.0  0.011491301057756689
22.5  206.1  2376.0  0.012275585525749883
25.0  217.2  2460.0  0.012975361266646878
27.5  227.8  2536.0  0.013675159962501354
30.0  237.9  2606.0  0.014417350658147981
32.5  247.7  2670.0  0.015117208737065187
35.0  257.0  2729.0  0.015731814898478816
37.5  266.0  2784.0  0.01638932579455299
40.0  274.8  2836.0  0.017047287174210446
45.0  291.4  2929.0  0.018289341158171886
50.0  307.2  3012.0  0.0195616972678753
55.0  322.2  3086.0  0.020676798591658236
60.0  336.5  3152.0  0.021792200439606828
65.0  350.2  3212.0  0.022907858913482074
70.0  363.5  3267.0  0.02406428889454247
80.0  388.6  3363.0  0.02625604692256624
90.0  412.1  3444.0  0.028401936553692955
100.0  434.4  3514.0  0.030431891166997824
110.0  455.6  3574.0  0.03245134820003632
120.0  475.9  3627.0  0.034442270540717836
130.0  495.3  3673.0  0.0364336383030847
140.0  514.0  3714.0  0.038425382236225054
150.0  532.1  3750.0  0.04032964170433454
160.0  549.5  3782.0  0.04219549739012446
170.0  566.4  3810.0  0.0441
180.0  582.9  3835.0  0.04596640077273834
200.0  614.4  3878.0  0.0496217694162552
225.0  651.7  3919.0  0.05424177356982347
250.0  686.9  3950.0  0.05876418977574693
275.0  720.4  3972.0  0.06317127511773053
300.0  752.5  3988.0  0.06755190596866975
325.0  783.2  3999.0  0.07196012784869132
350.0  823.4  4005.0  0.07636871087035581
375.0  868.3  4008.0  0.08071468267917555
400.0  906.5  4008.0  0.08497205422961128
450.0  968.5  4000.0  0.09348823455387313
500.0  1018.0  3986.0  0.10200593120010228
550.0  1059.0  3966.0  0.11048945651056484
600.0  1095.0  3943.0  0.11894881252034423
650.0  1127.0  3917.0  0.127409575778275
700.0  1157.0  3889.0  0.13587148339515545
800.0  1212.0  3829.0  0.15295440497089322
900.0  1262.0  3767.0  0.17000720572963962
1000.0  1308.0  3704.0  0.18734593670533667
1100.0  1353.0  3642.0  0.2046545870485194
1200.0  1395.0  3580.0  0.22211571308667022
1300.0  1435.0  3519.0  0.23970460988474962
1400.0  1474.0  3460.0  0.25737800993868926
1500.0  1510.0  3403.0  0.275214189314432
1600.0  1546.0  3348.0  0.2931448276876125
1700.0  1580.0  3294.0  0.31116979287842195
1800.0  1612.0  3242.0  0.32925711837407556
2000.0  1674.0  3143.0  0.3658076133707444
2250.0  1746.0  3029.0  0.4119758973532311
2500.0  1814.0  2923.0  0.4587946163589979
2750.0  1879.0  2826.0  0.5059755428872033
3000.0  1940.0  2736.0  0.5536541158521265
3250.0  2000.0  2653.0  0.6016772058172057
3500.0  2059.0  2575.0  0.6499104399838488
3750.0  2116.0  2503.0  0.698490407951319
4000.0  2172.0  2435.0  0.7473322286640661
4500.0  2283.0  2312.0  0.8454648484709462
5000.0  2391.0  2203.0  0.9440690811587891
5500.0  2498.0  2105.0  1.0427805425879406
6000.0  2604.0  2018.0  1.1436595516149026
6500.0  2710.0  1938.0  1.2374720077642158
7000.0  2815.0  1866.0  1.3405285412851156
8000.0  3027.0  1738.0  1.5366707682519374
9000.0  3240.0  1630.0  1.7225234105811158
10000.0  3456.0  1536.0  1.907640956784059
11000.0  3674.0  1454.0  2.0920351670084325
12000.0  3895.0  1382.0  2.2757955905572893
13000.0  4118.0  1317.0  2.4493335011794537
14000.0  4343.0  1260.0  2.612725063989703
15000.0  4570.0  1207.0  2.7755890798171117
16000.0  4799.0  1160.0  2.9379821374542083
17000.0  5028.0  1116.0  3.090312298134284
18000.0  5258.0  1077.0  3.242213496980111
20000.0  5720.0  1006.0  3.535451859380919
22500.0  6296.0  931.6  3.8688662163481435
25000.0  6868.0  868.6  4.191082819510967
27500.0  7431.0  814.6  4.482981897130525
30000.0  7983.0  767.7  4.7641511751832555
