#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  125.7  1771.0  0.007954872720540537
11.0  131.8  1839.0  0.008327064308626422
12.0  137.7  1903.0  0.008699425268372618
13.0  143.3  1963.0  0.009026073343375844
14.0  148.7  2019.0  0.009353074360871938
15.0  154.0  2071.0  0.009725224933131367
16.0  159.0  2121.0  0.01005236290630218
17.0  163.9  2168.0  0.010424490395218368
18.0  168.7  2213.0  0.01075174404457249
20.0  177.8  2297.0  0.011322985472038723
22.5  188.6  2391.0  0.012182364302548173
25.0  198.8  2476.0  0.012837834708392223
27.5  208.5  2553.0  0.013537355724069602
30.0  217.7  2624.0  0.014236923825040297
32.5  226.6  2689.0  0.014936532395439043
35.0  235.2  2750.0  0.015592947123619704
37.5  243.4  2806.0  0.016261611236282832
40.0  251.4  2858.0  0.016833597357665413
45.0  266.7  2954.0  0.01810552401892859
50.0  281.1  3038.0  0.019304662649215088
55.0  294.8  3113.0  0.020460938394902616
60.0  307.9  3181.0  0.02160578626201787
65.0  320.5  3243.0  0.022720475347140077
70.0  332.6  3299.0  0.02383547775900454
80.0  355.6  3397.0  0.025979992301769454
90.0  377.1  3481.0  0.028124899999822223
100.0  397.5  3552.0  0.03015393838290448
110.0  416.9  3615.0  0.03217250378817291
120.0  435.5  3669.0  0.03416211351775531
130.0  453.3  3717.0  0.036065218701679884
140.0  470.4  3759.0  0.037968539608470596
150.0  486.9  3797.0  0.039959354349138325
160.0  502.9  3830.0  0.04177571064625951
170.0  518.3  3860.0  0.04364046287563871
180.0  533.4  3886.0  0.04554448374940702
200.0  562.2  3931.0  0.049198069067799804
225.0  596.3  3975.0  0.05375555785218864
250.0  628.6  4008.0  0.05815960797667055
275.0  659.3  4032.0  0.06260247598937282
300.0  688.6  4050.0  0.06700813383463235
325.0  716.7  4062.0  0.07141449432713223
350.0  756.7  4070.0  0.07569550845327616
375.0  802.6  4074.0  0.07998706145371262
400.0  840.2  4075.0  0.08426915212579274
450.0  898.6  4069.0  0.09272858243281842
500.0  943.6  4056.0  0.10111681363650657
550.0  981.8  4038.0  0.10954295960946099
600.0  1016.0  4016.0  0.1180339357981424
650.0  1049.0  3991.0  0.12640102847682846
700.0  1079.0  3964.0  0.13489481087128594
800.0  1137.0  3906.0  0.15181518369385852
900.0  1191.0  3845.0  0.16880506508988408
1000.0  1242.0  3782.0  0.18585491653437636
1100.0  1291.0  3720.0  0.20312405076701281
1200.0  1337.0  3658.0  0.2204531923107488
1300.0  1382.0  3598.0  0.23781902783419162
1400.0  1425.0  3539.0  0.2553364447155948
1500.0  1467.0  3481.0  0.27289100388250254
1600.0  1507.0  3425.0  0.29056310846354877
1700.0  1546.0  3371.0  0.30836501098535807
1800.0  1583.0  3319.0  0.3262251676373238
2000.0  1654.0  3219.0  0.3621998343456275
2250.0  1737.0  3103.0  0.4075819672164116
2500.0  1815.0  2996.0  0.45349038578563056
2750.0  1888.0  2898.0  0.4997500475237596
3000.0  1957.0  2806.0  0.5463004850812417
3250.0  2023.0  2722.0  0.5932038941207315
3500.0  2087.0  2643.0  0.6403379342191122
3750.0  2148.0  2569.0  0.6877036062141888
4000.0  2207.0  2500.0  0.7353307351117592
4500.0  2322.0  2374.0  0.8310536023626874
5000.0  2432.0  2263.0  0.9272041307069335
5500.0  2540.0  2163.0  1.0235084855534906
6000.0  2646.0  2073.0  1.1242100204143353
6500.0  2751.0  1992.0  1.2178423050625233
7000.0  2857.0  1918.0  1.3113037062404729
8000.0  3068.0  1787.0  1.4977038425536606
9000.0  3281.0  1676.0  1.6928284289909596
10000.0  3496.0  1580.0  1.8682346426506495
11000.0  3715.0  1496.0  2.0524328710094273
12000.0  3936.0  1422.0  2.2264778664967677
13000.0  4159.0  1356.0  2.3999267405485525
14000.0  4384.0  1296.0  2.5632197350207804
15000.0  4610.0  1243.0  2.72600655355045
16000.0  4838.0  1194.0  2.8883033774172686
17000.0  5066.0  1149.0  3.0405841428909675
18000.0  5295.0  1109.0  3.182808314994794
20000.0  5754.0  1036.0  3.475952492483175
22500.0  6324.0  959.5  3.8093639889094346
25000.0  6888.0  894.7  4.12185611709094
27500.0  7443.0  839.1  4.413733332452245
30000.0  7987.0  790.9  4.694915510421886
