#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  1.061  9.637  0.0002449489742783178
0.0012  1.061  10.22  0.0002449489742783178
0.0013000000000000002  1.105  10.79  0.0002449489742783178
0.0014  1.146  11.35  0.0002449489742783178
0.0015  1.187  11.89  0.0002449489742783178
0.0016  1.225  12.41  0.0002449489742783178
0.0017  1.263  12.93  0.0002449489742783178
0.0018000000000000002  1.3  13.43  0.0002449489742783178
0.002  1.37  14.41  0.0002449489742783178
0.0022500000000000003  1.453  15.58  0.0002449489742783178
0.00249999  1.532  16.71  0.0002449489742783178
0.00274999  1.607  17.79  0.0002449489742783178
0.00299999  1.678  18.84  0.0002449489742783178
0.00324999  1.746  19.86  0.0002449489742783178
0.00349999  1.812  20.84  0.00033166247903554
0.00374999  1.876  21.8  0.00033166247903554
0.00399999  1.938  22.73  0.00033166247903554
0.004499990000000001  2.055  24.53  0.00033166247903554
0.00499999  2.166  26.26  0.00033166247903554
0.005499990000000001  2.272  27.91  0.00033166247903554
0.00599999  2.373  29.51  0.00033166247903554
0.006499990000000001  2.47  31.05  0.00033166247903554
0.00699999  2.563  32.54  0.0003741657386773942
0.00799999  2.74  35.41  0.000458257569495584
0.008999990000000001  2.906  38.12  0.000458257569495584
0.00999999  3.064  40.71  0.000458257569495584
0.0109999  3.213  43.2  0.000458257569495584
0.0119999  3.356  45.58  0.000458257569495584
0.0129999  3.493  47.89  0.0004898979485566356
0.013999900000000001  3.625  50.11  0.0004898979485566356
0.0149999  3.752  52.27  0.0004898979485566356
0.0159999  3.875  54.37  0.0005744562646538029
0.016999900000000002  3.994  56.4  0.0005744562646538029
0.0179999  4.11  58.39  0.0005744562646538029
0.0199999  4.333  62.21  0.0005744562646538029
0.0224999  4.595  66.75  0.0006164414002968976
0.024999900000000002  4.844  71.06  0.0006164414002968976
0.0274999  5.08  75.17  0.0007000000000000001
0.0299999  5.306  79.11  0.0007000000000000001
0.0324999  5.523  82.9  0.0007000000000000001
0.0349999  5.731  86.55  0.0007000000000000001
0.037499899999999996  5.933  90.07  0.0007000000000000001
0.0399999  6.127  93.48  0.0007874007874011811
0.044999899999999995  6.499  99.99  0.000818535277187245
