#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  132.6  1826.0  0.007954872720540537
11.0  139.1  1899.0  0.00828190799272728
12.0  145.2  1967.0  0.008653900854527975
13.0  151.2  2030.0  0.008981091247727082
14.0  156.9  2090.0  0.009353074360871938
15.0  162.4  2146.0  0.009680392554023828
16.0  167.7  2200.0  0.010007996802557444
17.0  172.9  2250.0  0.01033585990617133
18.0  177.9  2298.0  0.010623558725775464
20.0  187.5  2388.0  0.011247666424641157
22.5  198.9  2490.0  0.011947384651043927
25.0  209.6  2582.0  0.012678327965469265
27.5  219.9  2666.0  0.01334690975469603
30.0  229.7  2743.0  0.014003570973148242
32.5  239.0  2814.0  0.01470340096712322
35.0  248.1  2881.0  0.015360664048145836
37.5  256.8  2942.0  0.01593298465448329
40.0  265.2  3000.0  0.016547507365159263
45.0  281.3  3105.0  0.017747112441183214
50.0  296.5  3198.0  0.01886186629154178
55.0  311.0  3282.0  0.020018241681026835
60.0  324.8  3358.0  0.021133385909503474
65.0  338.0  3427.0  0.022162581077121865
70.0  350.8  3490.0  0.023237469741776966
80.0  375.0  3602.0  0.02529624478059935
90.0  397.8  3697.0  0.027285527299284507
100.0  419.3  3780.0  0.02918852514259671
110.0  439.8  3852.0  0.031091799561942378
120.0  459.3  3916.0  0.03295603131446504
130.0  478.1  3973.0  0.0348598623060964
140.0  496.1  4023.0  0.03663741257239655
150.0  513.5  4068.0  0.038425382236225054
160.0  530.4  4109.0  0.040203233700785816
170.0  546.7  4145.0  0.04195306901765352
180.0  562.6  4178.0  0.043731338877285704
200.0  593.0  4235.0  0.047172131603310026
225.0  629.0  4292.0  0.05133507572800492
250.0  663.0  4336.0  0.05556410711961455
275.0  695.3  4371.0  0.05972880377171471
300.0  726.3  4399.0  0.06376856592397229
325.0  755.9  4420.0  0.0678458547001952
350.0  784.5  4435.0  0.07179784119317238
375.0  830.3  4447.0  0.075849126560561
400.0  907.2  4454.0  0.07980187967711036
450.0  1010.0  4461.0  0.08753010910538156
500.0  1071.0  4458.0  0.09525072178204216
550.0  1111.0  4448.0  0.10286641823257966
600.0  1140.0  4434.0  0.11047397883664734
650.0  1164.0  4415.0  0.11814728096744334
700.0  1187.0  4394.0  0.12585662477597276
800.0  1233.0  4344.0  0.1412091002733181
900.0  1281.0  4289.0  0.15672198314212338
1000.0  1333.0  4232.0  0.1722143431889458
1100.0  1387.0  4172.0  0.18779171973226086
1200.0  1443.0  4113.0  0.20346323992308785
1300.0  1499.0  4054.0  0.21920517785855334
1400.0  1555.0  3995.0  0.23491704918970868
1500.0  1610.0  3938.0  0.250723154096306
1600.0  1664.0  3881.0  0.26649932457700526
1700.0  1716.0  3826.0  0.2823697398801791
1800.0  1766.0  3773.0  0.2982422672928839
2000.0  1861.0  3670.0  0.3302063900047969
2250.0  1970.0  3549.0  0.37030272750818355
2500.0  2067.0  3436.0  0.410573269953123
2750.0  2155.0  3331.0  0.45110270449200374
3000.0  2234.0  3233.0  0.49195427633063626
3250.0  2307.0  3141.0  0.5329512266615023
3500.0  2373.0  3056.0  0.5742082287811626
3750.0  2434.0  2976.0  0.6156969221946785
4000.0  2492.0  2900.0  0.6574468875886478
4500.0  2597.0  2762.0  0.7415443412230991
5000.0  2695.0  2639.0  0.8263882078055084
5500.0  2788.0  2528.0  0.9117861426891726
6000.0  2878.0  2427.0  0.9976266285539896
6500.0  2968.0  2336.0  1.0881222587558808
7000.0  3059.0  2252.0  1.1711918587490269
8000.0  3245.0  2105.0  1.346543519534367
9000.0  3440.0  1978.0  1.5118917752273144
10000.0  3643.0  1868.0  1.6862243415394051
11000.0  3854.0  1772.0  1.8505094784950442
12000.0  4072.0  1687.0  2.0142770539327506
13000.0  4296.0  1610.0  2.167969450891779
14000.0  4524.0  1541.0  2.3307967414598814
15000.0  4755.0  1479.0  2.4835542454313333
16000.0  4988.0  1423.0  2.6262783801417546
17000.0  5222.0  1371.0  2.768628153075093
18000.0  5456.0  1323.0  2.9106351265660213
20000.0  5922.0  1238.0  3.184092613288753
22500.0  6497.0  1149.0  3.5075388935833622
25000.0  7058.0  1072.0  3.800501085383347
27500.0  7602.0  1007.0  4.092351355883314
30000.0  8127.0  950.1  4.354124753610076
