#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  99.37  1573.0  0.008324061508662705
11.0  104.2  1627.0  0.0087783825389419
12.0  108.9  1677.0  0.009233092656309694
13.0  113.3  1724.0  0.009592184318495971
14.0  117.6  1767.0  0.010046890066085126
15.0  121.7  1808.0  0.010419213022104884
16.0  125.7  1846.0  0.010745696813143388
17.0  129.6  1882.0  0.011200892821556683
18.0  133.3  1916.0  0.011560276813294742
20.0  140.5  1979.0  0.012259282197584001
22.5  149.1  2049.0  0.013170041761513136
25.0  157.1  2111.0  0.014029611541307906
27.5  164.8  2167.0  0.014812494725737459
30.0  172.1  2218.0  0.015627539793582355
32.5  179.1  2264.0  0.016410971939528753
35.0  185.9  2306.0  0.017226433176952216
37.5  192.4  2345.0  0.01796969671419081
40.0  198.7  2381.0  0.018753399691789224
45.0  210.8  2445.0  0.0201938109330557
50.0  222.2  2501.0  0.02162452311612906
55.0  233.0  2549.0  0.023108656386730927
60.0  243.4  2593.0  0.024465485893396848
65.0  253.3  2631.0  0.025822664463606388
70.0  262.9  2665.0  0.027191542802864274
80.0  281.1  2723.0  0.029821301111789208
90.0  298.1  2771.0  0.0324211350819184
100.0  314.2  2810.0  0.03498028015896957
110.0  329.6  2842.0  0.03749519969276067
120.0  344.2  2869.0  0.040010248687055175
130.0  358.3  2891.0  0.04248458543989808
140.0  371.8  2910.0  0.044959314941400076
150.0  384.9  2925.0  0.04731828399255409
160.0  397.5  2938.0  0.049793573882580475
170.0  409.7  2948.0  0.05215304401470733
180.0  421.6  2956.0  0.054541818818224244
200.0  444.4  2967.0  0.05934863098673802
225.0  471.4  2974.0  0.06526239345902049
250.0  496.9  2975.0  0.07110056258567861
275.0  520.2  2971.0  0.07698792113052541
300.0  541.2  2963.0  0.08278852577501306
325.0  561.0  2953.0  0.08871628937235822
350.0  579.6  2940.0  0.09460597232733248
375.0  597.0  2927.0  0.1004687513608087
400.0  613.5  2911.0  0.10623323397129544
450.0  644.0  2878.0  0.11805062473362858
500.0  671.7  2843.0  0.12989722860784983
550.0  697.5  2806.0  0.14177009557731138
600.0  721.8  2769.0  0.15379759425946818
650.0  745.2  2732.0  0.16585231382166485
700.0  767.8  2696.0  0.17790890927662956
800.0  811.7  2624.0  0.20244658554789213
900.0  854.8  2555.0  0.22722204998635148
1000.0  897.5  2489.0  0.25230790712936446
1100.0  940.2  2427.0  0.27759717217579866
1200.0  982.8  2368.0  0.30298153409077594
1300.0  1025.0  2312.0  0.3286657420541423
1400.0  1068.0  2258.0  0.35446564008377457
1500.0  1110.0  2208.0  0.3803605920702091
1600.0  1153.0  2160.0  0.4064070619465168
1700.0  1195.0  2115.0  0.4325387497092024
1800.0  1237.0  2071.0  0.45861685533787355
2000.0  1319.0  1991.0  0.5111070435828488
2250.0  1421.0  1900.0  0.5767511161671038
2500.0  1522.0  1819.0  0.6422944262563705
2750.0  1620.0  1745.0  0.7076250490196062
3000.0  1716.0  1678.0  0.7726772741578467
3250.0  1809.0  1617.0  0.8372155815559097
3500.0  1901.0  1562.0  0.9013030178580342
3750.0  1991.0  1510.0  0.9649112912594608
4000.0  2079.0  1463.0  1.0278630356229375
4500.0  2249.0  1378.0  1.1566990835995334
5000.0  2413.0  1303.0  1.2719089000396215
5500.0  2573.0  1238.0  1.395862314127006
6000.0  2728.0  1180.0  1.509864633005224
6500.0  2881.0  1128.0  1.6233462354038957
7000.0  3031.0  1081.0  1.736369341470875
8000.0  3327.0  999.6  1.9518021339264902
9000.0  3619.0  931.3  2.1562852710158738
10000.0  3911.0  872.9  2.3595878157000216
11000.0  4203.0  822.4  2.542757080414879
12000.0  4495.0  778.3  2.72505041604738
13000.0  4789.0  739.2  2.8969922782085558
14000.0  5083.0  704.4  3.0586786591598667
15000.0  5377.0  673.1  3.2198126187714715
16000.0  5671.0  644.9  3.3708108816722424
17000.0  5963.0  619.2  3.5213988541487313
18000.0  6254.0  595.8  3.661995981701782
20000.0  6829.0  554.4  3.9229728586876558
22500.0  7530.0  511.1  4.233322667834334
25000.0  8205.0  474.7  4.523119495436751
27500.0  8850.0  443.7  4.782902094962848
30000.0  9465.0  416.9  5.032300356695733
