#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  90.66  1563.0  0.008290355842785037
11.0  95.08  1618.0  0.008777812939451377
12.0  99.31  1668.0  0.009184225606985055
13.0  103.4  1715.0  0.009556673061269807
14.0  107.3  1759.0  0.010044401425669924
15.0  111.0  1800.0  0.010416813332300814
16.0  114.7  1838.0  0.010742439201596628
17.0  118.2  1875.0  0.011114854924829205
18.0  121.6  1909.0  0.01144071676076285
20.0  128.2  1972.0  0.012254794979925205
22.5  136.0  2043.0  0.013081666560496029
25.0  143.3  2106.0  0.01394166417613048
27.5  150.3  2162.0  0.01472311108427835
30.0  157.0  2214.0  0.01553769609691218
32.5  163.4  2260.0  0.01636490146624782
35.0  169.6  2303.0  0.017179639111459824
37.5  175.6  2343.0  0.017878758346149208
40.0  181.3  2379.0  0.018661457606521523
45.0  192.3  2445.0  0.020175975812832453
50.0  202.7  2502.0  0.02157475376452765
55.0  212.6  2552.0  0.022929893152825637
60.0  222.1  2596.0  0.024328995047062676
65.0  231.1  2635.0  0.0256848204198511
70.0  239.9  2670.0  0.027041079860094346
80.0  256.4  2731.0  0.0297122870206923
90.0  272.0  2780.0  0.032310060352775574
100.0  286.7  2820.0  0.03482341166514275
110.0  300.7  2854.0  0.03733711290391908
120.0  314.1  2882.0  0.039809295396929595
130.0  326.9  2906.0  0.042237897674955366
140.0  339.2  2926.0  0.04471084879534273
150.0  351.1  2942.0  0.04709830145557268
160.0  362.6  2956.0  0.04954210330617787
170.0  373.8  2967.0  0.05193004910454062
180.0  384.6  2977.0  0.05432918184548706
200.0  405.4  2990.0  0.059035413100951534
225.0  430.0  2999.0  0.0648991525368398
250.0  453.3  3001.0  0.07082160687247925
275.0  476.9  2999.0  0.07668702628215544
300.0  499.4  2993.0  0.08248466524148595
325.0  518.8  2984.0  0.0883226471523584
350.0  536.1  2973.0  0.09409367672697247
375.0  552.0  2960.0  0.09989374354783186
400.0  567.1  2946.0  0.10578218186443311
450.0  595.6  2915.0  0.11748395635149508
500.0  622.8  2881.0  0.12923718505136206
550.0  648.8  2845.0  0.14116911843600924
600.0  674.0  2809.0  0.15301457446923153
650.0  698.4  2773.0  0.16501215106773198
700.0  722.2  2737.0  0.17712696011618334
800.0  769.0  2666.0  0.20141276027104144
900.0  815.1  2598.0  0.22603515213346798
1000.0  861.0  2533.0  0.25086767428267837
1100.0  907.0  2470.0  0.27593758352207115
1200.0  953.0  2411.0  0.30115620531544757
1300.0  999.0  2355.0  0.3264341434347823
1400.0  1045.0  2302.0  0.3520121588809114
1500.0  1091.0  2251.0  0.3775347003918978
1600.0  1137.0  2203.0  0.40323236477247215
1700.0  1183.0  2157.0  0.4289561982300757
1800.0  1228.0  2113.0  0.4546845719836995
2000.0  1317.0  2032.0  0.5063006320359476
2250.0  1427.0  1940.0  0.570756594355247
2500.0  1533.0  1858.0  0.6350188501139159
2750.0  1637.0  1783.0  0.6990662987156512
3000.0  1737.0  1716.0  0.7626871639145371
3250.0  1834.0  1654.0  0.8258543757830433
3500.0  1928.0  1597.0  0.8885150589607359
3750.0  2019.0  1545.0  0.9507184493844643
4000.0  2108.0  1497.0  1.0123337591920958
4500.0  2279.0  1410.0  1.1378840186943484
5000.0  2444.0  1334.0  1.2529071473976034
5500.0  2603.0  1268.0  1.3672961676242643
6000.0  2758.0  1209.0  1.4811734030828394
6500.0  2910.0  1156.0  1.5945318591988058
7000.0  3059.0  1108.0  1.7074096403616796
8000.0  3355.0  1025.0  1.9226720209125634
9000.0  3647.0  954.7  2.127045674168752
10000.0  3938.0  895.1  2.3206736198785043
11000.0  4229.0  843.5  2.5037964873367806
12000.0  4520.0  798.2  2.6860008972448237
13000.0  4812.0  758.3  2.857904589030222
14000.0  5103.0  722.6  3.019560241160954
15000.0  5394.0  690.6  3.171043210049336
16000.0  5685.0  661.7  3.322039971162298
17000.0  5974.0  635.4  3.472624968233685
18000.0  6261.0  611.4  3.6132079444726126
20000.0  6827.0  569.1  3.874168474653626
22500.0  7515.0  524.6  4.184539028375766
25000.0  8178.0  487.4  4.474379047420993
27500.0  8812.0  455.6  4.7342002967766375
30000.0  9415.0  428.2  4.983637732620621
