#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  70.09  1280.0  0.009024411338142782
11.0  73.51  1317.0  0.00960572745813663
12.0  76.78  1350.0  0.010093066927351665
13.0  79.91  1380.0  0.010580642702596095
14.0  82.93  1408.0  0.011033585092797353
15.0  85.84  1434.0  0.011569356075426153
16.0  88.65  1458.0  0.012056948204251357
17.0  91.38  1480.0  0.012509996003196805
18.0  94.03  1501.0  0.01299769210283118
20.0  99.12  1539.0  0.013823530663329104
22.5  105.1  1580.0  0.014927491416845632
25.0  110.8  1616.0  0.015984367363145784
27.5  116.2  1648.0  0.017054324964653395
30.0  121.4  1675.0  0.018077887044674223
32.5  126.3  1700.0  0.019182022833893198
35.0  131.1  1722.0  0.02012411488736834
37.5  135.7  1742.0  0.021148522407014637
40.0  140.2  1760.0  0.022136847110643378
45.0  148.7  1790.0  0.024021656895393376
50.0  156.7  1815.0  0.02598942092467626
55.0  164.4  1836.0  0.02787489910295641
60.0  171.7  1853.0  0.02976054434986027
65.0  178.7  1868.0  0.03156326979259278
70.0  185.4  1880.0  0.03341631338134116
80.0  198.2  1898.0  0.03702782737347683
90.0  210.3  1910.0  0.04064000492125955
100.0  221.6  1917.0  0.044252683534447945
110.0  232.5  1921.0  0.04786574975909184
120.0  242.8  1923.0  0.05135133883356889
130.0  252.7  1922.0  0.054933232200554155
140.0  262.2  1919.0  0.05846280869065393
150.0  271.4  1915.0  0.062002016096252874
160.0  280.4  1910.0  0.06558498303727768
170.0  289.0  1905.0  0.06907170187565961
180.0  303.1  1898.0  0.07261218905941344
200.0  356.2  1883.0  0.07960942155297954
225.0  395.7  1863.0  0.08836679240529217
250.0  419.4  1840.0  0.09705225396661327
275.0  435.5  1818.0  0.105738971056087
300.0  448.6  1795.0  0.11452375299473906
325.0  460.7  1771.0  0.12338403462360924
350.0  473.1  1748.0  0.13234281242288906
375.0  486.2  1726.0  0.14130272467295174
400.0  500.3  1703.0  0.15033845150193612
450.0  531.3  1660.0  0.1686378960969331
500.0  565.2  1619.0  0.18703339274044087
550.0  601.0  1580.0  0.2055486803655037
600.0  637.6  1543.0  0.22415418800459652
650.0  674.5  1507.0  0.2426550432197938
700.0  710.9  1474.0  0.2613626407886177
800.0  781.1  1412.0  0.2986319976157947
900.0  846.9  1356.0  0.33603529576519187
1000.0  907.9  1305.0  0.3733478538842831
1100.0  964.3  1259.0  0.4106728259819488
1200.0  1017.0  1216.0  0.4478728614238644
1300.0  1066.0  1177.0  0.48516364249601396
1400.0  1112.0  1140.0  0.5223321740042443
1500.0  1156.0  1106.0  0.5595046916693373
1600.0  1199.0  1075.0  0.5966821096697973
1700.0  1240.0  1046.0  0.6336510159385843
1800.0  1280.0  1018.0  0.6705928794730824
2000.0  1358.0  968.3  0.7441108116403095
2250.0  1453.0  913.4  0.8352501302005287
2500.0  1548.0  865.5  0.9251867811420568
2750.0  1644.0  823.2  1.0136202937984222
3000.0  1740.0  785.6  1.0995237241642402
3250.0  1839.0  751.8  1.1834339271797139
3500.0  1939.0  721.2  1.2668365798318266
3750.0  2042.0  693.5  1.3498371198037191
4000.0  2146.0  668.1  1.4324142208174282
4500.0  2358.0  623.4  1.587206366544691
5000.0  2576.0  585.1  1.7313319294693321
5500.0  2796.0  551.9  1.8649122874816393
6000.0  3018.0  522.8  1.9974739097169705
6500.0  3240.0  497.0  2.119792631367512
7000.0  3461.0  474.0  2.241359063157887
8000.0  3895.0  434.6  2.46387246626119
9000.0  4314.0  402.0  2.6655736268203136
10000.0  4716.0  374.6  2.8563938261381256
11000.0  5097.0  351.0  3.0270568957322226
12000.0  5458.0  330.6  3.196945299813558
13000.0  5798.0  312.7  3.3566892170708926
14000.0  6118.0  296.9  3.506331829704656
15000.0  6418.0  282.8  3.645974108520246
16000.0  6701.0  270.1  3.7853273411952104
17000.0  6967.0  258.6  3.9244548780690547
18000.0  7217.0  248.2  4.053723328003528
20000.0  7676.0  229.9  4.302212027550478
22500.0  8183.0  210.9  4.590407149698161
25000.0  8630.0  195.0  4.878211800444912
27500.0  9030.0  181.6  5.146216217766215
30000.0  9394.0  170.1  5.404268117886085
