#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  138.8  1774.0  0.008038034585643434
11.0  145.6  1843.0  0.008365404951345752
12.0  152.1  1907.0  0.008820997676000149
13.0  158.3  1967.0  0.009148770409186144
14.0  164.3  2023.0  0.009520504188329523
15.0  170.0  2076.0  0.009848350115628506
16.0  175.6  2126.0  0.010220078277586723
17.0  181.0  2174.0  0.010547985589675405
18.0  186.3  2219.0  0.010876120631916512
20.0  196.3  2303.0  0.011491301057756689
22.5  208.3  2397.0  0.012275585525749883
25.0  219.5  2483.0  0.012975361266646878
27.5  230.2  2560.0  0.013717507062145076
30.0  240.5  2632.0  0.014417350658147981
32.5  250.3  2697.0  0.015117208737065187
35.0  259.7  2758.0  0.01568948692596415
37.5  268.9  2815.0  0.016347476869535554
40.0  277.7  2867.0  0.017017050273181896
45.0  294.5  2963.0  0.01824801359052541
50.0  310.5  3048.0  0.01940438094864147
55.0  325.6  3124.0  0.02060606706773517
60.0  340.1  3192.0  0.021721878371816744
65.0  354.0  3254.0  0.022878374068101958
70.0  367.3  3311.0  0.023994374340665776
80.0  392.7  3410.0  0.0261
90.0  416.5  3494.0  0.02824606167238187
100.0  439.0  3567.0  0.030236732627716242
110.0  460.5  3629.0  0.032256627226044575
120.0  481.0  3685.0  0.03424806563880652
130.0  500.6  3733.0  0.03615217835760385
140.0  519.5  3776.0  0.03814420008336786
150.0  537.7  3814.0  0.04001024868705517
160.0  555.4  3847.0  0.0418867520822515
170.0  572.5  3877.0  0.04375339986789598
180.0  589.1  3904.0  0.04556994623652742
200.0  620.9  3950.0  0.04918800666829263
225.0  658.6  3994.0  0.0537202010420661
250.0  694.2  4028.0  0.05812710211252579
275.0  728.1  4053.0  0.06249775995985776
300.0  760.5  4071.0  0.06690597880608279
325.0  791.5  4084.0  0.07116220907195055
350.0  825.6  4092.0  0.07545541730054907
375.0  893.9  4097.0  0.07971279696510467
400.0  946.5  4099.0  0.08393479612175156
450.0  1021.0  4094.0  0.09223708581693157
500.0  1070.0  4082.0  0.10051477503332534
550.0  1105.0  4065.0  0.10875867781469212
600.0  1134.0  4043.0  0.11700401702505774
650.0  1160.0  4019.0  0.12525992974610836
700.0  1184.0  3992.0  0.1335728265778635
800.0  1231.0  3935.0  0.15020233020828938
900.0  1278.0  3874.0  0.16692648082314562
1000.0  1327.0  3812.0  0.18377839916595204
1100.0  1377.0  3750.0  0.20075863617787407
1200.0  1425.0  3689.0  0.2178000918273452
1300.0  1474.0  3629.0  0.234903235397046
1400.0  1520.0  3570.0  0.252133496386339
1500.0  1565.0  3513.0  0.26942551846475127
1600.0  1609.0  3457.0  0.286687861619567
1700.0  1650.0  3403.0  0.30414603400340434
1800.0  1690.0  3351.0  0.3215971859329618
2000.0  1763.0  3251.0  0.3568434670832577
2250.0  1846.0  3135.0  0.4012329497935084
2500.0  1920.0  3029.0  0.44606701290277007
2750.0  1988.0  2930.0  0.49140919812311207
3000.0  2050.0  2838.0  0.5370330436760853
3250.0  2107.0  2753.0  0.5830532222704888
3500.0  2162.0  2674.0  0.6294491798390082
3750.0  2215.0  2600.0  0.676085859932006
4000.0  2265.0  2530.0  0.7230705221484278
4500.0  2362.0  2404.0  0.8177615422603339
5000.0  2457.0  2292.0  0.9131401863898008
5500.0  2551.0  2192.0  1.0090566138725816
6000.0  2644.0  2101.0  1.1008769231844222
6500.0  2739.0  2019.0  1.2038706948837985
7000.0  2835.0  1945.0  1.297242444572332
8000.0  3033.0  1813.0  1.4930808417497023
9000.0  3238.0  1701.0  1.6787386038332472
10000.0  3451.0  1604.0  1.8637080914134596
11000.0  3671.0  1519.0  2.038413562062419
12000.0  3897.0  1444.0  2.2220824467152425
13000.0  4126.0  1377.0  2.3955686527419746
14000.0  4360.0  1317.0  2.5589041111382036
15000.0  4596.0  1263.0  2.7216989179554747
16000.0  4834.0  1213.0  2.874388242739662
17000.0  5073.0  1168.0  3.0266598371802536
18000.0  5312.0  1127.0  3.1785244658488945
20000.0  5790.0  1054.0  3.4619637779734207
22500.0  6381.0  975.9  3.7952514804687185
25000.0  6961.0  910.2  4.107657797334145
27500.0  7526.0  853.8  4.3994488120672575
30000.0  8074.0  804.9  4.680583318348259
