#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  69.77  1002.0  0.010038426171467319
11.0  73.18  1025.0  0.010653168542738822
12.0  76.43  1047.0  0.01126809655620682
13.0  79.55  1066.0  0.011883181392203016
14.0  82.56  1084.0  0.012420950044179391
15.0  85.46  1100.0  0.013036103712382776
16.0  88.26  1114.0  0.013688316185711083
17.0  90.97  1128.0  0.014174977954127478
18.0  93.61  1140.0  0.01479019945774904
20.0  98.68  1163.0  0.015855598380382873
22.5  104.7  1186.0  0.01725195641079585
25.0  110.3  1206.0  0.01851971922033377
27.5  115.7  1223.0  0.01982952344359289
30.0  120.9  1237.0  0.02109739320390081
32.5  125.8  1249.0  0.02240781113808308
35.0  130.5  1260.0  0.023675725965638307
37.5  135.1  1269.0  0.02498659640687383
40.0  139.5  1276.0  0.026218504915421856
45.0  148.0  1289.0  0.028669321582486043
50.0  156.0  1298.0  0.03108472293587318
55.0  163.6  1304.0  0.03358466912149054
60.0  170.9  1309.0  0.03600055555126893
65.0  177.9  1311.0  0.0384167932029731
70.0  184.6  1313.0  0.04083331972788889
80.0  197.4  1313.0  0.045619403766379935
90.0  209.3  1309.0  0.050373207164126445
100.0  220.7  1304.0  0.05516094632980838
110.0  231.4  1297.0  0.05996182118648499
120.0  241.7  1289.0  0.06475083011050901
130.0  254.2  1280.0  0.06950604290275775
140.0  273.4  1271.0  0.07429602950360134
150.0  288.8  1261.0  0.07905226119473117
160.0  301.7  1251.0  0.08384288878610995
170.0  312.8  1241.0  0.08855382543967256
180.0  322.9  1231.0  0.0933111997565137
200.0  341.2  1211.0  0.10297951252555045
225.0  363.0  1186.0  0.11495607856916484
250.0  384.7  1161.0  0.12713406309876202
275.0  406.5  1138.0  0.1393142490917566
300.0  428.4  1115.0  0.15157948409992694
325.0  450.4  1093.0  0.1638857528890172
350.0  472.3  1072.0  0.17624534036393702
375.0  494.0  1052.0  0.188595864217644
400.0  515.6  1033.0  0.20094840133725872
450.0  557.9  996.7  0.22579375544952524
500.0  598.9  963.5  0.2505623674856223
550.0  638.5  932.8  0.27534975939702583
600.0  676.7  904.5  0.30007340768551954
650.0  713.7  878.1  0.3247641297926851
700.0  749.4  853.6  0.3494352729762696
800.0  817.8  809.2  0.3984579526123177
900.0  882.8  770.1  0.4469401525931632
1000.0  945.1  735.4  0.495159832781295
1100.0  1005.0  704.2  0.542729923626844
1200.0  1064.0  676.1  0.5897453348692128
1300.0  1122.0  650.5  0.6361865606879794
1400.0  1179.0  627.2  0.6820043181681477
1500.0  1235.0  605.8  0.727222923181056
1600.0  1291.0  586.1  0.771696974206845
1700.0  1346.0  567.9  0.8155871136794647
1800.0  1402.0  550.9  0.8587044078144702
2000.0  1512.0  520.4  0.9430701246460945
2250.0  1650.0  487.5  1.0445382664124854
2500.0  1789.0  459.1  1.1428585433027134
2750.0  1928.0  434.3  1.236279919759275
3000.0  2068.0  412.5  1.3288827337278486
3250.0  2208.0  393.1  1.4115993943042056
3500.0  2348.0  375.7  1.4936556664773843
3750.0  2487.0  359.9  1.5751868587567635
4000.0  2625.0  345.7  1.6469415806275582
4500.0  2899.0  320.8  1.7892074278853192
5000.0  3167.0  299.6  1.9208553953902934
5500.0  3428.0  281.4  2.051473550889701
6000.0  3681.0  265.6  2.1718901744793633
6500.0  3925.0  251.7  2.2822615538101676
7000.0  4161.0  239.3  2.3920949918429244
8000.0  4605.0  218.3  2.5917546180145994
9000.0  5015.0  201.1  2.7712138459527083
10000.0  5391.0  186.7  2.949926507559129
11000.0  5738.0  174.4  3.1089131943494337
12000.0  6056.0  163.8  3.267509219573833
13000.0  6350.0  154.6  3.4161842763527845
14000.0  6622.0  146.4  3.564658930388713
15000.0  6873.0  139.2  3.7033327166216106
16000.0  7107.0  132.7  3.832179967068353
17000.0  7325.0  126.8  3.9609355624650098
18000.0  7529.0  121.5  4.089616648293578
20000.0  7900.0  112.3  4.337191095628599
22500.0  8309.0  102.7  4.634331111390295
25000.0  8668.0  94.71  4.911834273466481
27500.0  8989.0  88.01  5.189285108760165
30000.0  9279.0  82.28  5.4569494747523555
