#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  64.53  1300.0  0.009024411338142782
11.0  67.67  1337.0  0.009476813810558905
12.0  70.68  1371.0  0.010012991560967181
13.0  73.57  1403.0  0.010500476179678711
14.0  76.35  1431.0  0.010953081758117211
15.0  79.03  1458.0  0.01144071676076285
16.0  81.62  1483.0  0.011893695809125103
17.0  84.13  1506.0  0.012381437719424994
18.0  86.57  1528.0  0.012834718539960276
20.0  91.25  1567.0  0.013694889557787606
22.5  96.79  1610.0  0.014798986451781081
25.0  102.0  1647.0  0.015868837386525832
27.5  107.0  1680.0  0.016892009945533422
30.0  111.8  1708.0  0.017996110690924303
32.5  116.3  1734.0  0.018938056922503953
35.0  120.7  1757.0  0.0198801408445715
37.5  125.0  1778.0  0.020950656314301947
40.0  129.1  1797.0  0.021892921230388603
45.0  136.9  1829.0  0.023777720664521232
50.0  144.3  1855.0  0.025662813563598206
55.0  151.3  1878.0  0.027548139683107462
60.0  158.1  1896.0  0.029433654207386487
65.0  164.5  1912.0  0.03115846594426626
70.0  170.7  1924.0  0.03304436411856037
80.0  182.5  1944.0  0.03657253067535798
90.0  193.6  1958.0  0.0401845741547674
100.0  204.1  1967.0  0.043713384677922164
110.0  214.0  1972.0  0.04716630152979986
120.0  223.5  1974.0  0.05069556193593281
130.0  232.7  1974.0  0.054233661134022663
140.0  241.4  1973.0  0.05773162045188062
150.0  249.9  1970.0  0.0611864364054649
160.0  258.1  1965.0  0.06467294643048205
170.0  266.1  1960.0  0.06817140162854216
180.0  274.4  1954.0  0.07162695023522919
200.0  331.5  1940.0  0.07862372415499026
225.0  371.8  1920.0  0.0870947185539973
250.0  394.1  1899.0  0.0956093091701849
275.0  407.8  1876.0  0.10429558955200359
300.0  418.2  1854.0  0.11295260067833765
325.0  427.7  1831.0  0.12165229138820198
350.0  437.8  1808.0  0.13048310235428956
375.0  449.0  1785.0  0.139356413558903
400.0  461.4  1763.0  0.14840296492995012
450.0  489.8  1720.0  0.1664875370710973
500.0  522.1  1678.0  0.18462139637647637
550.0  556.8  1639.0  0.20305925243632708
600.0  592.7  1601.0  0.2214200984554022
650.0  628.9  1565.0  0.2398998124217691
700.0  664.7  1531.0  0.2584301066052483
800.0  733.5  1468.0  0.2955291863758976
900.0  797.2  1411.0  0.3326124772163546
1000.0  855.4  1359.0  0.36986773311550175
1100.0  908.4  1311.0  0.40711025533631556
1200.0  956.9  1267.0  0.4444120835440909
1300.0  1001.0  1227.0  0.48179353461830515
1400.0  1043.0  1189.0  0.5191763284280208
1500.0  1082.0  1155.0  0.5565968559020075
1600.0  1119.0  1122.0  0.5940742714509694
1700.0  1155.0  1092.0  0.6315830665874442
1800.0  1189.0  1064.0  0.6690971678313996
2000.0  1256.0  1012.0  0.7441418547562016
2250.0  1338.0  955.4  0.837612595416282
2500.0  1421.0  905.7  0.9304363976113574
2750.0  1505.0  861.9  1.0221772840363847
3000.0  1591.0  822.8  1.112807620390874
3250.0  1680.0  787.7  1.197463268747731
3500.0  1772.0  755.9  1.2908297525235464
3750.0  1867.0  727.1  1.3745695071548765
4000.0  1965.0  700.7  1.4578903113746247
4500.0  2167.0  654.1  1.614020151670976
5000.0  2377.0  614.2  1.7686844206923968
5500.0  2591.0  579.6  1.9126962879662834
6000.0  2808.0  549.2  2.0555668901789597
6500.0  3026.0  522.2  2.18809917508325
7000.0  3243.0  498.2  2.3104251946340963
8000.0  3671.0  457.0  2.543577435424367
9000.0  4083.0  422.9  2.755684111069337
10000.0  4475.0  394.1  2.947205898813315
11000.0  4845.0  369.4  3.1375709394370674
12000.0  5192.0  348.0  3.307958356751185
13000.0  5517.0  329.3  3.468085053743636
14000.0  5820.0  312.7  3.627680829400514
15000.0  6102.0  297.8  3.777247575947333
16000.0  6365.0  284.5  3.92651597857439
17000.0  6611.0  272.5  4.065904145451538
18000.0  6841.0  261.5  4.195378228479525
20000.0  7259.0  242.3  4.463626298201945
22500.0  7717.0  222.3  4.771678489797903
25000.0  8118.0  205.7  5.069532302885544
27500.0  8477.0  191.6  5.347591699073519
30000.0  8805.0  179.5  5.62542625673824
