#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  58.87  1275.0  0.009080748867797193
11.0  61.74  1312.0  0.009531526635329727
12.0  64.49  1346.0  0.010018482919085105
13.0  67.12  1378.0  0.01055556725145551
14.0  69.65  1407.0  0.011006816070054047
15.0  72.1  1433.0  0.011493911431710269
16.0  74.46  1458.0  0.01194571052721436
17.0  76.75  1482.0  0.012433020550131815
18.0  78.98  1503.0  0.012920526305069775
20.0  83.25  1543.0  0.013780420893427023
22.5  88.3  1586.0  0.014848905683584903
25.0  93.08  1624.0  0.015952742710894575
27.5  97.62  1658.0  0.017021750791267037
30.0  102.0  1687.0  0.017962460855907244
32.5  106.1  1713.0  0.01898578415552015
35.0  110.1  1737.0  0.020007498594277095
37.5  114.0  1758.0  0.02094874697923482
40.0  117.7  1778.0  0.021937410968480304
45.0  124.9  1811.0  0.023820369434582662
50.0  131.6  1839.0  0.025737909783041826
55.0  138.1  1862.0  0.027587859648765797
60.0  144.2  1882.0  0.0293901343991483
65.0  150.1  1898.0  0.03127459032505462
70.0  155.8  1912.0  0.03307703130572634
80.0  166.5  1934.0  0.03660286874003184
90.0  176.6  1950.0  0.04012941564488574
100.0  186.2  1960.0  0.043656500088761124
110.0  195.2  1967.0  0.047184001525940975
120.0  203.9  1971.0  0.050679187049517675
130.0  212.3  1972.0  0.05420737957141998
140.0  220.3  1972.0  0.0576589975632598
150.0  228.0  1970.0  0.061104091516035165
160.0  235.5  1967.0  0.06460077398917137
170.0  242.7  1963.0  0.06805365530226867
180.0  250.3  1958.0  0.0715510307403045
200.0  305.5  1946.0  0.07849038157634348
225.0  343.9  1928.0  0.08694601773514415
250.0  364.4  1908.0  0.09549916229999089
275.0  376.9  1887.0  0.10409519681522295
300.0  386.7  1866.0  0.1127044364699101
325.0  396.1  1844.0  0.12143067981362865
350.0  406.2  1822.0  0.1302125569981636
375.0  417.6  1801.0  0.1390811993045789
400.0  430.3  1779.0  0.14802327519684194
450.0  459.4  1737.0  0.16605315414047395
500.0  492.3  1697.0  0.1841613966063464
550.0  527.7  1658.0  0.20244577051645216
600.0  564.4  1621.0  0.22073345917644654
650.0  601.6  1586.0  0.23914531147400736
700.0  638.6  1552.0  0.2575315320499609
800.0  710.3  1490.0  0.2943569601691117
900.0  777.4  1433.0  0.3311360747487353
1000.0  839.4  1381.0  0.3679583672102049
1100.0  896.5  1333.0  0.4047383969924277
1200.0  949.0  1289.0  0.44151554899006673
1300.0  997.5  1249.0  0.4783420637995367
1400.0  1043.0  1211.0  0.5150796540342086
1500.0  1085.0  1176.0  0.5518980884185051
1600.0  1125.0  1144.0  0.5887269401004169
1700.0  1164.0  1113.0  0.6255504615936271
1800.0  1201.0  1085.0  0.6622612852945581
2000.0  1271.0  1032.0  0.7356904036345724
2250.0  1357.0  975.0  0.8271432524055311
2500.0  1441.0  924.7  0.917951665394208
2750.0  1526.0  880.3  1.0077591626971198
3000.0  1613.0  840.6  1.0947177261741952
3250.0  1702.0  804.9  1.1791899465310922
3500.0  1794.0  772.7  1.2723764930239791
3750.0  1889.0  743.3  1.355994856184934
4000.0  1987.0  716.5  1.4391668423084238
4500.0  2189.0  669.1  1.5951060466313831
5000.0  2398.0  628.5  1.7402907831738927
5500.0  2613.0  593.2  1.8841477781745253
6000.0  2830.0  562.2  2.0175384729912835
6500.0  3048.0  534.7  2.149976625454333
7000.0  3265.0  510.2  2.272177600893029
8000.0  3691.0  468.1  2.505185186767637
9000.0  4101.0  433.3  2.717216055082849
10000.0  4490.0  403.8  2.9086604494165353
11000.0  4856.0  378.6  3.0894384101321717
12000.0  5199.0  356.8  3.259785061932765
13000.0  5518.0  337.6  3.429472065785053
14000.0  5815.0  320.6  3.5794626817442867
15000.0  6092.0  305.4  3.7290252479703057
16000.0  6350.0  291.8  3.8782888855782782
17000.0  6590.0  279.4  4.017644171650844
18000.0  6814.0  268.2  4.156818639296162
20000.0  7223.0  248.6  4.41539400280428
22500.0  7670.0  228.1  4.723466774520595
25000.0  8064.0  211.0  5.021331191028929
27500.0  8417.0  196.6  5.309169219378866
30000.0  8741.0  184.2  5.587055285210627
