# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  2.110000e+00  3.437000e+01  3.000000e-04
1.099990e-02  2.213000e+00  3.630000e+01  3.000000e-04
1.199990e-02  2.312000e+00  3.815000e+01  3.000000e-04
1.299990e-02  2.406000e+00  3.992000e+01  4.000000e-04
1.399990e-02  2.497000e+00  4.163000e+01  4.000000e-04
1.499990e-02  2.585000e+00  4.327000e+01  4.000000e-04
1.599990e-02  2.669000e+00  4.486000e+01  4.000000e-04
1.699990e-02  2.752000e+00  4.639000e+01  4.000000e-04
1.799990e-02  2.831000e+00  4.788000e+01  4.000000e-04
1.999990e-02  2.985000e+00  5.074000e+01  4.000000e-04
2.249990e-02  3.166000e+00  5.409000e+01  4.000000e-04
2.499990e-02  3.337000e+00  5.726000e+01  5.000000e-04
2.749990e-02  3.500000e+00  6.025000e+01  5.000000e-04
2.999990e-02  3.655000e+00  6.309000e+01  5.000000e-04
3.249990e-02  3.805000e+00  6.580000e+01  5.000000e-04
3.499990e-02  3.948000e+00  6.839000e+01  5.000000e-04
3.749990e-02  4.087000e+00  7.088000e+01  6.000000e-04
3.999990e-02  4.221000e+00  7.327000e+01  6.000000e-04
4.499990e-02  4.477000e+00  7.780000e+01  6.000000e-04
4.999990e-02  4.719000e+00  8.203000e+01  6.000000e-04
5.499990e-02  4.949000e+00  8.602000e+01  7.000000e-04
5.999990e-02  5.169000e+00  8.978000e+01  7.000000e-04
6.499990e-02  5.380000e+00  9.335000e+01  7.000000e-04
6.999990e-02  5.584000e+00  9.675000e+01  7.000000e-04
7.999990e-02  5.969000e+00  1.031000e+02  8.000000e-04
8.999990e-02  6.331000e+00  1.090000e+02  8.000000e-04
9.999990e-02  6.674000e+00  1.144000e+02  9.000000e-04
1.100000e-01  6.999000e+00  1.195000e+02  9.000000e-04
1.200000e-01  7.311000e+00  1.242000e+02  1.000000e-03
1.300000e-01  7.609000e+00  1.287000e+02  1.000000e-03
1.399990e-01  7.896000e+00  1.329000e+02  1.100000e-03
1.499990e-01  8.173000e+00  1.370000e+02  1.100000e-03
1.599990e-01  8.441000e+00  1.408000e+02  1.100000e-03
1.699990e-01  8.701000e+00  1.445000e+02  1.200000e-03
1.799990e-01  8.954000e+00  1.480000e+02  1.200000e-03
1.999990e-01  9.438000e+00  1.545000e+02  1.300000e-03
2.249990e-01  1.001000e+01  1.621000e+02  1.300000e-03
2.499990e-01  1.055000e+01  1.690000e+02  1.400000e-03
2.749990e-01  1.107000e+01  1.753000e+02  1.500000e-03
2.999990e-01  1.156000e+01  1.812000e+02  1.600000e-03
3.249990e-01  1.203000e+01  1.867000e+02  1.700000e-03
3.499990e-01  1.249000e+01  1.919000e+02  1.700000e-03
3.749990e-01  1.292000e+01  1.967000e+02  1.800000e-03
3.999990e-01  1.335000e+01  2.013000e+02  1.900000e-03
4.499990e-01  1.416000e+01  2.097000e+02  2.000000e-03
4.999990e-01  1.492000e+01  2.173000e+02  2.100000e-03
5.499990e-01  1.565000e+01  2.243000e+02  2.300000e-03
5.999990e-01  1.635000e+01  2.306000e+02  2.400000e-03
6.499990e-01  1.701000e+01  2.365000e+02  2.500000e-03
6.999990e-01  1.766000e+01  2.419000e+02  2.600000e-03
7.999990e-01  1.888000e+01  2.517000e+02  2.800000e-03
8.999990e-01  2.002000e+01  2.603000e+02  3.100000e-03
9.999990e-01  2.025000e+01  2.710000e+02  3.300000e-03
1.100000e+00  2.124000e+01  2.779000e+02  3.500000e-03
1.200000e+00  2.219000e+01  2.841000e+02  3.700000e-03
1.300000e+00  2.309000e+01  2.898000e+02  3.900000e-03
1.400000e+00  2.396000e+01  2.949000e+02  4.100000e-03
1.500000e+00  2.480000e+01  2.996000e+02  4.300000e-03
1.600000e+00  2.562000e+01  3.040000e+02  4.500000e-03
1.700000e+00  2.641000e+01  3.080000e+02  4.700000e-03
1.800000e+00  2.717000e+01  3.117000e+02  4.900000e-03
2.000000e+00  2.864000e+01  3.184000e+02  5.200000e-03
2.250000e+00  3.038000e+01  3.255000e+02  5.700000e-03
2.500000e+00  3.202000e+01  3.315000e+02  6.100000e-03
2.750000e+00  3.358000e+01  3.367000e+02  6.600000e-03
3.000000e+00  3.508000e+01  3.412000e+02  7.000000e-03
3.250000e+00  3.651000e+01  3.451000e+02  7.500000e-03
3.500000e+00  3.789000e+01  3.485000e+02  7.900000e-03
3.750000e+00  3.922000e+01  3.514000e+02  8.300000e-03
4.000000e+00  4.051000e+01  3.540000e+02  8.800000e-03
4.500000e+00  4.296000e+01  3.583000e+02  9.600000e-03
5.000000e+00  4.529000e+01  3.615000e+02  1.050000e-02
5.500000e+00  4.750000e+01  3.640000e+02  1.130000e-02
6.000000e+00  4.961000e+01  3.658000e+02  1.210000e-02
6.500000e+00  5.163000e+01  3.671000e+02  1.300000e-02
7.000000e+00  5.358000e+01  3.680000e+02  1.380000e-02
8.000000e+00  5.728000e+01  3.688000e+02  1.550000e-02
9.000000e+00  6.076000e+01  3.687000e+02  1.710000e-02
1.000000e+01  6.404000e+01  3.678000e+02  1.880000e-02
1.100000e+01  6.717000e+01  3.664000e+02  2.040000e-02
1.200000e+01  7.016000e+01  3.646000e+02  2.210000e-02
1.300000e+01  7.302000e+01  3.625000e+02  2.380000e-02
1.400000e+01  7.578000e+01  3.602000e+02  2.550000e-02
1.500000e+01  7.844000e+01  3.578000e+02  2.710000e-02
1.600000e+01  8.101000e+01  3.552000e+02  2.880000e-02
1.700000e+01  8.350000e+01  3.526000e+02  3.050000e-02
1.800000e+01  8.593000e+01  3.498000e+02  3.220000e-02
2.000000e+01  9.057000e+01  3.443000e+02  3.570000e-02
2.250000e+01  9.607000e+01  3.374000e+02  4.000000e-02
2.500000e+01  1.013000e+02  3.306000e+02  4.440000e-02
2.750000e+01  1.062000e+02  3.239000e+02  4.890000e-02
3.000000e+01  1.109000e+02  3.174000e+02  5.330000e-02
3.250000e+01  1.155000e+02  3.111000e+02  5.790000e-02
3.500000e+01  1.198000e+02  3.050000e+02  6.240000e-02
3.750000e+01  1.240000e+02  2.992000e+02  6.710000e-02
4.000000e+01  1.281000e+02  2.936000e+02  7.170000e-02
4.500000e+01  1.359000e+02  2.830000e+02  8.110000e-02
5.000000e+01  1.483000e+02  2.733000e+02  9.060000e-02
5.500000e+01  1.594000e+02  2.643000e+02  1.001000e-01
6.000000e+01  1.684000e+02  2.559000e+02  1.096000e-01
6.500000e+01  1.760000e+02  2.481000e+02  1.191000e-01
7.000000e+01  1.825000e+02  2.409000e+02  1.288000e-01
8.000000e+01  1.935000e+02  2.278000e+02  1.482000e-01
9.000000e+01  2.033000e+02  2.163000e+02  1.680000e-01
1.000000e+02  2.124000e+02  2.061000e+02  1.879000e-01
1.100000e+02  2.214000e+02  1.970000e+02  2.081000e-01
1.200000e+02  2.304000e+02  1.887000e+02  2.283000e-01
1.300000e+02  2.393000e+02  1.813000e+02  2.486000e-01
1.400000e+02  2.483000e+02  1.745000e+02  2.689000e-01
1.500000e+02  2.574000e+02  1.683000e+02  2.892000e-01
1.600000e+02  2.665000e+02  1.626000e+02  3.094000e-01
1.700000e+02  2.756000e+02  1.573000e+02  3.295000e-01
1.800000e+02  2.848000e+02  1.524000e+02  3.495000e-01
2.000000e+02  3.034000e+02  1.436000e+02  3.892000e-01
2.250000e+02  3.267000e+02  1.341000e+02  4.378000e-01
2.500000e+02  3.501000e+02  1.260000e+02  4.853000e-01
2.750000e+02  3.734000e+02  1.190000e+02  5.315000e-01
3.000000e+02  3.968000e+02  1.128000e+02  5.764000e-01
3.250000e+02  4.200000e+02  1.073000e+02  6.201000e-01
3.500000e+02  4.431000e+02  1.024000e+02  6.625000e-01
3.750000e+02  4.661000e+02  9.794000e+01  7.037000e-01
4.000000e+02  4.889000e+02  9.393000e+01  7.437000e-01
4.500000e+02  5.339000e+02  8.695000e+01  8.205000e-01
5.000000e+02  5.782000e+02  8.105000e+01  8.931000e-01
5.500000e+02  6.217000e+02  7.599000e+01  9.621000e-01
6.000000e+02  6.645000e+02  7.160000e+01  1.030000e+00
6.500000e+02  7.065000e+02  6.775000e+01  1.090000e+00
7.000000e+02  7.478000e+02  6.434000e+01  1.150000e+00
8.000000e+02  8.281000e+02  5.856000e+01  1.260000e+00
9.000000e+02  9.057000e+02  5.383000e+01  1.370000e+00
1.000000e+03  9.806000e+02  4.988000e+01  1.460000e+00
1.100000e+03  1.053000e+03  4.653000e+01  1.550000e+00
1.200000e+03  1.123000e+03  4.365000e+01  1.640000e+00
1.300000e+03  1.191000e+03  4.114000e+01  1.720000e+00
1.400000e+03  1.257000e+03  3.892000e+01  1.800000e+00
1.500000e+03  1.320000e+03  3.696000e+01  1.870000e+00
1.600000e+03  1.382000e+03  3.521000e+01  1.940000e+00
1.700000e+03  1.441000e+03  3.363000e+01  2.010000e+00
1.800000e+03  1.499000e+03  3.220000e+01  2.070000e+00
2.000000e+03  1.609000e+03  2.970000e+01  2.200000e+00
2.250000e+03  1.737000e+03  2.713000e+01  2.340000e+00
2.500000e+03  1.854000e+03  2.500000e+01  2.480000e+00
2.750000e+03  1.963000e+03  2.320000e+01  2.610000e+00
3.000000e+03  2.062000e+03  2.167000e+01  2.730000e+00
3.250000e+03  2.154000e+03  2.034000e+01  2.840000e+00
3.500000e+03  2.237000e+03  1.918000e+01  2.960000e+00
3.750000e+03  2.313000e+03  1.816000e+01  3.060000e+00
4.000000e+03  2.383000e+03  1.725000e+01
