#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.6992  9.019  0.00017320508075688773
0.0012  0.6992  9.541  0.00017320508075688773
0.0013000000000000002  0.7278  10.05  0.00017320508075688773
0.0014  0.7553  10.53  0.00017320508075688773
0.0015  0.7818  11.01  0.00017320508075688773
0.0016  0.8074  11.47  0.00017320508075688773
0.0017  0.8323  11.92  0.0002449489742783178
0.0018000000000000002  0.8564  12.37  0.0002449489742783178
0.002  0.9027  13.22  0.0002449489742783178
0.0022500000000000003  0.9575  14.23  0.0002449489742783178
0.00249999  1.009  15.2  0.0002449489742783178
0.00274999  1.059  16.13  0.0002449489742783178
0.00299999  1.106  17.03  0.0002449489742783178
0.00324999  1.151  17.89  0.0002449489742783178
0.00349999  1.194  18.72  0.0002449489742783178
0.00374999  1.236  19.53  0.0002449489742783178
0.00399999  1.277  20.32  0.0002449489742783178
0.004499990000000001  1.354  21.82  0.0003
0.00499999  1.427  23.25  0.0003
0.005499990000000001  1.497  24.62  0.0003
0.00599999  1.564  25.94  0.0003741657386773942
0.006499990000000001  1.627  27.2  0.0003741657386773942
0.00699999  1.689  28.42  0.0003741657386773942
0.00799999  1.805  30.73  0.0003741657386773942
0.008999990000000001  1.915  32.92  0.0004123105625617661
0.00999999  2.019  34.99  0.0004123105625617661
0.0109999  2.117  36.95  0.0004123105625617661
0.0119999  2.211  38.83  0.0004123105625617661
0.0129999  2.301  40.64  0.0004898979485566356
0.013999900000000001  2.388  42.37  0.0005385164807134504
0.0149999  2.472  44.05  0.0005385164807134504
0.0159999  2.553  45.66  0.0005385164807134504
0.016999900000000002  2.632  47.22  0.0005385164807134504
0.0179999  2.708  48.74  0.0005385164807134504
0.0199999  2.855  51.64  0.0005385164807134504
0.0224999  3.028  55.06  0.0005385164807134504
0.024999900000000002  3.192  58.28  0.0006164414002968976
0.0274999  3.347  61.32  0.0006164414002968976
0.0299999  3.496  64.21  0.0007071067811865475
0.0324999  3.639  66.97  0.0007071067811865475
0.0349999  3.776  69.6  0.0007071067811865475
0.037499899999999996  3.909  72.14  0.0007810249675906655
0.0399999  4.037  74.57  0.0007810249675906655
0.044999899999999995  4.282  79.18  0.0007810249675906655
0.0499999  4.514  83.49  0.0007810249675906655
0.0549999  4.734  87.54  0.0009110433579144298
0.059999899999999995  4.944  91.37  0.0009110433579144298
0.0649999  5.146  95.0  0.0009486832980505137
0.0699999  5.34  98.46  0.0009486832980505137
0.0799999  5.709  104.9  0.0010770329614269009
0.0899999  6.056  110.9  0.0010770329614269009
0.0999999  6.383  116.4  0.0011532562594670796
0.11  6.695  121.5  0.0011916375287812986
0.12  6.992  126.4  0.0013190905958272918
0.13  7.278  130.9  0.0013190905958272918
0.13999899999999998  7.553  135.3  0.0013190905958272918
0.149999  7.818  139.4  0.001396424004376894
0.159999  8.074  143.3  0.001449137674618944
0.169999  8.323  147.0  0.0014866068747318507
0.179999  8.564  150.5  0.001562049935181331
0.199999  9.027  157.2  0.0016401219466856726
0.224999  9.575  164.9  0.0016911534525287765
0.249999  10.09  171.9  0.001805547008526779
0.27499900000000005  10.59  178.4  0.0019339079605813717
0.299999  11.06  184.4  0.0020124611797498106
0.32499900000000004  11.51  190.0  0.0021
0.349999  11.94  195.2  0.0021771541057077244
