# Energy(keV) dEe/dx(keV/micro_m) dEn/dx(keV/micro_m) x(micro_m)
9.99999e-3 4.701E-01 3.396E+01 5e-4
10.9999e-3 4.931E-01 3.606E+01 6e-4
11.9999e-3 5.150E-01 3.809E+01 6e-4
12.9999e-3 5.360E-01 4.005E+01 6e-4
13.9999e-3 5.563E-01 4.194E+01 6e-4
14.9999e-3 5.758E-01 4.378E+01 6e-4
15.9999e-3 5.947E-01 4.556E+01 6e-4
16.9999e-3 6.130E-01 4.730E+01 7e-4
17.9999e-3 6.308E-01 4.900E+01 7e-4
19.9999e-3 6.649E-01 5.226E+01 7e-4
22.4999e-3 7.052E-01 5.615E+01 7e-4
24.9999e-3 7.434E-01 5.985E+01 8e-4
27.4999e-3 7.797E-01 6.339E+01 8e-4
29.9999e-3 8.143E-01 6.678E+01 8e-4
32.4999e-3 8.476E-01 7.005E+01 8e-4
34.9999e-3 8.796E-01 7.320E+01 9e-4
37.4999e-3 9.104E-01 7.624E+01 9e-4
39.9999e-3 9.403E-01 7.919E+01 9e-4
44.9999e-3 9.973E-01 8.484E+01 9e-4
49.9999e-3 1.051E+00 9.020E+01 10e-4
54.9999e-3 1.103E+00 9.529E+01 10e-4
59.9999e-3 1.152E+00 1.002E+02 11e-4
64.9999e-3 1.199E+00 1.048E+02 11e-4
69.9999e-3 1.244E+00 1.093E+02 11e-4
79.9999e-3 1.330E+00 1.179E+02 12e-4
89.9999e-3 1.410E+00 1.259E+02 12e-4
99.9999e-3 1.487E+00 1.334E+02 13e-4
110e-3 1.559E+00 1.405E+02 13e-4
120e-3 1.629E+00 1.473E+02 14e-4
130e-3 1.695E+00 1.538E+02 14e-4
139.999e-3 1.759E+00 1.601E+02 15e-4
149.999e-3 1.821E+00 1.661E+02 15e-4
159.999e-3 1.881E+00 1.718E+02 16e-4
169.999e-3 1.939E+00 1.774E+02 16e-4
179.999e-3 1.995E+00 1.828E+02 17e-4
199.999e-3 2.103E+00 1.930E+02 17e-4
224.999e-3 2.230E+00 2.051E+02 18e-4
249.999e-3 2.351E+00 2.163E+02 19e-4
274.999e-3 2.466E+00 2.269E+02 20e-4
299.999e-3 2.575E+00 2.369E+02 21e-4
324.999e-3 2.680E+00 2.464E+02 21e-4
349.999e-3 2.782E+00 2.554E+02 22e-4
374.999e-3 2.879E+00 2.641E+02 23e-4
399.999e-3 2.974E+00 2.723E+02 23e-4
449.999e-3 3.154E+00 2.879E+02 25e-4
499.999e-3 3.325E+00 3.024E+02 26e-4
549.999e-3 3.487E+00 3.159E+02 27e-4
599.999e-3 3.642E+00 3.286E+02 28e-4
649.999e-3 3.791E+00 3.406E+02 29e-4
699.999e-3 3.934E+00 3.519E+02 30e-4
799.999e-3 4.206E+00 3.729E+02 32e-4
899.999e-3 4.461E+00 3.921E+02 34e-4
999.999e-3 4.702E+00 4.097E+02 36e-4
1.10 4.932E+00 4.261E+02 38e-4
1.20 5.151E+00 4.413E+02 40e-4
1.30 5.361E+00 4.555E+02 41e-4
1.40 5.564E+00 4.689E+02 4e-4
1.50 5.759E+00 4.815E+02 45e-4
1.60 5.948E+00 4.934E+02 46e-4
1.70 6.131E+00 5.048E+02 48e-4
1.80 6.309E+00 5.155E+02 49e-4
2.00 6.650E+00 5.356E+02 52e-4
2.25 7.053E+00 5.584E+02 56e-4
2.50 7.435E+00 5.790E+02 59e-4
2.75 7.798E+00 5.977E+02 62e-4
3.00 8.145E+00 6.150E+02 65e-4
3.25 8.477E+00 6.309E+02 68e-4
3.50 8.798E+00 6.457E+02 72e-4
3.75 9.106E+00 6.594E+02 74e-4
4.00 9.405E+00 6.723E+02 77e-4
4.50 9.976E+00 6.957E+02 83e-4
5.00 1.052E+01 7.165E+02 89e-4
5.50 1.103E+01 7.352E+02 94e-4
6.00 1.152E+01 7.521E+02 99e-4
6.50 1.199E+01 7.674E+02 105e-4
7.00 1.244E+01 7.815E+02 110e-4
8.00 1.330E+01 8.063E+02 120e-4
9.00 1.411E+01 8.275E+02 129e-4
10.00 1.487E+01 8.458E+02 139e-4
11.00 1.560E+01 8.618E+02 148e-4
12.00 1.629E+01 8.759E+02 157e-4
13.00 1.696E+01 8.884E+02 167e-4
14.00 1.760E+01 8.995E+02 176e-4
15.00 1.822E+01 9.094E+02 184e-4
16.00 1.882E+01 9.183E+02 193e-4
17.00 1.939E+01 9.263E+02 202e-4
18.00 1.996E+01 9.335E+02 211e-4
20.00 2.104E+01 9.459E+02 228e-4
22.50 2.231E+01 9.582E+02 249e-4
25.00 2.352E+01 9.679E+02 270e-4
27.50 2.467E+01 9.754E+02 291e-4
30.00 2.577E+01 9.811E+02 312e-4
32.50 2.682E+01 9.855E+02 333e-4
35.00 2.784E+01 9.887E+02 354e-4
37.50 2.881E+01 9.909E+02 375e-4
40.00 2.976E+01 9.923E+02 395e-4
45.00 3.157E+01 9.931E+02 437e-4
50.00 3.328E+01 9.920E+02 478e-4
55.00 3.490E+01 9.893E+02 520e-4
60.00 3.646E+01 9.855E+02 562e-4
65.00 3.795E+01 9.808E+02 604e-4
70.00 3.938E+01 9.755E+02 646e-4
80.00 4.211E+01 9.636E+02 732e-4
90.00 4.466E+01 9.505E+02 818e-4
100.00 4.708E+01 9.368E+02 906e-4
110.00 4.939E+01 9.229E+02 995e-4
120.00 5.802E+01 9.090E+02 1085e-4
130.00 7.123E+01 8.952E+02 1176e-4
140.00 7.969E+01 8.815E+02 1267e-4
150.00 8.498E+01 8.682E+02 1358e-4
160.00 8.817E+01 8.552E+02 1451e-4
170.00 9.000E+01 8.424E+02 1545e-4
180.00 9.098E+01 8.301E+02 1641e-4
200.00 9.170E+01 8.064E+02 1836e-4
225.00 9.213E+01 7.786E+02 2087e-4
250.00 9.329E+01 7.529E+02 2347e-4
275.00 9.560E+01 7.290E+02 2614e-4
300.00 9.908E+01 7.067E+02 2889e-4
325.00 1.036E+02 6.860E+02 3170e-4
350.00 1.090E+02 6.666E+02 3458e-4
375.00 1.150E+02 6.485E+02 3750e-4
400.00 1.216E+02 6.315E+02 4048e-4
450.00 1.356E+02 6.005E+02 4655e-4
500.00 1.501E+02 5.728E+02 5276e-4
550.00 1.646E+02 5.481E+02 5908e-4
