# Energy(keV) dEe/dx(keV/micro_m) dEn/dx(keV/micro_m) x(micro_m)
9.99999e-3 1.149E+00 2.940E+01 4e-4
10.9999e-3 1.205E+00 3.097E+01 4e-4
11.9999e-3 1.259E+00 3.247E+01 4e-4
12.9999e-3 1.310E+00 3.390E+01 4e-4
13.9999e-3 1.360E+00 3.527E+01 4e-4
14.9999e-3 1.407E+00 3.658E+01 4e-4
15.9999e-3 1.453E+00 3.785E+01 5e-4
16.9999e-3 1.498E+00 3.907E+01 5e-4
17.9999e-3 1.542E+00 4.025E+01 5e-4
19.9999e-3 1.625E+00 4.251E+01 5e-4
22.4999e-3 1.724E+00 4.514E+01 5e-4
24.9999e-3 1.817E+00 4.761E+01 6e-4
27.4999e-3 1.906E+00 4.993E+01 6e-4
29.9999e-3 1.990E+00 5.213E+01 6e-4
32.4999e-3 2.072E+00 5.421E+01 6e-4
34.9999e-3 2.150E+00 5.619E+01 6e-4
37.4999e-3 2.225E+00 5.809E+01 7e-4
39.9999e-3 2.298E+00 5.990E+01 7e-4
44.9999e-3 2.438E+00 6.332E+01 7e-4
49.9999e-3 2.569E+00 6.649E+01 8e-4
54.9999e-3 2.695E+00 6.945E+01 8e-4
59.9999e-3 2.815E+00 7.223E+01 8e-4
64.9999e-3 2.930E+00 7.485E+01 9e-4
69.9999e-3 3.040E+00 7.733E+01 9e-4
79.9999e-3 3.250E+00 8.193E+01 10e-4
89.9999e-3 3.447E+00 8.613E+01 10e-4
99.9999e-3 3.634E+00 8.998E+01 11e-4
110e-3 3.811E+00 9.355E+01 11e-4
120e-3 3.981E+00 9.688E+01 12e-4
130e-3 4.143E+00 9.999E+01 13e-4
139.999e-3 4.300E+00 1.029E+02 13e-4
149.999e-3 4.451E+00 1.057E+02 14e-4
159.999e-3 4.597E+00 1.083E+02 14e-4
169.999e-3 4.738E+00 1.107E+02 15e-4
179.999e-3 4.875E+00 1.131E+02 15e-4
199.999e-3 5.139E+00 1.175E+02 16e-4
224.999e-3 5.451E+00 1.224E+02 17e-4
249.999e-3 5.746E+00 1.269E+02 18e-4
274.999e-3 6.026E+00 1.310E+02 19e-4
299.999e-3 6.294E+00 1.348E+02 20e-4
324.999e-3 6.551E+00 1.382E+02 21e-4
349.999e-3 6.799E+00 1.415E+02 22e-4
374.999e-3 7.037E+00 1.445E+02 23e-4
399.999e-3 7.268E+00 1.473E+02 24e-4
449.999e-3 7.709E+00 1.524E+02 26e-4
499.999e-3 8.126E+00 1.569E+02 28e-4
549.999e-3 8.523E+00 1.609E+02 30e-4
599.999e-3 8.902E+00 1.646E+02 31e-4
649.999e-3 9.266E+00 1.679E+02 33e-4
699.999e-3 9.615E+00 1.710E+02 35e-4
799.999e-3 1.028E+01 1.764E+02 38e-4
899.999e-3 1.090E+01 1.810E+02 41e-4
999.999e-3 1.149E+01 1.849E+02 45e-4
1.10 1.205E+01 1.884E+02 48e-4
1.20 1.259E+01 1.914E+02 51e-4
1.30 1.310E+01 1.941E+02 54e-4
1.40 1.360E+01 1.965E+02 57e-4
1.50 1.408E+01 1.987E+02 60e-4
1.60 1.454E+01 2.006E+02 63e-4
1.70 1.499E+01 2.023E+02 66e-4
1.80 1.542E+01 2.039E+02 69e-4
2.00 1.626E+01 2.065E+02 75e-4
2.25 1.724E+01 2.092E+02 82e-4
2.50 1.817E+01 2.112E+02 89e-4
2.75 1.906E+01 2.128E+02 96e-4
3.00 1.991E+01 2.140E+02 103e-4
3.25 2.072E+01 2.149E+02 110e-4
3.50 2.151E+01 2.156E+02 117e-4
3.75 2.226E+01 2.160E+02 124e-4
4.00 2.299E+01 2.163E+02 131e-4
4.50 2.439E+01 2.164E+02 145e-4
5.00 2.571E+01 2.161E+02 159e-4
5.50 2.696E+01 2.155E+02 173e-4
6.00 2.816E+01 2.146E+02 188e-4
6.50 2.931E+01 2.136E+02 202e-4
7.00 3.042E+01 2.124E+02 216e-4
8.00 3.252E+01 2.098E+02 245e-4
9.00 3.450E+01 2.069E+02 274e-4
10.00 3.637E+01 2.039E+02 304e-4
11.00 3.814E+01 2.009E+02 333e-4
12.00 3.984E+01 1.978E+02 364e-4
13.00 4.147E+01 1.948E+02 394e-4
14.00 4.304E+01 1.918E+02 425e-4
15.00 4.455E+01 1.889E+02 456e-4
16.00 4.601E+01 1.861E+02 487e-4
17.00 4.743E+01 1.833E+02 519e-4
18.00 4.881E+01 1.806E+02 551e-4
20.00 5.145E+01 1.755E+02 616e-4
22.50 5.458E+01 1.695E+02 699e-4
25.00 5.753E+01 1.639E+02 783e-4
27.50 6.035E+01 1.588E+02 869e-4
30.00 6.303E+01 1.540E+02 956e-4
32.50 6.561E+01 1.495E+02 1045e-4
35.00 6.800E+01 1.453E+02 1134e-4
37.50 7.019E+01 1.414E+02 1225e-4
40.00 7.222E+01 1.377E+02 1317e-4
45.00 7.592E+01 1.310E+02 1504e-4
50.00 7.929E+01 1.250E+02 1695e-4
55.00 8.243E+01 1.197E+02 1890e-4
60.00 8.540E+01 1.148E+02 2087e-4
65.00 8.825E+01 1.104E+02 2288e-4
70.00 9.101E+01 1.064E+02 2491e-4
80.00 9.633E+01 9.936E+01 2903e-4
90.00 1.015E+02 9.332E+01 3321e-4
100.00 1.064E+02 8.808E+01 3744e-4
110.00 1.113E+02 8.349E+01 4170e-4
120.00 1.161E+02 7.942E+01 4597e-4
130.00 1.208E+02 7.579E+01 5025e-4
140.00 1.254E+02 7.253E+01 5453e-4
