# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  2.864000e+00  4.216000e+01  3.000000e-04
1.099990e-02  3.004000e+00  4.463000e+01  3.000000e-04
1.199990e-02  3.138000e+00  4.699000e+01  3.000000e-04
1.299990e-02  3.266000e+00  4.926000e+01  3.000000e-04
1.399990e-02  3.389000e+00  5.145000e+01  3.000000e-04
1.499990e-02  3.508000e+00  5.357000e+01  3.000000e-04
1.599990e-02  3.623000e+00  5.562000e+01  3.000000e-04
1.699990e-02  3.735000e+00  5.761000e+01  4.000000e-04
1.799990e-02  3.843000e+00  5.954000e+01  4.000000e-04
1.999990e-02  4.051000e+00  6.325000e+01  4.000000e-04
2.249990e-02  4.297000e+00  6.764000e+01  4.000000e-04
2.499990e-02  4.529000e+00  7.179000e+01  4.000000e-04
2.749990e-02  4.750000e+00  7.573000e+01  4.000000e-04
2.999990e-02  4.961000e+00  7.949000e+01  4.000000e-04
3.249990e-02  5.164000e+00  8.308000e+01  5.000000e-04
3.499990e-02  5.359000e+00  8.654000e+01  5.000000e-04
3.749990e-02  5.547000e+00  8.986000e+01  5.000000e-04
3.999990e-02  5.729000e+00  9.307000e+01  5.000000e-04
4.499990e-02  6.076000e+00  9.917000e+01  5.000000e-04
4.999990e-02  6.405000e+00  1.049000e+02  5.000000e-04
5.499990e-02  6.718000e+00  1.103000e+02  6.000000e-04
5.999990e-02  7.016000e+00  1.155000e+02  6.000000e-04
6.499990e-02  7.303000e+00  1.204000e+02  6.000000e-04
6.999990e-02  7.578000e+00  1.251000e+02  6.000000e-04
7.999990e-02  8.102000e+00  1.339000e+02  7.000000e-04
8.999990e-02  8.593000e+00  1.421000e+02  7.000000e-04
9.999990e-02  9.058000e+00  1.497000e+02  7.000000e-04
1.100000e-01  9.500000e+00  1.569000e+02  8.000000e-04
1.200000e-01  9.923000e+00  1.636000e+02  8.000000e-04
1.300000e-01  1.033000e+01  1.701000e+02  8.000000e-04
1.399990e-01  1.072000e+01  1.762000e+02  9.000000e-04
1.499990e-01  1.109000e+01  1.820000e+02  9.000000e-04
1.599990e-01  1.146000e+01  1.876000e+02  9.000000e-04
1.699990e-01  1.181000e+01  1.929000e+02  1.000000e-03
1.799990e-01  1.215000e+01  1.980000e+02  1.000000e-03
1.999990e-01  1.281000e+01  2.077000e+02  1.000000e-03
2.249990e-01  1.359000e+01  2.190000e+02  1.100000e-03
2.499990e-01  1.432000e+01  2.293000e+02  1.200000e-03
2.749990e-01  1.502000e+01  2.390000e+02  1.200000e-03
2.999990e-01  1.569000e+01  2.480000e+02  1.300000e-03
3.249990e-01  1.633000e+01  2.564000e+02  1.300000e-03
3.499990e-01  1.695000e+01  2.644000e+02  1.400000e-03
3.749990e-01  1.754000e+01  2.720000e+02  1.400000e-03
3.999990e-01  1.812000e+01  2.791000e+02  1.500000e-03
4.499990e-01  1.921000e+01  2.925000e+02  1.600000e-03
4.999990e-01  2.025000e+01  3.047000e+02  1.700000e-03
5.499990e-01  2.124000e+01  3.159000e+02  1.800000e-03
5.999990e-01  2.219000e+01  3.263000e+02  1.900000e-03
6.499990e-01  2.309000e+01  3.359000e+02  1.900000e-03
6.999990e-01  2.397000e+01  3.450000e+02  2.000000e-03
7.999990e-01  2.562000e+01  3.615000e+02  2.200000e-03
8.999990e-01  2.717000e+01  3.762000e+02  2.300000e-03
9.999990e-01  2.864000e+01  3.894000e+02  2.500000e-03
1.100000e+00  3.004000e+01  4.015000e+02  2.600000e-03
1.200000e+00  3.138000e+01  4.125000e+02  2.800000e-03
1.300000e+00  3.266000e+01  4.227000e+02  2.900000e-03
1.400000e+00  3.389000e+01  4.321000e+02  3.100000e-03
1.500000e+00  3.508000e+01  4.408000e+02  3.200000e-03
1.600000e+00  3.623000e+01  4.489000e+02  3.300000e-03
1.700000e+00  3.735000e+01  4.566000e+02  3.500000e-03
1.800000e+00  3.843000e+01  4.637000e+02  3.600000e-03
2.000000e+00  4.051000e+01  4.767000e+02  3.800000e-03
2.250000e+00  4.297000e+01  4.911000e+02  4.200000e-03
2.500000e+00  4.529000e+01  5.037000e+02  4.500000e-03
2.750000e+00  4.750000e+01  5.149000e+02  4.800000e-03
3.000000e+00  4.961000e+01  5.249000e+02  5.000000e-03
3.250000e+00  5.164000e+01  5.338000e+02  5.300000e-03
3.500000e+00  5.359000e+01  5.419000e+02  5.600000e-03
3.750000e+00  5.547000e+01  5.492000e+02  5.900000e-03
4.000000e+00  5.729000e+01  5.559000e+02  6.200000e-03
4.500000e+00  6.076000e+01  5.676000e+02  6.700000e-03
5.000000e+00  6.405000e+01  5.774000e+02  7.200000e-03
5.500000e+00  6.718000e+01  5.858000e+02  7.800000e-03
6.000000e+00  7.016000e+01  5.929000e+02  8.300000e-03
6.500000e+00  7.303000e+01  5.991000e+02  8.800000e-03
7.000000e+00  7.579000e+01  6.044000e+02  9.300000e-03
8.000000e+00  8.102000e+01  6.129000e+02  1.040000e-02
9.000000e+00  8.593000e+01  6.193000e+02  1.140000e-02
1.000000e+01  9.058000e+01  6.239000e+02  1.240000e-02
1.100000e+01  9.500000e+01  6.273000e+02  1.340000e-02
1.200000e+01  9.923000e+01  6.297000e+02  1.430000e-02
1.300000e+01  1.033000e+02  6.312000e+02  1.530000e-02
1.400000e+01  1.072000e+02  6.321000e+02  1.630000e-02
1.500000e+01  1.109000e+02  6.323000e+02  1.730000e-02
1.600000e+01  1.146000e+02  6.321000e+02  1.830000e-02
1.700000e+01  1.181000e+02  6.316000e+02  1.930000e-02
1.800000e+01  1.215000e+02  6.307000e+02  2.020000e-02
2.000000e+01  1.281000e+02  6.281000e+02  2.220000e-02
2.250000e+01  1.359000e+02  6.237000e+02  2.470000e-02
2.500000e+01  1.432000e+02  6.186000e+02  2.710000e-02
2.750000e+01  1.502000e+02  6.129000e+02  2.960000e-02
3.000000e+01  1.569000e+02  6.068000e+02  3.210000e-02
3.250000e+01  1.633000e+02  6.005000e+02  3.460000e-02
3.500000e+01  1.695000e+02  5.940000e+02  3.710000e-02
3.750000e+01  1.754000e+02  5.876000e+02  3.960000e-02
4.000000e+01  1.812000e+02  5.811000e+02  4.220000e-02
4.500000e+01  1.922000e+02  5.682000e+02  4.730000e-02
5.000000e+01  2.026000e+02  5.556000e+02  5.240000e-02
5.500000e+01  2.124000e+02  5.434000e+02  5.760000e-02
6.000000e+01  2.219000e+02  5.317000e+02  6.290000e-02
6.500000e+01  2.299000e+02  5.205000e+02  6.820000e-02
7.000000e+01  2.383000e+02  5.097000e+02  7.350000e-02
8.000000e+01  2.571000e+02  4.895000e+02  8.430000e-02
9.000000e+01  2.771000e+02  4.710000e+02  9.520000e-02
1.000000e+02  2.976000e+02  4.540000e+02  1.061000e-01
1.100000e+02  3.179000e+02  4.384000e+02  1.170000e-01
1.200000e+02  3.377000e+02  4.239000e+02  1.279000e-01
1.300000e+02  3.568000e+02  4.106000e+02  1.388000e-01
1.400000e+02  3.750000e+02  3.982000e+02  1.497000e-01
1.500000e+02  3.924000e+02  3.866000e+02  1.605000e-01
1.600000e+02  4.090000e+02  3.759000e+02  1.713000e-01
1.700000e+02  4.249000e+02  3.658000e+02  1.820000e-01
1.800000e+02  4.402000e+02  3.563000e+02  1.928000e-01
2.000000e+02  4.693000e+02  3.390000e+02  2.141000e-01
2.250000e+02  5.035000e+02  3.200000e+02  2.406000e-01
2.500000e+02  5.359000e+02  3.033000e+02  2.667000e-01
2.750000e+02  5.672000e+02  2.886000e+02  2.925000e-01
3.000000e+02  5.976000e+02  2.755000e+02  3.180000e-01
3.250000e+02  6.275000e+02  2.636000e+02  3.431000e-01
3.500000e+02  6.569000e+02  2.530000e+02  3.679000e-01
3.750000e+02  6.860000e+02  2.432000e+02  3.922000e-01
4.000000e+02  7.148000e+02  2.344000e+02  4.161000e-01
4.500000e+02  7.716000e+02  2.187000e+02  4.628000e-01
5.000000e+02  8.277000e+02  2.053000e+02  5.078000e-01
5.500000e+02  8.828000e+02  1.936000e+02  5.512000e-01
6.000000e+02  9.371000e+02  1.834000e+02  5.932000e-01
6.500000e+02  9.905000e+02  1.743000e+02  6.337000e-01
7.000000e+02  1.043000e+03  1.663000e+02  6.729000e-01
8.000000e+02  1.145000e+03  1.524000e+02  7.476000e-01
9.000000e+02  1.242000e+03  1.410000e+02  8.179000e-01
1.000000e+03  1.336000e+03  1.313000e+02  8.844000e-01
