#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  155.5  1885.0  0.007918333157931662
11.0  163.1  1963.0  0.008374365647617735
12.0  170.4  2035.0  0.008702873088813833
13.0  177.3  2103.0  0.009074139077620532
14.0  184.0  2167.0  0.009402659198333203
15.0  190.5  2228.0  0.009731392500562291
16.0  196.8  2286.0  0.009974968671630002
17.0  202.8  2340.0  0.010315522284402278
18.0  208.7  2393.0  0.010644247272588137
20.0  220.0  2490.0  0.011216505694733989
22.5  233.3  2601.0  0.011916375287812987
25.0  245.9  2702.0  0.01257457752769452
27.5  257.9  2794.0  0.013274411474713296
30.0  269.4  2879.0  0.013903237033151668
32.5  280.4  2958.0  0.014603081866510234
35.0  291.0  3031.0  0.01517563837207516
37.5  301.2  3100.0  0.01571877857850285
40.0  311.1  3164.0  0.01637803407005859
45.0  330.0  3281.0  0.01749428478103635
50.0  347.8  3386.0  0.01861074958189487
55.0  364.8  3481.0  0.01964026476399949
60.0  381.0  3567.0  0.02066978471102203
65.0  396.6  3646.0  0.02171842535728592
70.0  411.5  3719.0  0.02274796694212474
80.0  440.0  3847.0  0.02461320783644424
90.0  466.6  3959.0  0.026517541364161196
100.0  491.9  4056.0  0.02835577542582816
110.0  515.9  4142.0  0.030134365764024305
120.0  538.8  4218.0  0.03191316342827831
130.0  560.8  4287.0  0.03357588420280246
140.0  582.0  4348.0  0.03532732653343584
150.0  602.4  4403.0  0.03695321366268434
160.0  622.2  4454.0  0.03861644727315034
170.0  641.3  4499.0  0.040242887570352104
180.0  659.9  4541.0  0.04178061751578117
200.0  695.6  4614.0  0.04507116594897452
225.0  737.8  4690.0  0.0489345481229775
250.0  777.7  4751.0  0.05273566155838002
275.0  815.7  4801.0  0.05653768654623215
300.0  852.0  4842.0  0.06025064315009426
325.0  886.8  4876.0  0.06402788455040508
350.0  920.2  4903.0  0.06765168142773689
375.0  952.5  4925.0  0.07130511903082415
400.0  983.8  4943.0  0.07489465935565767
450.0  1108.0  4967.0  0.08205802824830731
500.0  1222.0  4980.0  0.08897308581812817
550.0  1301.0  4984.0  0.09586433121865505
600.0  1359.0  4981.0  0.10265719653292701
650.0  1402.0  4973.0  0.10943500354091465
700.0  1435.0  4960.0  0.11620507734174097
800.0  1486.0  4926.0  0.12981486817772456
900.0  1527.0  4884.0  0.1434041491728883
1000.0  1563.0  4836.0  0.15708809630267978
1100.0  1600.0  4784.0  0.1708432322335304
1200.0  1637.0  4731.0  0.18460105633500584
1300.0  1676.0  4676.0  0.1984531682790678
1400.0  1716.0  4621.0  0.2124604904446942
1500.0  1757.0  4566.0  0.2264088337499224
1600.0  1799.0  4511.0  0.24051268157833175
1700.0  1843.0  4457.0  0.2546183811118121
1800.0  1886.0  4403.0  0.26867335186058183
2000.0  1973.0  4299.0  0.2971405896204691
2250.0  2082.0  4175.0  0.3329397843454579
2500.0  2187.0  4058.0  0.3687808292197413
2750.0  2288.0  3948.0  0.4048301372180683
3000.0  2386.0  3843.0  0.44097230071740334
3250.0  2479.0  3745.0  0.4772593634492675
3500.0  2568.0  3652.0  0.5135621773456454
3750.0  2653.0  3565.0  0.5500797124053931
4000.0  2734.0  3482.0  0.5866021309200983
4500.0  2885.0  3329.0  0.6599061903028338
5000.0  3023.0  3191.0  0.7333429347856295
5500.0  3149.0  3066.0  0.8069347991008939
6000.0  3266.0  2952.0  0.8807100090268078
6500.0  3374.0  2848.0  0.9545752458554537
7000.0  3474.0  2752.0  1.0286269780634765
8000.0  3658.0  2582.0  1.1753391085129432
9000.0  3825.0  2434.0  1.329214057253383
10000.0  3980.0  2306.0  1.473254445097655
11000.0  4129.0  2192.0  1.6170218365872493
12000.0  4275.0  2091.0  1.7701055561745462
13000.0  4420.0  2000.0  1.9133601072458892
14000.0  4567.0  1918.0  2.0563434927073834
15000.0  4716.0  1844.0  2.2087382687860506
16000.0  4868.0  1775.0  2.351299098370941
17000.0  5024.0  1713.0  2.483941114438907
18000.0  5185.0  1655.0  2.626042025558616
20000.0  5519.0  1553.0  2.900025118856732
22500.0  5962.0  1444.0  3.2244849077023137
25000.0  6428.0  1350.0  3.538079469147068
27500.0  6914.0  1270.0  3.8409245787961006
30000.0  7415.0  1200.0  4.123408280779384
