#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  142.3  1902.0  0.007877816956492452
11.0  149.3  1980.0  0.008205485969764377
12.0  155.9  2054.0  0.008577295611088614
13.0  162.3  2123.0  0.008905054744357275
14.0  168.4  2188.0  0.009233092656309694
15.0  174.3  2250.0  0.009604686356149273
16.0  180.0  2308.0  0.009932774033471214
17.0  185.6  2364.0  0.010261091559868278
18.0  191.0  2417.0  0.010504760825454333
20.0  201.3  2516.0  0.01104581368664165
22.5  213.5  2629.0  0.011830891766895682
25.0  225.1  2731.0  0.012530762147610976
27.5  236.0  2825.0  0.013103053079339944
30.0  246.5  2911.0  0.013802898246382896
32.5  256.6  2992.0  0.014345033983926284
35.0  266.3  3066.0  0.015003332963045245
37.5  275.6  3136.0  0.015575942989109842
40.0  284.7  3202.0  0.016159826731744372
45.0  301.9  3321.0  0.017275126627611156
50.0  318.3  3429.0  0.018390758548792924
55.0  333.8  3525.0  0.019379628479411055
60.0  348.7  3614.0  0.02040906661266017
65.0  362.9  3694.0  0.021438516739737384
70.0  376.6  3768.0  0.022398883900766126
80.0  402.6  3900.0  0.024302263269086688
90.0  427.0  4014.0  0.026166772823563857
100.0  450.1  4114.0  0.02798320925126352
110.0  472.1  4202.0  0.02976088036332259
120.0  493.1  4280.0  0.031510474448982834
130.0  513.2  4351.0  0.03317257903751229
140.0  532.6  4414.0  0.034913034815094494
150.0  551.3  4471.0  0.03657553827355108
160.0  569.4  4523.0  0.03814983617264955
170.0  586.9  4570.0  0.03977499214330532
180.0  603.9  4613.0  0.04140060386033035
200.0  636.6  4689.0  0.04451224550615257
225.0  675.2  4767.0  0.04843614352939342
250.0  711.7  4831.0  0.052173364852192546
275.0  746.4  4884.0  0.05600973129733797
300.0  779.6  4927.0  0.05972118552071786
325.0  811.5  4962.0  0.06331721724775972
350.0  842.1  4991.0  0.06699410421820715
375.0  871.7  5015.0  0.07061734914311073
400.0  900.3  5034.0  0.074179444592151
450.0  1023.0  5061.0  0.0812502923071665
500.0  1133.0  5076.0  0.08816269052155794
550.0  1207.0  5081.0  0.09498620952538321
600.0  1260.0  5080.0  0.10172015532823375
650.0  1300.0  5073.0  0.10852022852906272
700.0  1331.0  5062.0  0.11528755353462923
800.0  1383.0  5030.0  0.12874319399486717
900.0  1427.0  4989.0  0.1422687597471771
1000.0  1468.0  4942.0  0.15585599122266686
1100.0  1509.0  4891.0  0.16944627467135417
1200.0  1551.0  4837.0  0.1831629056332095
1300.0  1595.0  4783.0  0.19691792706607494
1400.0  1640.0  4728.0  0.2107583924782119
1500.0  1686.0  4672.0  0.22460990628198038
1600.0  1733.0  4617.0  0.23852400298502455
1700.0  1781.0  4563.0  0.2524401117096885
1800.0  1829.0  4509.0  0.26645035184814453
2000.0  1926.0  4405.0  0.2944140451812719
2250.0  2045.0  4279.0  0.32966608864121894
2500.0  2162.0  4161.0  0.36500034246559276
2750.0  2275.0  4048.0  0.4004064310172853
3000.0  2383.0  3943.0  0.4359478982630838
3250.0  2486.0  3843.0  0.47141805226359335
3500.0  2584.0  3748.0  0.5070746197553176
3750.0  2677.0  3659.0  0.5426607319495304
4000.0  2765.0  3575.0  0.5783928163454315
4500.0  2927.0  3419.0  0.6498804582382826
5000.0  3072.0  3278.0  0.7215933342264187
5500.0  3203.0  3151.0  0.7933921854921437
6000.0  3323.0  3034.0  0.865346710862184
6500.0  3432.0  2928.0  0.9374852638841851
7000.0  3532.0  2830.0  1.0097204068453802
8000.0  3715.0  2655.0  1.1557259277181595
9000.0  3879.0  2504.0  1.2998746093373776
10000.0  4033.0  2372.0  1.4437551350558029
11000.0  4181.0  2256.0  1.587370533303425
12000.0  4326.0  2152.0  1.7307070029326164
13000.0  4470.0  2059.0  1.8738305686480836
14000.0  4616.0  1974.0  2.016726201049612
15000.0  4764.0  1898.0  2.1593948504152736
16000.0  4916.0  1828.0  2.301844010787873
17000.0  5071.0  1764.0  2.444060885084494
18000.0  5231.0  1705.0  2.5764379460798197
20000.0  5564.0  1599.0  2.850334436517932
22500.0  6003.0  1487.0  3.1649911848218473
25000.0  6465.0  1391.0  3.478509396278814
27500.0  6945.0  1309.0  3.7716016929150937
30000.0  7439.0  1237.0  4.054059222557066
