#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  1.108  9.499  0.00017320508075688773
0.0012  1.108  10.06  0.00017320508075688773
0.0013000000000000002  1.154  10.6  0.00017320508075688773
0.0014  1.197  11.12  0.00017320508075688773
0.0015  1.239  11.63  0.00017320508075688773
0.0016  1.28  12.13  0.00017320508075688773
0.0017  1.319  12.61  0.0002449489742783178
0.0018000000000000002  1.357  13.09  0.0002449489742783178
0.002  1.431  14.01  0.0002449489742783178
0.0022500000000000003  1.518  15.1  0.0002449489742783178
0.00249999  1.6  16.15  0.0002449489742783178
0.00274999  1.678  17.16  0.0002449489742783178
0.00299999  1.752  18.13  0.0002449489742783178
0.00324999  1.824  19.06  0.0002449489742783178
0.00349999  1.893  19.97  0.0002449489742783178
0.00374999  1.959  20.85  0.0002449489742783178
0.00399999  2.024  21.7  0.0002449489742783178
0.004499990000000001  2.146  23.35  0.0002449489742783178
0.00499999  2.262  24.91  0.0002449489742783178
0.005499990000000001  2.373  26.41  0.0003741657386773942
0.00599999  2.478  27.85  0.0003741657386773942
0.006499990000000001  2.58  29.24  0.0003741657386773942
0.00699999  2.677  30.58  0.0003741657386773942
0.00799999  2.862  33.13  0.0003741657386773942
0.008999990000000001  3.035  35.54  0.0003741657386773942
0.00999999  3.2  37.83  0.0003741657386773942
0.0109999  3.356  40.02  0.0004123105625617661
0.0119999  3.505  42.11  0.0004123105625617661
0.0129999  3.648  44.12  0.0004898979485566356
0.013999900000000001  3.786  46.05  0.0004898979485566356
0.0149999  3.919  47.92  0.0004898979485566356
0.0159999  4.047  49.73  0.0004898979485566356
0.016999900000000002  4.172  51.49  0.0005385164807134504
0.0179999  4.293  53.19  0.0005385164807134504
0.0199999  4.525  56.46  0.0005385164807134504
0.0224999  4.799  60.31  0.0005385164807134504
0.024999900000000002  5.059  63.95  0.0006164414002968976
0.0274999  5.306  67.41  0.0006164414002968976
0.0299999  5.542  70.7  0.0006164414002968976
0.0324999  5.768  73.84  0.0006164414002968976
0.0349999  5.986  76.86  0.0006557438524302001
0.037499899999999996  6.196  79.76  0.0007071067811865475
0.0399999  6.399  82.55  0.0007810249675906655
0.044999899999999995  6.787  87.86  0.0007810249675906655
0.0499999  7.154  92.84  0.0007810249675906655
0.0549999  7.504  97.55  0.0008602325267042626
0.059999899999999995  7.837  102.0  0.0008602325267042626
0.0649999  8.157  106.2  0.0009110433579144298
0.0699999  8.465  110.3  0.0009110433579144298
0.0799999  9.05  117.9  0.0010246950765959598
0.0899999  9.599  124.9  0.0010246950765959598
0.0999999  10.12  131.5  0.0011045361017187263
