# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  3.909000e+00  4.351000e+01  2.000000e-04
1.099990e-02  4.100000e+00  4.603000e+01  2.000000e-04
1.199990e-02  4.282000e+00  4.845000e+01  3.000000e-04
1.299990e-02  4.457000e+00  5.077000e+01  3.000000e-04
1.399990e-02  4.625000e+00  5.301000e+01  3.000000e-04
1.499990e-02  4.788000e+00  5.518000e+01  3.000000e-04
1.599990e-02  4.945000e+00  5.727000e+01  3.000000e-04
1.699990e-02  5.097000e+00  5.930000e+01  3.000000e-04
1.799990e-02  5.245000e+00  6.127000e+01  3.000000e-04
1.999990e-02  5.528000e+00  6.505000e+01  3.000000e-04
2.249990e-02  5.864000e+00  6.952000e+01  3.000000e-04
2.499990e-02  6.181000e+00  7.375000e+01  3.000000e-04
2.749990e-02  6.483000e+00  7.775000e+01  4.000000e-04
2.999990e-02  6.771000e+00  8.157000e+01  4.000000e-04
3.249990e-02  7.047000e+00  8.522000e+01  4.000000e-04
3.499990e-02  7.313000e+00  8.873000e+01  4.000000e-04
3.749990e-02  7.570000e+00  9.210000e+01  4.000000e-04
3.999990e-02  7.818000e+00  9.535000e+01  4.000000e-04
4.499990e-02  8.293000e+00  1.015000e+02  4.000000e-04
4.999990e-02  8.741000e+00  1.073000e+02  5.000000e-04
5.499990e-02  9.168000e+00  1.128000e+02  5.000000e-04
5.999990e-02  9.576000e+00  1.180000e+02  5.000000e-04
6.499990e-02  9.967000e+00  1.229000e+02  5.000000e-04
6.999990e-02  1.034000e+01  1.277000e+02  5.000000e-04
7.999990e-02  1.106000e+01  1.365000e+02  6.000000e-04
8.999990e-02  1.173000e+01  1.448000e+02  6.000000e-04
9.999990e-02  1.236000e+01  1.524000e+02  6.000000e-04
1.100000e-01  1.297000e+01  1.596000e+02  7.000000e-04
1.200000e-01  1.354000e+01  1.664000e+02  7.000000e-04
1.300000e-01  1.409000e+01  1.728000e+02  7.000000e-04
1.399990e-01  1.463000e+01  1.789000e+02  7.000000e-04
1.499990e-01  1.514000e+01  1.848000e+02  8.000000e-04
1.599990e-01  1.564000e+01  1.903000e+02  8.000000e-04
1.699990e-01  1.612000e+01  1.957000e+02  8.000000e-04
1.799990e-01  1.659000e+01  2.008000e+02  8.000000e-04
1.999990e-01  1.748000e+01  2.104000e+02  9.000000e-04
2.249990e-01  1.854000e+01  2.216000e+02  9.000000e-04
2.499990e-01  1.955000e+01  2.319000e+02  1.000000e-03
2.749990e-01  2.050000e+01  2.414000e+02  1.000000e-03
2.999990e-01  2.141000e+01  2.503000e+02  1.100000e-03
3.249990e-01  2.229000e+01  2.587000e+02  1.100000e-03
3.499990e-01  2.313000e+01  2.666000e+02  1.200000e-03
3.749990e-01  2.394000e+01  2.740000e+02  1.200000e-03
3.999990e-01  2.472000e+01  2.811000e+02  1.300000e-03
4.499990e-01  2.622000e+01  2.942000e+02  1.400000e-03
4.999990e-01  2.764000e+01  3.062000e+02  1.400000e-03
5.499990e-01  2.899000e+01  3.172000e+02  1.500000e-03
5.999990e-01  3.028000e+01  3.274000e+02  1.600000e-03
6.499990e-01  3.152000e+01  3.368000e+02  1.700000e-03
