#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  154.9  1941.0  0.008003124389886741
11.0  162.5  2024.0  0.00833186653757728
12.0  169.7  2102.0  0.008702873088813833
13.0  176.6  2175.0  0.009001111042532471
14.0  183.3  2244.0  0.009330058949438638
15.0  189.7  2309.0  0.0096591925128346
16.0  195.9  2371.0  0.010029955134495868
17.0  202.0  2430.0  0.010359054010864118
18.0  207.8  2486.0  0.010602358228243375
20.0  219.1  2591.0  0.011144954015158609
22.5  232.3  2712.0  0.011931051923447488
25.0  244.9  2822.0  0.012590075456485557
27.5  256.9  2923.0  0.013203408650799234
30.0  268.3  3016.0  0.013833293172632467
32.5  279.2  3103.0  0.014405901568454508
35.0  289.8  3184.0  0.014978651474682227
37.5  300.0  3260.0  0.015609292104384493
40.0  309.8  3331.0  0.016182088863926067
45.0  328.6  3462.0  0.017182840277439583
50.0  346.4  3580.0  0.018299726773916596
55.0  363.3  3686.0  0.01929015292837255
60.0  379.4  3784.0  0.02029137747911659
65.0  394.9  3873.0  0.02128215214681072
70.0  409.8  3956.0  0.022157165883749663
80.0  438.1  4103.0  0.024061795444230673
90.0  464.7  4232.0  0.025840278636268612
100.0  489.8  4345.0  0.027553765622869045
110.0  513.7  4446.0  0.02930546024207776
120.0  536.6  4536.0  0.03096869386977759
130.0  558.5  4617.0  0.03253336748632087
140.0  579.6  4691.0  0.03413282877231244
150.0  599.9  4758.0  0.035670716281005634
160.0  619.6  4819.0  0.03729798922194064
170.0  638.7  4875.0  0.03883619445826277
180.0  657.2  4927.0  0.0403478623969102
200.0  692.7  5019.0  0.043335205087780534
225.0  734.8  5115.0  0.0468962685082726
250.0  774.5  5196.0  0.05051969912816188
275.0  812.3  5263.0  0.05408234462373095
300.0  848.4  5320.0  0.05752095270421032
325.0  883.1  5368.0  0.060994835846979706
350.0  916.4  5409.0  0.06437864552784565
375.0  948.6  5444.0  0.06770310184917674
400.0  979.7  5473.0  0.07105336023018194
450.0  1039.0  5518.0  0.07763903657310542
500.0  1149.0  5550.0  0.08411004696229814
550.0  1250.0  5570.0  0.09054882660752707
600.0  1326.0  5582.0  0.09689752318815999
650.0  1385.0  5587.0  0.10312288785715808
700.0  1432.0  5586.0  0.10932492853873724
800.0  1502.0  5573.0  0.12166371685921815
900.0  1553.0  5546.0  0.1340172376972455
1000.0  1595.0  5512.0  0.1464053619236673
1100.0  1632.0  5471.0  0.15885622430361362
1200.0  1668.0  5426.0  0.17128648516447528
1300.0  1704.0  5379.0  0.1837188613071614
1400.0  1739.0  5330.0  0.19633802484490873
1500.0  1776.0  5279.0  0.2088663448236695
1600.0  1813.0  5228.0  0.22155114533669196
1700.0  1850.0  5177.0  0.23424613123806337
1800.0  1888.0  5126.0  0.24693418151402208
2000.0  1966.0  5024.0  0.2725085503245724
2250.0  2064.0  4900.0  0.3047481255069504
2500.0  2162.0  4781.0  0.33708808937724277
2750.0  2258.0  4667.0  0.36966505109355413
3000.0  2352.0  4558.0  0.40230483467142175
3250.0  2443.0  4454.0  0.4351832947161461
3500.0  2531.0  4355.0  0.46805941930485706
3750.0  2616.0  4261.0  0.5010811311554249
4000.0  2698.0  4171.0  0.5341942811374902
4500.0  2854.0  4004.0  0.6007182783967873
5000.0  2997.0  3852.0  0.6675310404767706
5500.0  3130.0  3713.0  0.734494914890498
6000.0  3253.0  3585.0  0.8017084632208893
6500.0  3367.0  3467.0  0.8691023414995498
7000.0  3472.0  3358.0  0.9365838510245627
8000.0  3663.0  3162.0  1.0700443215119644
9000.0  3832.0  2992.0  1.2040676766693805
10000.0  3984.0  2842.0  1.3474429598316955
11000.0  4124.0  2709.0  1.4810455664833544
12000.0  4257.0  2589.0  1.6144551650634342
13000.0  4385.0  2482.0  1.7572891623179152
14000.0  4510.0  2384.0  1.8903316243453159
15000.0  4636.0  2296.0  2.023209475066781
16000.0  4762.0  2214.0  2.1655744849808327
17000.0  4890.0  2139.0  2.2981394213580693
18000.0  5021.0  2070.0  2.4305136103301295
20000.0  5293.0  1946.0  2.6949310380787113
22500.0  5657.0  1813.0  3.0197419657977402
25000.0  6047.0  1700.0  3.3339205224480084
27500.0  6461.0  1602.0  3.62775375404671
30000.0  6896.0  1516.0  3.9207425954785657
