# Energy(keV) dEe/dx(keV/micro_m) dEn/dx(keV/micro_m) x(micro_m)
9.99999e-3 1.694E+00 2.135E+01 10e-4
10.9999e-3 1.776E+00 2.281E+01 11e-4
11.9999e-3 1.855E+00 2.422E+01 11e-4
12.9999e-3 1.931E+00 2.560E+01 12e-4
13.9999e-3 2.004E+00 2.693E+01 12e-4
14.9999e-3 2.074E+00 2.824E+01 12e-4
15.9999e-3 2.142E+00 2.951E+01 12e-4
16.9999e-3 2.208E+00 3.076E+01 13e-4
17.9999e-3 2.272E+00 3.198E+01 13e-4
19.9999e-3 2.395E+00 3.436E+01 13e-4
22.4999e-3 2.541E+00 3.722E+01 14e-4
24.9999e-3 2.678E+00 3.996E+01 15e-4
27.4999e-3 2.809E+00 4.260E+01 15e-4 
29.9999e-3 2.934E+00 4.517E+01 16e-4
32.4999e-3 3.053E+00 4.765E+01 16e-4
34.9999e-3 3.169E+00 5.006E+01 16e-4
37.4999e-3 3.280E+00 5.241E+01 17e-4
39.9999e-3 3.387E+00 5.471E+01 17e-4
44.9999e-3 3.593E+00 5.914E+01 18e-4
49.9999e-3 3.787E+00 6.339E+01 19e-4
54.9999e-3 3.972E+00 6.748E+01 19e-4
59.9999e-3 4.149E+00 7.143E+01 20e-4
64.9999e-3 4.318E+00 7.525E+01 20e-4
69.9999e-3 4.481E+00 7.897E+01 21e-4
79.9999e-3 4.791E+00 8.609E+01 22e-4
89.9999e-3 5.081E+00 9.287E+01 23e-4
99.9999e-3 5.356E+00 9.935E+01 24e-4
110e-3 5.618E+00 1.056E+02 25e-4
120e-3 5.867E+00 1.116E+02 25e-4
130e-3 6.107E+00 1.174E+02 26e-4
139.999e-3 6.337E+00 1.230E+02 27e-4
149.999e-3 6.560E+00 1.284E+02 27e-4
159.999e-3 6.775E+00 1.337E+02 28e-4
169.999e-3 6.984E+00 1.389E+02 29e-4
179.999e-3 7.186E+00 1.439E+02 29e-4
199.999e-3 7.575E+00 1.536E+02 30e-4
224.999e-3 8.034E+00 1.652E+02 32e-4
249.999e-3 8.469E+00 1.762E+02 33e-4
274.999e-3 8.882E+00 1.868E+02 34e-4
299.999e-3 9.277E+00 1.969E+02 35e-4
324.999e-3 9.656E+00 2.066E+02 36e-4
349.999e-3 1.002E+01 2.160E+02 37e-4
374.999e-3 1.037E+01 2.252E+02 38e-4
