# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  5.272000e+00  3.755000e+01  5.000000e-04
1.099990e-02  5.530000e+00  4.011000e+01  5.000000e-04
1.199990e-02  5.776000e+00  4.260000e+01  5.000000e-04
1.299990e-02  6.012000e+00  4.502000e+01  6.000000e-04
1.399990e-02  6.238000e+00  4.737000e+01  6.000000e-04
1.499990e-02  6.457000e+00  4.967000e+01  6.000000e-04
1.599990e-02  6.669000e+00  5.191000e+01  6.000000e-04
1.699990e-02  6.874000e+00  5.411000e+01  6.000000e-04
1.799990e-02  7.074000e+00  5.626000e+01  6.000000e-04
1.999990e-02  7.456000e+00  6.044000e+01  7.000000e-04
2.249990e-02  7.909000e+00  6.547000e+01  7.000000e-04
2.499990e-02  8.336000e+00  7.030000e+01  7.000000e-04
2.749990e-02  8.743000e+00  7.496000e+01  7.000000e-04
2.999990e-02  9.132000e+00  7.947000e+01  8.000000e-04
3.249990e-02  9.505000e+00  8.384000e+01  8.000000e-04
3.499990e-02  9.864000e+00  8.809000e+01  8.000000e-04
3.749990e-02  1.021000e+01  9.223000e+01  8.000000e-04
3.999990e-02  1.054000e+01  9.627000e+01  8.000000e-04
4.499990e-02  1.118000e+01  1.041000e+02  9.000000e-04
4.999990e-02  1.179000e+01  1.116000e+02  9.000000e-04
5.499990e-02  1.237000e+01  1.188000e+02  9.000000e-04
5.999990e-02  1.291000e+01  1.257000e+02  1.000000e-03
6.499990e-02  1.344000e+01  1.325000e+02  1.000000e-03
6.999990e-02  1.395000e+01  1.390000e+02  1.000000e-03
7.999990e-02  1.491000e+01  1.516000e+02  1.100000e-03
8.999990e-02  1.582000e+01  1.635000e+02  1.100000e-03
9.999990e-02  1.667000e+01  1.749000e+02  1.200000e-03
1.100000e-01  1.749000e+01  1.859000e+02  1.200000e-03
1.200000e-01  1.826000e+01  1.965000e+02  1.200000e-03
1.300000e-01  1.901000e+01  2.067000e+02  1.300000e-03
1.399990e-01  1.973000e+01  2.166000e+02  1.300000e-03
1.499990e-01  2.042000e+01  2.262000e+02  1.400000e-03
1.599990e-01  2.109000e+01  2.355000e+02  1.400000e-03
1.699990e-01  2.174000e+01  2.446000e+02  1.400000e-03
1.799990e-01  2.237000e+01  2.535000e+02  1.400000e-03
1.999990e-01  2.358000e+01  2.706000e+02  1.500000e-03
2.249990e-01  2.501000e+01  2.910000e+02  1.600000e-03
2.499990e-01  2.636000e+01  3.105000e+02  1.600000e-03
2.749990e-01  2.765000e+01  3.291000e+02  1.700000e-03
2.999990e-01  2.888000e+01  3.469000e+02  1.700000e-03
3.249990e-01  3.006000e+01  3.641000e+02  1.800000e-03
3.499990e-01  3.119000e+01  3.807000e+02  1.800000e-03
3.749990e-01  3.229000e+01  3.968000e+02  1.900000e-03
3.999990e-01  3.335000e+01  4.124000e+02  1.900000e-03
4.499990e-01  3.537000e+01  4.423000e+02  2.000000e-03
4.999990e-01  3.728000e+01  4.706000e+02  2.100000e-03
5.499990e-01  3.910000e+01  4.977000e+02  2.200000e-03
5.999990e-01  4.084000e+01  5.236000e+02  2.300000e-03
6.499990e-01  4.251000e+01  5.484000e+02  2.300000e-03
6.999990e-01  4.411000e+01  5.724000e+02  2.400000e-03
7.999990e-01  4.716000e+01  6.178000e+02  2.500000e-03
8.999990e-01  5.002000e+01  6.605000e+02  2.600000e-03
9.999990e-01  5.272000e+01  7.009000e+02  2.700000e-03
1.100000e+00  5.530000e+01  7.392000e+02  2.900000e-03
1.200000e+00  5.776000e+01  7.757000e+02  3.000000e-03
1.300000e+00  6.012000e+01  8.106000e+02  3.000000e-03
1.400000e+00  6.238000e+01  8.442000e+02  3.100000e-03
1.500000e+00  6.457000e+01  8.764000e+02  3.200000e-03
1.600000e+00  6.669000e+01  9.076000e+02  3.300000e-03
1.700000e+00  6.874000e+01  9.376000e+02  3.400000e-03
1.800000e+00  7.074000e+01  9.667000e+02  3.500000e-03
2.000000e+00  7.456000e+01  1.022000e+03  3.600000e-03
2.250000e+00  7.909000e+01  1.088000e+03  3.800000e-03
2.500000e+00  8.337000e+01  1.149000e+03  4.000000e-03
2.750000e+00  8.743000e+01  1.207000e+03  4.100000e-03
3.000000e+00  9.132000e+01  1.261000e+03  4.300000e-03
3.250000e+00  9.505000e+01  1.313000e+03  4.500000e-03
3.500000e+00  9.864000e+01  1.363000e+03  4.600000e-03
3.750000e+00  1.021000e+02  1.410000e+03  4.700000e-03
4.000000e+00  1.054000e+02  1.456000e+03  4.900000e-03
4.500000e+00  1.118000e+02  1.542000e+03  5.100000e-03
5.000000e+00  1.179000e+02  1.622000e+03  5.400000e-03
5.500000e+00  1.237000e+02  1.697000e+03  5.600000e-03
6.000000e+00  1.291000e+02  1.767000e+03  5.800000e-03
6.500000e+00  1.344000e+02  1.834000e+03  6.000000e-03
7.000000e+00  1.395000e+02  1.898000e+03  6.300000e-03
8.000000e+00  1.491000e+02  2.015000e+03  6.700000e-03
9.000000e+00  1.582000e+02  2.123000e+03  7.000000e-03
1.000000e+01  1.667000e+02  2.223000e+03  7.400000e-03
1.100000e+01  1.749000e+02  2.315000e+03  7.700000e-03
1.200000e+01  1.826000e+02  2.402000e+03  8.100000e-03
1.300000e+01  1.901000e+02  2.483000e+03  8.400000e-03
1.400000e+01  1.973000e+02  2.559000e+03  8.700000e-03
1.500000e+01  2.042000e+02  2.632000e+03  9.000000e-03
1.600000e+01  2.109000e+02  2.700000e+03  9.300000e-03
1.700000e+01  2.174000e+02  2.765000e+03  9.600000e-03
1.800000e+01  2.237000e+02  2.827000e+03  9.900000e-03
2.000000e+01  2.358000e+02  2.944000e+03  1.040000e-02
2.250000e+01  2.501000e+02  3.076000e+03  1.110000e-02
2.500000e+01  2.636000e+02  3.196000e+03  1.170000e-02
2.750000e+01  2.765000e+02  3.307000e+03  1.230000e-02
3.000000e+01  2.888000e+02  3.408000e+03  1.290000e-02
3.250000e+01  3.006000e+02  3.502000e+03  1.350000e-02
3.500000e+01  3.119000e+02  3.590000e+03  1.400000e-02
3.750000e+01  3.229000e+02  3.672000e+03  1.460000e-02
4.000000e+01  3.335000e+02  3.749000e+03  1.510000e-02
4.500000e+01  3.537000e+02  3.890000e+03  1.620000e-02
5.000000e+01  3.728000e+02  4.016000e+03  1.720000e-02
5.500000e+01  3.910000e+02  4.130000e+03  1.810000e-02
6.000000e+01  4.084000e+02  4.233000e+03  1.910000e-02
6.500000e+01  4.251000e+02  4.328000e+03  2.000000e-02
7.000000e+01  4.411000e+02  4.415000e+03  2.090000e-02
8.000000e+01  4.716000e+02  4.570000e+03  2.270000e-02
9.000000e+01  5.002000e+02  4.704000e+03  2.440000e-02
1.000000e+02  5.273000e+02  4.821000e+03  2.610000e-02
1.100000e+02  5.530000e+02  4.925000e+03  2.770000e-02
1.200000e+02  5.776000e+02  5.017000e+03  2.930000e-02
1.300000e+02  6.012000e+02  5.099000e+03  3.090000e-02
1.400000e+02  6.239000e+02  5.174000e+03  3.240000e-02
1.500000e+02  6.458000e+02  5.241000e+03  3.400000e-02
1.600000e+02  6.669000e+02  5.302000e+03  3.550000e-02
1.700000e+02  6.875000e+02  5.358000e+03  3.690000e-02
1.800000e+02  7.074000e+02  5.408000e+03  3.840000e-02
2.000000e+02  7.457000e+02  5.497000e+03  4.130000e-02
2.250000e+02  7.909000e+02  5.589000e+03  4.480000e-02
2.500000e+02  8.337000e+02  5.665000e+03  4.830000e-02
2.750000e+02  8.744000e+02  5.726000e+03  5.180000e-02
3.000000e+02  9.133000e+02  5.777000e+03  5.510000e-02
3.250000e+02  9.505000e+02  5.818000e+03  5.850000e-02
3.500000e+02  9.864000e+02  5.852000e+03  6.180000e-02
3.750000e+02  1.021000e+03  5.880000e+03  6.510000e-02
4.000000e+02  1.055000e+03  5.902000e+03  6.840000e-02
4.500000e+02  1.119000e+03  5.933000e+03  7.480000e-02
5.000000e+02  1.234000e+03  5.950000e+03  8.120000e-02
5.500000e+02  1.344000e+03  5.956000e+03  8.750000e-02
6.000000e+02  1.430000e+03  5.954000e+03  9.370000e-02
6.500000e+02  1.498000e+03  5.945000e+03  9.990000e-02
7.000000e+02  1.555000e+03  5.932000e+03  1.060000e-01
8.000000e+02  1.643000e+03  5.892000e+03  1.183000e-01
9.000000e+02  1.713000e+03  5.842000e+03  1.305000e-01
1.000000e+03  1.774000e+03  5.785000e+03  1.427000e-01
1.100000e+03  1.830000e+03  5.724000e+03  1.549000e-01
1.200000e+03  1.884000e+03  5.659000e+03  1.672000e-01
1.300000e+03  1.937000e+03  5.594000e+03  1.795000e-01
1.400000e+03  1.990000e+03  5.527000e+03  1.918000e-01
1.500000e+03  2.044000e+03  5.461000e+03  2.042000e-01
1.600000e+03  2.098000e+03  5.395000e+03  2.166000e-01
1.700000e+03  2.153000e+03  5.329000e+03  2.291000e-01
1.800000e+03  2.209000e+03  5.265000e+03  2.416000e-01
2.000000e+03  2.321000e+03  5.139000e+03  2.667000e-01
2.250000e+03  2.462000e+03  4.989000e+03  2.981000e-01
2.500000e+03  2.603000e+03  4.847000e+03  3.297000e-01
2.750000e+03  2.741000e+03  4.712000e+03  3.612000e-01
3.000000e+03  2.877000e+03  4.586000e+03  3.929000e-01
3.250000e+03  3.008000e+03  4.467000e+03  4.245000e-01
3.500000e+03  3.135000e+03  4.354000e+03  4.561000e-01
3.750000e+03  3.257000e+03  4.248000e+03  4.877000e-01
4.000000e+03  3.374000e+03  4.148000e+03
