#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.7086  9.381  0.00017320508075688773
0.0012  0.7086  9.93  0.00017320508075688773
0.0013000000000000002  0.7376  10.46  0.00017320508075688773
0.0014  0.7654  10.98  0.00017320508075688773
0.0015  0.7923  11.48  0.00017320508075688773
0.0016  0.8182  11.97  0.0002449489742783178
0.0017  0.8434  12.44  0.0002449489742783178
0.0018000000000000002  0.8679  12.91  0.0002449489742783178
0.002  0.9148  13.81  0.0002449489742783178
0.0022500000000000003  0.9703  14.89  0.0002449489742783178
0.00249999  1.023  15.91  0.0002449489742783178
0.00274999  1.073  16.9  0.0002449489742783178
0.00299999  1.12  17.85  0.0002449489742783178
0.00324999  1.166  18.77  0.0002449489742783178
0.00349999  1.21  19.65  0.0002449489742783178
0.00374999  1.253  20.52  0.0002449489742783178
0.00399999  1.294  21.35  0.0002449489742783178
0.004499990000000001  1.372  22.96  0.0002449489742783178
0.00499999  1.446  24.49  0.0003
0.005499990000000001  1.517  25.96  0.0003741657386773942
0.00599999  1.585  27.36  0.0003741657386773942
0.006499990000000001  1.649  28.72  0.0003741657386773942
0.00699999  1.711  30.02  0.0003741657386773942
0.00799999  1.83  32.52  0.0003741657386773942
0.008999990000000001  1.941  34.87  0.0003741657386773942
0.00999999  2.046  37.1  0.0004123105625617661
0.0109999  2.145  39.23  0.0004123105625617661
0.0119999  2.241  41.27  0.0004123105625617661
0.0129999  2.332  43.22  0.0004898979485566356
0.013999900000000001  2.42  45.1  0.0004898979485566356
0.0149999  2.505  46.92  0.0005385164807134504
0.0159999  2.588  48.68  0.0005385164807134504
0.016999900000000002  2.667  50.38  0.0005385164807134504
0.0179999  2.744  52.04  0.0005385164807134504
0.0199999  2.893  55.21  0.0005385164807134504
0.0224999  3.068  58.95  0.0006164414002968976
0.024999900000000002  3.234  62.47  0.0006164414002968976
0.0274999  3.392  65.82  0.0006164414002968976
0.0299999  3.543  69.0  0.0006164414002968976
0.0324999  3.688  72.04  0.0007071067811865475
0.0349999  3.827  74.96  0.0007071067811865475
0.037499899999999996  3.961  77.76  0.0007810249675906655
0.0399999  4.091  80.46  0.0007810249675906655
0.044999899999999995  4.339  85.58  0.0007810249675906655
0.0499999  4.574  90.38  0.0007810249675906655
0.0549999  4.797  94.91  0.0008602325267042626
0.059999899999999995  5.011  99.19  0.0009110433579144298
0.0649999  5.215  103.3  0.0009110433579144298
0.0699999  5.412  107.2  0.0009486832980505137
0.0799999  5.786  114.5  0.0010246950765959598
0.0899999  6.137  121.2  0.0010246950765959598
0.0999999  6.469  127.5  0.0011532562594670796
0.11  6.785  133.3  0.0011532562594670796
0.12  7.086  138.9  0.0012328828005937953
0.13  7.376  144.1  0.001268857754044952
0.13999899999999998  7.654  149.0  0.0013190905958272918
0.149999  7.923  153.8  0.001396424004376894
0.159999  8.182  158.3  0.001396424004376894
0.169999  8.434  162.6  0.001396424004376894
0.179999  8.679  166.7  0.0014764823060233402
0.199999  9.148  174.5  0.001562049935181331
0.224999  9.703  183.4  0.0016401219466856726
0.249999  10.23  191.7  0.0017691806012954134
0.27499900000000005  10.73  199.3  0.001849324200890693
0.299999  11.2  206.4  0.0018841443681416772
0.32499900000000004  11.66  213.0  0.0020124611797498106
0.349999  12.1  219.3  0.002092844953645635
0.374999  12.53  225.1  0.002128379665379276
0.39999900000000005  12.94  230.7  0.0022561028345356956
0.44999900000000004  13.72  241.0  0.0023366642891095844
0.499999  14.46  250.4  0.0025
0.549999  15.17  259.0  0.0026286878856189833
0.5999990000000001  15.85  266.9  0.0027440845468024487
0.649999  16.49  274.2  0.0029529646120466805
0.699999  17.11  281.0  0.0030347981810987038
0.799999  18.3  293.4  0.0032787192621510004
0.899999  19.41  304.3  0.003522782990761708
0.9999990000000001  20.46  314.1  0.003733630940518894
1.1  21.45  322.9  0.0039774363602702685
1.2  22.41  330.9  0.0041388404173149755
1.3  23.32  338.3  0.004349712634186309
1.4  24.2  345.0  0.0045934736311423405
1.5  25.05  351.2  0.004837354648979129
1.6  25.88  357.0  0.004920365840057018
1.7  26.67  362.4  0.005164300533470142
1.8  27.45  367.4  0.005375872022286245
2.0  28.93  376.4  0.005735852159879994
2.25  30.68  386.3  0.006191122676865643
2.5  32.34  394.8  0.006646803743153547
2.75  33.92  402.2  0.007134423592694788
3.0  35.43  408.7  0.00759012516365837
3.25  36.88  414.5  0.008003124389886741
3.5  38.27  419.7  0.008374365647617735
3.75  39.61  424.3  0.008830628516702535
4.0  40.91  428.4  0.00927523584605804
4.5  43.39  435.4  0.010060318086422517
5.0  45.74  441.1  0.010845736489515131
5.5  47.97  445.8  0.011758826472059192
6.0  50.11  449.6  0.01257457752769452
6.5  52.15  452.7  0.013360389215887388
7.0  54.12  455.2  0.01410567261778041
8.0  57.86  458.9  0.015678328992593568
9.0  61.37  461.1  0.017251376756653367
10.0  64.69  462.2  0.01882471779336944
11.0  67.85  462.5  0.020271408436514714
12.0  70.86  462.2  0.02184513675855567
13.0  73.76  461.4  0.023351873586502647
14.0  76.54  460.2  0.02492609074845071
15.0  79.23  458.7  0.026461670393231038
16.0  81.83  456.9  0.027997678475187904
17.0  84.35  454.9  0.029544881113316403
18.0  86.79  452.8  0.031081344887247075
20.0  91.49  448.2  0.034165918690999664
22.5  97.04  442.0  0.03800105261699997
25.0  102.3  435.5  0.041926364020744754
27.5  107.3  428.9  0.045852807983808364
30.0  112.0  422.4  0.04978011651251934
32.5  116.6  415.9  0.053797862411066114
35.0  121.0  409.5  0.057780706122372724
37.5  125.3  403.2  0.0618001618120859
40.0  129.4  397.1  0.06591039371753138
45.0  137.2  385.3  0.0740979756808511
50.0  144.7  374.2  0.08237894148385254
55.0  152.1  363.7  0.09075318176240435
60.0  161.0  353.8  0.09918724716413901
65.0  169.6  344.5  0.1076238821080154
70.0  177.9  335.8  0.11612153116455191
80.0  193.0  319.7  0.13323907084635497
90.0  206.6  305.4  0.15037050907674684
100.0  219.1  292.4  0.16760202862734092
110.0  230.7  280.7  0.18496478043130266
120.0  241.6  270.1  0.20225323235983153
130.0  251.9  260.3  0.21966431207640444
140.0  261.9  251.4  0.23712406035659903
150.0  271.5  243.2  0.2545399182839501
160.0  280.8  235.5  0.2719557684624469
170.0  290.0  228.4  0.28930105426700403
180.0  299.0  221.8  0.30674629582115576
200.0  316.6  209.9  0.341248809521733
225.0  338.3  197.0  0.3840177339655032
250.0  359.9  185.7  0.426270500973267
275.0  381.4  175.9  0.4677026512646684
300.0  402.9  167.2  0.5085050737210004
325.0  424.5  159.5  0.5484365141016779
350.0  446.2  152.5  0.5874561175100657
375.0  467.9  146.3  0.6256038442976514
400.0  489.5  140.5  0.662936482628615
450.0  532.8  130.5  0.734994122425479
500.0  575.9  122.0  0.8037580854958786
550.0  618.7  114.7  0.8693028010998239
600.0  661.0  108.3  0.9320094956597814
650.0  702.8  102.7  0.9920077872678218
