#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  105.7  1444.0  0.008453401682163223
11.0  110.9  1490.0  0.008906739021662193
12.0  115.8  1532.0  0.009394147114027968
13.0  120.6  1571.0  0.009800510190801293
14.0  125.1  1607.0  0.010206860437960343
15.0  129.5  1640.0  0.010660675400742677
16.0  133.7  1672.0  0.011114854924829205
17.0  137.9  1701.0  0.011520850663036998
18.0  141.9  1729.0  0.011846518475906752
20.0  149.5  1779.0  0.01267320006943787
22.5  158.6  1835.0  0.013615432420602733
25.0  167.2  1884.0  0.014557815770231467
27.5  175.3  1928.0  0.01545477272560163
30.0  183.1  1967.0  0.016314717282257758
32.5  190.6  2003.0  0.017224691579241704
35.0  197.8  2035.0  0.018039401320442985
37.5  204.8  2064.0  0.018899206332542117
40.0  211.5  2091.0  0.019681463360228073
45.0  224.3  2138.0  0.021323695739716417
50.0  236.4  2178.0  0.02292182366217837
55.0  248.0  2213.0  0.02456440514240066
60.0  259.0  2243.0  0.026047264731637373
65.0  269.6  2269.0  0.027562293083123548
70.0  279.7  2291.0  0.029045653719618706
80.0  299.1  2329.0  0.03204465634080041
90.0  317.2  2357.0  0.035044115055170105
100.0  334.4  2380.0  0.037885221393044545
110.0  350.7  2397.0  0.04072701805926871
120.0  366.3  2410.0  0.04361146638213396
130.0  381.2  2419.0  0.0463686316382099
140.0  395.6  2426.0  0.04921148239994402
150.0  409.5  2431.0  0.05196902923857632
160.0  422.9  2434.0  0.05477088642700609
170.0  436.0  2435.0  0.0575287754084858
180.0  448.6  2435.0  0.060256617893804834
200.0  472.9  2431.0  0.06578791682368428
225.0  492.0  2422.0  0.07259269935744228
250.0  503.3  2408.0  0.07945545922087419
275.0  518.8  2393.0  0.08643540941072704
300.0  537.1  2375.0  0.09334055924409282
325.0  557.0  2356.0  0.10029326996364213
350.0  577.8  2337.0  0.10724691137743782
375.0  598.8  2317.0  0.11428862585576921
400.0  619.7  2296.0  0.12120429035310591
450.0  660.1  2255.0  0.13528037551692412
500.0  697.9  2214.0  0.14933080727030174
550.0  732.7  2173.0  0.1634436294261725
600.0  764.4  2134.0  0.17763575090617317
650.0  793.1  2095.0  0.1920066144693979
700.0  819.0  2058.0  0.20637960170520728
800.0  863.7  1988.0  0.23545876496745669
900.0  900.5  1923.0  0.26497926333960553
1000.0  931.1  1862.0  0.29483748065671705
1100.0  957.1  1806.0  0.3252122076429481
1200.0  979.6  1753.0  0.3559155658298749
1300.0  999.7  1704.0  0.38713569972297834
1400.0  1018.0  1659.0  0.41877627678749907
1500.0  1035.0  1616.0  0.45084419703485146
1600.0  1052.0  1575.0  0.4831538574822724
1700.0  1068.0  1537.0  0.5158560845817368
1800.0  1084.0  1501.0  0.5489510542844417
2000.0  1118.0  1435.0  0.615940013312985
2250.0  1161.0  1362.0  0.7010825985574026
2500.0  1209.0  1297.0  0.7872688105088376
2750.0  1261.0  1239.0  0.8741396970736428
3000.0  1317.0  1187.0  0.9612415357234622
3250.0  1377.0  1140.0  1.0482224477657403
3500.0  1441.0  1097.0  1.1373632049613702
3750.0  1509.0  1058.0  1.2220299709908917
4000.0  1581.0  1022.0  1.3063823789381117
4500.0  1735.0  958.1  1.474257090876622
5000.0  1900.0  902.9  1.6315986822745354
5500.0  2074.0  854.6  1.787729769847781
6000.0  2257.0  812.0  1.9333360028717201
6500.0  2446.0  774.1  2.077932686590208
7000.0  2641.0  740.1  2.2121056846362475
8000.0  3041.0  681.4  2.46859139186703
9000.0  3449.0  632.6  2.703340638913269
10000.0  3859.0  591.1  2.9169230929182897
11000.0  4267.0  555.5  3.1192406848462335
12000.0  4669.0  524.4  3.3011525759952387
13000.0  5063.0  497.0  3.472411733939395
14000.0  5447.0  472.7  3.6332368075863153
15000.0  5820.0  451.0  3.7837740022363913
16000.0  6182.0  431.4  3.933732737489928
17000.0  6531.0  413.7  4.073647910656983
18000.0  6868.0  397.5  4.203533000940994
20000.0  7505.0  369.1  4.452844202304859
22500.0  8234.0  339.3  4.741556724325883
25000.0  8895.0  314.5  5.009939498636685
27500.0  9495.0  293.5  5.258291362220241
30000.0  10040.0  275.3  5.496476276670354
