#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  96.46  1426.0  0.008536978388165218
11.0  101.2  1471.0  0.00898943824718764
12.0  105.7  1514.0  0.009396807968666807
13.0  110.0  1553.0  0.00984936546179499
14.0  114.1  1589.0  0.010336827366266692
15.0  118.1  1622.0  0.010661144403862092
16.0  122.0  1654.0  0.011114405067298924
17.0  125.8  1683.0  0.011521284650593442
18.0  129.4  1711.0  0.011893695809125103
20.0  136.4  1762.0  0.012672016414130785
22.5  144.7  1819.0  0.013613596145030892
25.0  152.5  1868.0  0.014555411364849846
27.5  160.0  1913.0  0.01541557653803451
30.0  167.1  1953.0  0.016357567056258702
32.5  173.9  1989.0  0.01721772342674838
35.0  180.5  2021.0  0.017998055450520203
37.5  186.8  2051.0  0.018858154734755998
40.0  192.9  2079.0  0.01975474626513841
45.0  204.6  2127.0  0.021313376081700433
50.0  215.7  2168.0  0.022954738072999224
55.0  226.2  2204.0  0.02443542510373004
60.0  236.3  2235.0  0.02607738483820799
65.0  245.9  2262.0  0.027591484193497093
70.0  255.2  2285.0  0.029073355499494725
80.0  272.8  2325.0  0.031986559677464534
90.0  289.4  2355.0  0.0349841392633862
100.0  305.0  2379.0  0.03789815298929488
110.0  319.9  2398.0  0.04065292117425266
120.0  334.2  2412.0  0.04353584729851941
130.0  347.8  2423.0  0.04629146789636293
140.0  360.9  2432.0  0.04913227045435617
150.0  373.6  2437.0  0.051888630739305504
160.0  385.9  2441.0  0.05464521937004188
170.0  397.7  2444.0  0.057402003449357066
180.0  409.3  2444.0  0.06024425283792638
200.0  431.4  2443.0  0.06572822833455957
225.0  451.5  2435.0  0.07252923548473401
250.0  464.9  2424.0  0.07937310627662243
275.0  479.9  2410.0  0.08630376585062786
300.0  496.7  2394.0  0.09316463921467201
325.0  514.9  2377.0  0.1001834816723795
350.0  534.1  2358.0  0.10704662535549639
375.0  554.1  2339.0  0.11406691018871336
400.0  574.3  2320.0  0.12101842834874366
450.0  614.3  2280.0  0.1350396978669606
500.0  652.5  2240.0  0.1490351971850945
550.0  688.2  2200.0  0.16319662986716363
600.0  721.1  2162.0  0.17733262531186977
650.0  751.4  2124.0  0.1915864817778123
700.0  779.2  2088.0  0.20586386278315094
800.0  827.9  2018.0  0.23484405464052097
900.0  869.1  1954.0  0.2640323086290767
1000.0  904.3  1893.0  0.29369870615990123
1100.0  934.8  1837.0  0.32381712431556176
1200.0  961.8  1784.0  0.3542101636034743
1300.0  986.2  1735.0  0.38502045400212187
1400.0  1009.0  1689.0  0.4161326471210833
1500.0  1030.0  1646.0  0.44770014518648527
1600.0  1050.0  1605.0  0.47956964040689654
1700.0  1069.0  1567.0  0.511680349437029
1800.0  1088.0  1531.0  0.5440933192017707
2000.0  1126.0  1464.0  0.6098063545093639
2250.0  1174.0  1390.0  0.6931515418723383
2500.0  1225.0  1325.0  0.7774144390220701
2750.0  1278.0  1266.0  0.8623680420794825
3000.0  1335.0  1213.0  0.9475514128531497
3250.0  1396.0  1165.0  1.0326120036102622
3500.0  1461.0  1122.0  1.118909848915452
3750.0  1529.0  1082.0  1.2033773306822761
4000.0  1601.0  1045.0  1.2875938684228034
4500.0  1754.0  980.3  1.4459371009833037
5000.0  1919.0  924.1  1.603035751316857
5500.0  2094.0  874.9  1.7589757758422937
6000.0  2277.0  831.5  1.9044344173533516
6500.0  2467.0  792.8  2.048856200420127
7000.0  2662.0  758.1  2.1829411764864393
8000.0  3062.0  698.2  2.429852631333843
9000.0  3470.0  648.3  2.6644794482224854
10000.0  3879.0  605.9  2.8684949032550153
11000.0  4285.0  569.5  3.0707289199797496
12000.0  4685.0  537.7  3.252597694151553
13000.0  5075.0  509.7  3.423839921783727
14000.0  5456.0  484.8  3.584653463028191
15000.0  5824.0  462.6  3.7351648865880067
16000.0  6181.0  442.5  3.8851159429288593
17000.0  6524.0  424.4  4.015415421846163
18000.0  6856.0  407.8  4.154937944181597
20000.0  7481.0  378.7  4.404280192040466
22500.0  8197.0  348.2  4.692989649466532
25000.0  8846.0  322.8  4.961430951852499
27500.0  9436.0  301.2  5.209813840244198
30000.0  9974.0  282.6  5.448032262202565
