#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  118.5  1904.0  0.00740607858451421
11.0  124.3  1961.0  0.007826237921249264
12.0  129.8  2014.0  0.008246817568007674
13.0  135.1  2063.0  0.008577878525602935
14.0  140.2  2108.0  0.009007774419910835
15.0  145.1  2149.0  0.00933862944976403
16.0  149.9  2188.0  0.009669539802906859
17.0  154.5  2224.0  0.010090589675534329
18.0  159.0  2258.0  0.010421612159354233
20.0  167.6  2320.0  0.0110837719211467
22.5  177.8  2388.0  0.011960769206033534
25.0  187.4  2448.0  0.012778497564267875
27.5  196.5  2500.0  0.01356502856613284
30.0  205.3  2547.0  0.014408677940741129
32.5  213.6  2589.0  0.015161794089091175
35.0  221.7  2627.0  0.015915087181665077
37.5  229.5  2661.0  0.016676330531624758
40.0  237.0  2692.0  0.017429572570777516
45.0  251.4  2746.0  0.018820467581864165
50.0  265.0  2791.0  0.02030320171795572
55.0  277.9  2830.0  0.02169469981354893
60.0  290.3  2862.0  0.02308635960908519
65.0  302.1  2890.0  0.02447815352513339
70.0  313.5  2913.0  0.025870059914890033
80.0  335.2  2951.0  0.028531035733039906
90.0  355.5  2978.0  0.03122322853261655
100.0  374.8  2998.0  0.03386177786236275
110.0  393.1  3011.0  0.03640851548745156
120.0  410.5  3020.0  0.03907096108364881
130.0  427.3  3025.0  0.041618265220933946
140.0  443.4  3026.0  0.04416582389133027
150.0  459.0  3025.0  0.04677713116470483
160.0  474.0  3022.0  0.0493252470850375
170.0  488.6  3017.0  0.05187349997831263
180.0  502.8  3011.0  0.05442187060364611
200.0  530.0  2995.0  0.05946847904562551
225.0  550.6  2970.0  0.06588057376799325
250.0  563.3  2942.0  0.07222852622060069
275.0  582.2  2911.0  0.07873626864412614
300.0  605.0  2879.0  0.08517898801934665
325.0  630.0  2846.0  0.09166782423511535
350.0  656.3  2813.0  0.09827196955388653
375.0  683.1  2780.0  0.10478272758427318
400.0  710.0  2747.0  0.11136812829530719
450.0  763.1  2682.0  0.12456078837258538
500.0  813.7  2619.0  0.13791769284613195
550.0  861.1  2558.0  0.15127679927867327
600.0  905.1  2500.0  0.16473226763448623
650.0  945.6  2444.0  0.17825837988717388
700.0  982.9  2392.0  0.19188113508107044
800.0  1049.0  2293.0  0.2193026675624353
900.0  1105.0  2203.0  0.24717469530678093
1000.0  1153.0  2120.0  0.2753204678188674
1100.0  1195.0  2045.0  0.3038474781860136
1200.0  1233.0  1975.0  0.3327618367541567
1300.0  1267.0  1911.0  0.36192731314450427
1400.0  1298.0  1852.0  0.3914024271769403
1500.0  1328.0  1797.0  0.42124286344103207
1600.0  1356.0  1745.0  0.45125756503354053
1700.0  1383.0  1697.0  0.4815648865936968
1800.0  1409.0  1652.0  0.5121600140581067
2000.0  1462.0  1570.0  0.5738097681287764
2250.0  1528.0  1481.0  0.6518878047639793
2500.0  1597.0  1402.0  0.7303545440400847
2750.0  1670.0  1333.0  0.8091439983093245
3000.0  1747.0  1271.0  0.8878227807394897
3250.0  1827.0  1215.0  0.9659864854127101
3500.0  1913.0  1165.0  1.0409728622783594
3750.0  2002.0  1120.0  1.1221460243658132
4000.0  2095.0  1079.0  1.1934842856108328
4500.0  2293.0  1005.0  1.345592880480571
5000.0  2504.0  942.9  1.4875192939925184
5500.0  2725.0  888.7  1.6192499899644899
6000.0  2954.0  841.3  1.750573905894864
6500.0  3190.0  799.3  1.8717769124551142
7000.0  3432.0  761.9  1.9926770059394974
8000.0  3924.0  697.8  2.2142106720002954
9000.0  4423.0  644.9  2.405458586215942
10000.0  4921.0  600.4  2.596017182146528
11000.0  5414.0  562.3  2.7566289068353034
12000.0  5898.0  529.3  2.916834127954485
13000.0  6369.0  500.3  3.066909664466823
14000.0  6828.0  474.8  3.1970407770311593
15000.0  7271.0  452.0  3.3269796302352077
16000.0  7700.0  431.5  3.456782394076897
17000.0  8112.0  413.0  3.5765953251660996
18000.0  8508.0  396.2  3.6864443641536218
20000.0  9254.0  366.8  3.8960859654273547
22500.0  10100.0  336.2  4.145479384823907
25000.0  10860.0  310.8  4.364953196770843
27500.0  11540.0  289.3  4.584271219070704
30000.0  12150.0  270.8  4.783674324198921
