#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  1.147  9.707  0.0001414213562373095
0.0012  1.147  10.29  0.0001414213562373095
0.0013000000000000002  1.194  10.85  0.00017320508075688773
0.0014  1.239  11.4  0.0002449489742783178
0.0015  1.283  11.93  0.0002449489742783178
0.0016  1.325  12.45  0.0002449489742783178
0.0017  1.365  12.96  0.0002449489742783178
0.0018000000000000002  1.405  13.46  0.0002449489742783178
0.002  1.481  14.42  0.0002449489742783178
0.0022500000000000003  1.571  15.58  0.0002449489742783178
0.00249999  1.656  16.68  0.0002449489742783178
0.00274999  1.737  17.75  0.0002449489742783178
0.00299999  1.814  18.77  0.0002449489742783178
0.00324999  1.888  19.77  0.0002449489742783178
0.00349999  1.959  20.73  0.0002449489742783178
0.00374999  2.028  21.66  0.0002449489742783178
0.00399999  2.095  22.57  0.0002449489742783178
0.004499990000000001  2.222  24.33  0.00033166247903554
0.00499999  2.342  26.0  0.00033166247903554
0.005499990000000001  2.456  27.6  0.00033166247903554
0.00599999  2.565  29.15  0.00033166247903554
0.006499990000000001  2.67  30.64  0.0003741657386773942
0.00699999  2.771  32.08  0.0003741657386773942
0.00799999  2.962  34.84  0.0003741657386773942
0.008999990000000001  3.142  37.46  0.0003741657386773942
0.00999999  3.312  39.94  0.000458257569495584
0.0109999  3.473  42.32  0.000458257569495584
0.0119999  3.628  44.61  0.0004898979485566356
0.0129999  3.776  46.8  0.0004898979485566356
0.013999900000000001  3.919  48.92  0.0004898979485566356
0.0149999  4.056  50.98  0.0004898979485566356
0.0159999  4.189  52.97  0.0004898979485566356
0.016999900000000002  4.318  54.9  0.0004898979485566356
0.0179999  4.443  56.78  0.0004898979485566356
0.0199999  4.684  60.4  0.0006164414002968976
0.0224999  4.968  64.68  0.0006164414002968976
0.024999900000000002  5.236  68.74  0.0006164414002968976
0.0274999  5.492  72.6  0.0006164414002968976
0.0299999  5.736  76.29  0.0006164414002968976
0.0324999  5.97  79.82  0.0007000000000000001
0.0349999  6.196  83.22  0.0007000000000000001
0.037499899999999996  6.413  86.5  0.0007000000000000001
0.0399999  6.624  89.67  0.0007000000000000001
0.044999899999999995  7.025  95.71  0.0007810249675906655
0.0499999  7.405  101.4  0.0008602325267042626
0.0549999  7.767  106.8  0.0008602325267042626
0.059999899999999995  8.112  111.9  0.0008602325267042626
0.0649999  8.443  116.8  0.0009433981132056604
0.0699999  8.762  121.5  0.0009433981132056604
0.0799999  9.367  130.3  0.0009899494936611666
0.0899999  9.935  138.6  0.001072380529476361
0.0999999  10.47  146.3  0.0011045361017187263
0.11  10.98  153.6  0.0011874342087037917
0.12  11.47  160.4  0.0011874342087037917
0.13  11.94  167.0  0.0012328828005937953
0.13999899999999998  12.39  173.2  0.0013152946437965905
0.149999  12.83  179.2  0.0013152946437965905
0.159999  13.25  184.9  0.0013152946437965905
0.169999  13.65  190.3  0.0014317821063276354
0.179999  14.05  195.6  0.0014317821063276354
0.199999  14.81  205.6  0.0015588457268119896
0.224999  15.71  217.3  0.0015588457268119896
0.249999  16.56  228.1  0.0016431676725154984
0.27499900000000005  17.37  238.1  0.0018027756377319948
0.299999  18.14  247.6  0.0018027756377319948
0.32499900000000004  18.88  256.4  0.0018867962264113207
0.349999  19.59  264.9  0.0019313207915827967
0.374999  20.28  272.8  0.0020149441679609887
0.39999900000000005  20.95  280.4  0.002130727575266252
0.44999900000000004  22.22  294.6  0.002258317958127243
0.499999  23.42  307.7  0.002343074902771996
0.549999  24.56  319.7  0.002501999200639361
0.5999990000000001  25.65  330.9  0.0025865034312755127
0.649999  26.7  341.4  0.0026720778431774776
0.699999  27.71  351.3  0.0028301943396169815
0.799999  29.62  369.3  0.0029580398915498084
0.899999  31.42  385.5  0.003159113799786263
0.9999990000000001  33.12  400.2  0.0033719430600174733
1.1  34.73  413.6  0.003529872518944558
1.2  36.28  426.0  0.0037013511046643495
1.3  37.76  437.4  0.003858756276314947
1.4  39.19  448.1  0.004071854614300466
1.5  40.56  458.0  0.004188078318274385
1.6  41.89  467.3  0.004401136216933077
1.7  43.18  476.1  0.004487761134463375
1.8  44.43  484.3  0.004644351407893248
2.0  46.84  499.5  0.004973932046178355
2.25  49.68  516.3  0.005303772242470447
2.5  52.36  531.3  0.005633826408401309
2.75  54.92  544.7  0.006061352984276696
3.0  57.36  556.7  0.006391400472509918
3.25  59.7  567.7  0.006721606950722424
3.5  61.96  577.6  0.0069641941385920605
3.75  64.13  586.8  0.007294518489934754
4.0  66.24  595.2  0.007624959016283301
4.5  70.25  610.1  0.008257723657279892
5.0  74.05  622.9  0.008830628516702535
5.5  77.67  634.1  0.009464142856064674
6.0  81.12  643.9  0.010036931802099682
6.5  84.44  652.5  0.010582060290888538
7.0  87.62  660.1  0.011127443551867608
8.0  93.67  672.9  0.012209013064126027
9.0  99.36  683.0  0.01332704018152568
10.0  104.7  691.2  0.014382628410690447
11.0  109.8  697.8  0.01546544535407888
12.0  114.7  703.0  0.01646724020593615
13.0  119.4  707.2  0.01755021367391292
14.0  123.9  710.5  0.018517289218457435
15.0  128.3  713.1  0.01957498403575339
16.0  132.5  715.1  0.02056817930688081
17.0  136.6  716.5  0.02153578417425286
18.0  140.5  717.4  0.02259424705539001
20.0  148.1  718.2  0.024530389316111557
22.5  157.1  717.5  0.027037936311782376
25.0  165.6  715.4  0.029487963646206566
27.5  173.7  712.3  0.031938847818917954
30.0  181.4  708.6  0.034414386526567635
32.5  188.8  704.2  0.0368662447233238
35.0  195.9  699.5  0.03931857067595413
37.5  202.8  694.5  0.04177128200091541
40.0  209.5  689.3  0.04422431457919953
45.0  222.2  678.4  0.04916950274306219
50.0  234.2  667.3  0.054047109080875
55.0  245.6  656.2  0.058925715948132534
60.0  256.5  645.2  0.06387573874328187
65.0  267.0  634.4  0.06884889251106367
70.0  277.1  623.8  0.07380094850338985
80.0  296.3  603.5  0.08376431220991432
90.0  324.2  584.4  0.09371035161603013
100.0  347.8  566.5  0.10365249635199339
110.0  367.7  549.8  0.11357667013960218
120.0  384.7  534.1  0.12347619203716967
130.0  399.4  519.3  0.1333313916525287
140.0  412.3  505.5  0.14320956671954568
150.0  423.9  492.5  0.1532332209411523
160.0  434.5  480.3  0.1632104469695491
170.0  444.3  468.7  0.17321402945489148
180.0  453.5  457.8  0.18334014835818152
200.0  470.5  437.7  0.20357386865705532
225.0  490.0  415.3  0.22909164105222174
250.0  508.5  395.4  0.2546883193238355
275.0  526.4  377.7  0.2804452174667987
300.0  544.1  361.7  0.3061490649993889
325.0  561.8  347.3  0.33193634932016713
350.0  579.5  334.1  0.35757568429634584
375.0  597.4  322.1  0.3832023616837454
400.0  615.5  311.1  0.4085856091445219
450.0  651.9  291.4  0.45900937898914446
500.0  688.7  274.5  0.5085534091912078
550.0  725.7  259.7  0.5570872552841252
600.0  762.6  246.6  0.604645061172255
650.0  799.4  235.0  0.6512285850605761
700.0  835.8  224.6  0.6966603907213327
800.0  907.4  206.6  0.7845833926358625
900.0  976.9  191.7  0.8685063845476324
1000.0  1044.0  179.0  0.9488124946479152
1100.0  1109.0  168.1  1.0218764015280908
1200.0  1171.0  158.6  1.1021152208367326
1300.0  1230.0  150.3  1.1724372264645984
1400.0  1288.0  142.9  1.2426497897637934
1500.0  1343.0  136.3  1.302957792869746
1600.0  1397.0  130.3  1.373006809888429
1700.0  1449.0  124.9  1.4331560138379908
1800.0  1499.0  120.0  1.493257971684732
2000.0  1596.0  111.3  1.6133477058588457
2250.0  1710.0  102.3  1.7534258239229854
2500.0  1819.0  94.78  1.8834517302017593
2750.0  1923.0  88.39  2.003442380004975
3000.0  2024.0  82.89  2.123337818153296
3250.0  2122.0  78.1  2.2431536037462974
3500.0  2218.0  73.89  2.353010482339592
3750.0  2311.0  70.15  2.452914276936722
4000.0  2402.0  66.81  2.552764432923649
4500.0  2579.0  61.08  2.7524323079778004
5000.0  2749.0  56.34  2.932150432702934
5500.0  2912.0  52.34  3.101861436299178
6000.0  3067.0  48.92  3.2615732400177686
6500.0  3214.0  45.96  3.421253024843383
7000.0  3353.0  43.36  3.5709534021042617
8000.0  3608.0  39.03  3.8505134475807252
9000.0  3832.0  35.54  4.120033802045803
10000.0  4027.0  32.67  4.369618685880955
