#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  62.97  1103.0  0.009706183596038146
11.0  66.04  1132.0  0.010270345661174215
12.0  68.98  1158.0  0.01088577052853862
13.0  71.79  1181.0  0.011423221962301179
14.0  74.5  1203.0  0.01195198728245642
15.0  77.12  1223.0  0.012489195330364564
16.0  79.65  1241.0  0.012976131935210895
17.0  82.1  1258.0  0.013591909358143911
18.0  84.48  1274.0  0.014079062468786763
20.0  89.05  1302.0  0.015067182882012153
22.5  94.45  1332.0  0.016334931894562647
25.0  99.56  1359.0  0.01751741990134392
27.5  104.4  1381.0  0.018749399990399693
30.0  109.1  1401.0  0.019932636554154094
32.5  113.5  1418.0  0.021164829316580844
35.0  117.8  1433.0  0.02226858774148015
37.5  121.9  1446.0  0.023452505196673554
40.0  125.9  1458.0  0.024521215304303335
45.0  133.6  1477.0  0.026809699737221974
50.0  140.8  1493.0  0.028982926008255274
55.0  147.7  1505.0  0.031272032233291135
60.0  154.2  1514.0  0.033445627516911686
65.0  160.5  1521.0  0.03561937674917965
70.0  166.6  1527.0  0.037746258092690464
80.0  178.1  1534.0  0.04204771099596267
90.0  188.9  1536.0  0.046349757280917885
100.0  199.1  1536.0  0.050618376109867455
110.0  208.8  1533.0  0.054921307340594146
120.0  218.1  1529.0  0.05914507587280619
130.0  227.0  1523.0  0.06349779523731514
140.0  235.6  1516.0  0.06775610673585075
150.0  244.1  1508.0  0.07202700882307969
160.0  265.0  1500.0  0.07633577143122353
170.0  281.5  1492.0  0.08056214992165986
180.0  294.8  1483.0  0.08482157744347839
200.0  315.1  1464.0  0.09335893101358862
225.0  334.5  1440.0  0.10398321980011968
250.0  351.4  1416.0  0.11478854472463705
275.0  368.0  1393.0  0.1256796721828952
300.0  384.9  1369.0  0.13660424590765838
325.0  402.3  1347.0  0.14766695635787988
350.0  420.1  1325.0  0.15868815330704433
375.0  438.2  1303.0  0.16987000912462447
400.0  456.7  1283.0  0.18097903193464154
450.0  494.1  1243.0  0.2034760673887718
500.0  531.5  1206.0  0.2259912830177306
550.0  568.4  1172.0  0.24867217375492578
600.0  604.6  1140.0  0.2713725299288784
650.0  639.8  1110.0  0.2939964795707595
700.0  674.0  1082.0  0.31664146917294334
800.0  739.2  1030.0  0.3619908700506133
900.0  800.5  984.0  0.4072397573911467
1000.0  858.5  942.7  0.45226733244840933
1100.0  913.8  905.4  0.49722194239594864
1200.0  966.7  871.5  0.5418258114929557
1300.0  1018.0  840.6  0.5861278529467782
1400.0  1068.0  812.1  0.6301512675540691
1500.0  1117.0  786.0  0.673788238247003
1600.0  1164.0  761.7  0.7171578696493542
1700.0  1212.0  739.2  0.7601115773358541
1800.0  1259.0  718.3  0.8026548261862007
2000.0  1352.0  680.3  0.886505831904111
2250.0  1468.0  639.1  0.9886964448201481
2500.0  1584.0  603.4  1.087909522892414
2750.0  1701.0  572.1  1.1836988341634878
3000.0  1820.0  544.3  1.2774625004280946
3250.0  1940.0  519.6  1.3705299887269888
3500.0  2061.0  497.4  1.4537880485132626
3750.0  2183.0  477.2  1.5364243229004153
4000.0  2305.0  458.9  1.6185629428601163
4500.0  2551.0  426.7  1.772235565606333
5000.0  2796.0  399.4  1.9150667507948647
5500.0  3039.0  375.8  2.056686220598563
6000.0  3279.0  355.2  2.178595056452667
6500.0  3514.0  337.0  2.2996389129600328
7000.0  3744.0  320.8  2.4200648854937756
8000.0  4185.0  293.3  2.6310229436475843
9000.0  4601.0  270.6  2.8309751623777983
10000.0  4990.0  251.5  3.0107936794141175
11000.0  5353.0  235.3  3.1898402248388558
12000.0  5692.0  221.2  3.349123534598269
13000.0  6007.0  208.9  3.508002082382506
14000.0  6301.0  198.1  3.6569174806112317
15000.0  6576.0  188.4  3.795955775559036
16000.0  6832.0  179.8  3.9347819672759505
17000.0  7072.0  172.0  4.0734549377647475
18000.0  7298.0  164.9  4.20233921167723
20000.0  7711.0  152.5  4.45017895370512
22500.0  8167.0  139.6  4.747495971562272
25000.0  8571.0  128.9  5.0348384532177395
27500.0  8932.0  119.9  5.302513525678176
30000.0  9260.0  112.2  5.570113539237777
