#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  160.5  1861.0  0.007918333157931662
11.0  168.4  1936.0  0.008289752710425083
12.0  175.8  2007.0  0.008618004409374597
13.0  183.0  2073.0  0.00898943824718764
14.0  189.9  2135.0  0.009317725044236924
15.0  196.6  2194.0  0.009646242791885347
16.0  203.0  2250.0  0.010017484714238401
17.0  209.3  2302.0  0.01034601372510205
18.0  215.4  2353.0  0.010558882516630253
20.0  227.0  2447.0  0.011216505694733989
22.5  240.8  2554.0  0.011916375287812987
25.0  253.8  2650.0  0.012616259350536514
27.5  266.2  2739.0  0.013274411474713296
30.0  278.0  2820.0  0.013974262055650739
32.5  289.4  2896.0  0.014546820958546236
35.0  300.3  2966.0  0.01517563837207516
37.5  310.8  3031.0  0.015789236840328923
40.0  321.0  3093.0  0.01633217682980441
45.0  340.5  3204.0  0.017563883397472214
50.0  358.9  3304.0  0.018679935760060846
55.0  376.5  3394.0  0.019709388625728602
60.0  393.2  3476.0  0.020796634343085423
65.0  409.3  3550.0  0.021786463687344947
70.0  424.7  3618.0  0.02281600315568001
80.0  454.0  3739.0  0.024807055447997047
90.0  481.6  3843.0  0.026711046404062872
100.0  507.6  3934.0  0.028576563824224917
110.0  532.4  4013.0  0.030442733123029544
120.0  556.1  4084.0  0.03219316697686017
130.0  578.8  4147.0  0.0339719001529205
140.0  600.6  4203.0  0.03563453381202005
150.0  621.7  4254.0  0.03738582619121852
160.0  642.1  4299.0  0.03907633554979279
170.0  661.9  4341.0  0.0407908077880299
180.0  681.0  4379.0  0.042453975078901626
200.0  717.9  4444.0  0.04565479164337518
225.0  761.4  4511.0  0.049695673855980664
250.0  802.6  4564.0  0.05362145093150689
275.0  841.8  4607.0  0.05751217262458445
300.0  879.2  4642.0  0.06137629835693906
325.0  915.1  4670.0  0.06517875420718013
350.0  949.7  4692.0  0.06886588415173366
375.0  983.0  4709.0  0.07266945713296612
400.0  1026.0  4721.0  0.07638337515454524
450.0  1152.0  4737.0  0.0836612813671892
500.0  1243.0  4743.0  0.09088058098405842
550.0  1313.0  4740.0  0.09801101978859317
600.0  1369.0  4732.0  0.10505184434363826
650.0  1414.0  4718.0  0.1121505238507605
700.0  1453.0  4702.0  0.11913475563411377
800.0  1518.0  4660.0  0.13319737234645435
900.0  1573.0  4612.0  0.14723939690178034
1000.0  1622.0  4559.0  0.16137598953995605
1100.0  1669.0  4503.0  0.17557465648549625
1200.0  1713.0  4447.0  0.18975289194107162
1300.0  1756.0  4390.0  0.2041406133036736
1400.0  1797.0  4333.0  0.21850778018185074
1500.0  1837.0  4276.0  0.23296931128369675
1600.0  1876.0  4221.0  0.24749406053479345
1700.0  1914.0  4166.0  0.2620297693011235
1800.0  1950.0  4112.0  0.2766510437356057
2000.0  2020.0  4009.0  0.30617682799323664
2250.0  2100.0  3886.0  0.3433431374004729
2500.0  2173.0  3770.0  0.38097545852718656
2750.0  2240.0  3662.0  0.4189598787473569
3000.0  2301.0  3560.0  0.4572035214212594
3250.0  2357.0  3465.0  0.495902127440486
3500.0  2409.0  3376.0  0.5349012806116658
3750.0  2457.0  3291.0  0.5742062434352312
4000.0  2502.0  3212.0  0.6138280378086358
4500.0  2581.0  3065.0  0.6939883212273821
5000.0  2651.0  2934.0  0.7753170319295197
5500.0  2713.0  2815.0  0.8577002040340204
6000.0  2768.0  2708.0  0.9410601362293487
6500.0  2818.0  2609.0  1.025362769950226
7000.0  2865.0  2519.0  1.115233361229837
8000.0  2953.0  2359.0  1.2812868882494661
9000.0  3037.0  2221.0  1.456693516152248
10000.0  3124.0  2101.0  1.6319495090228742
11000.0  3216.0  1996.0  1.8166036992145536
12000.0  3315.0  1902.0  1.9914366372044077
13000.0  3424.0  1818.0  2.175662372704
14000.0  3542.0  1742.0  2.349986768047854
15000.0  3670.0  1673.0  2.524030855595866
16000.0  3808.0  1610.0  2.6977835087345317
17000.0  3957.0  1553.0  2.871211432479329
18000.0  4115.0  1500.0  3.044311432820236
20000.0  4457.0  1406.0  3.370371322272963
22500.0  4929.0  1305.0  3.756837229638782
25000.0  5440.0  1220.0  4.131740002710722
27500.0  5980.0  1147.0  4.475871567639089
30000.0  6540.0  1083.0  4.799173212127273
