#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  180.5  2281.0  0.0073769912566031964
11.0  189.3  2371.0  0.00768505042273634
12.0  197.7  2455.0  0.008108020720249796
13.0  205.8  2533.0  0.008438601779915912
14.0  213.5  2607.0  0.00871665073293636
15.0  221.0  2676.0  0.009047098982546837
16.0  228.3  2742.0  0.009284934033152848
17.0  235.3  2804.0  0.009593226777263217
18.0  242.1  2863.0  0.009923708984044223
20.0  255.2  2973.0  0.01043982758478319
22.5  270.7  3098.0  0.011171839597846006
25.0  285.3  3211.0  0.011803389343743602
27.5  299.3  3313.0  0.012442266674525186
30.0  312.6  3408.0  0.013052585950684257
32.5  325.3  3494.0  0.013598161640457141
35.0  337.6  3575.0  0.014208800090085018
37.5  349.5  3650.0  0.014775655653811105
40.0  360.9  3720.0  0.015292808767522073
45.0  382.8  3847.0  0.016449012128392393
50.0  403.5  3960.0  0.01748399267901929
55.0  423.2  4062.0  0.018452913049163806
60.0  442.0  4153.0  0.019488201558891985
65.0  460.1  4236.0  0.020429880077964237
70.0  477.5  4312.0  0.021350878202078715
80.0  510.4  4445.0  0.023261341319880932
90.0  541.4  4559.0  0.025030581295687082
100.0  570.7  4657.0  0.026800186566514794
110.0  598.5  4743.0  0.028590208113967973
120.0  625.2  4818.0  0.030240039682513646
130.0  650.7  4884.0  0.03191567013239735
140.0  675.2  4943.0  0.03359136793880237
150.0  698.9  4995.0  0.035127482118705866
160.0  721.9  5042.0  0.03677852634350648
170.0  744.1  5083.0  0.03835961417949873
180.0  765.7  5121.0  0.03991603687742559
200.0  807.1  5185.0  0.04303428865451362
225.0  856.0  5248.0  0.046786109049588645
250.0  902.3  5297.0  0.05061432603522445
275.0  946.4  5334.0  0.05422886685152107
300.0  988.5  5362.0  0.057962832919035284
325.0  1029.0  5382.0  0.06157832410840685
350.0  1068.0  5396.0  0.06519424821255324
375.0  1105.0  5405.0  0.0687378352874165
400.0  1153.0  5410.0  0.07225856350634159
450.0  1292.0  5409.0  0.07928246968908072
500.0  1399.0  5397.0  0.08618909443775356
550.0  1484.0  5378.0  0.09307899870540079
600.0  1553.0  5352.0  0.09989144107479879
650.0  1612.0  5323.0  0.10659090017445205
700.0  1664.0  5290.0  0.11336551503874535
800.0  1755.0  5218.0  0.1268420277352897
900.0  1836.0  5141.0  0.14032027651055995
1000.0  1910.0  5061.0  0.1538590588818221
1100.0  1981.0  4980.0  0.167399701313951
1200.0  2049.0  4900.0  0.18101825874756391
1300.0  2115.0  4821.0  0.19462253209739103
1400.0  2179.0  4744.0  0.20834099452580138
1500.0  2241.0  4668.0  0.2220449954401134
1600.0  2301.0  4594.0  0.23573090590756235
1700.0  2360.0  4523.0  0.2495496143054523
1800.0  2417.0  4453.0  0.26343175586857404
2000.0  2527.0  4321.0  0.29118073425280044
2250.0  2654.0  4166.0  0.3260566515193334
2500.0  2772.0  4023.0  0.36122603726752583
2750.0  2880.0  3891.0  0.3964472474365284
3000.0  2979.0  3769.0  0.4319337680709856
3250.0  3069.0  3655.0  0.46750540103831956
3500.0  3152.0  3548.0  0.5032735439102676
3750.0  3228.0  3449.0  0.5391966153454602
4000.0  3297.0  3356.0  0.5752352562213134
4500.0  3418.0  3187.0  0.647961156243181
5000.0  3521.0  3037.0  0.7212419912900248
5500.0  3609.0  2903.0  0.7951607699075703
6000.0  3685.0  2781.0  0.8697470091929032
6500.0  3751.0  2672.0  0.944890205261966
7000.0  3812.0  2572.0  1.018725949409359
8000.0  3919.0  2396.0  1.1703633837402807
9000.0  4018.0  2246.0  1.3317568697025746
10000.0  4118.0  2117.0  1.4832282224930862
11000.0  4222.0  2004.0  1.6444565333264363
12000.0  4336.0  1904.0  1.7957612591878689
13000.0  4460.0  1815.0  1.9568257280606263
14000.0  4597.0  1735.0  2.1079444703312276
15000.0  4747.0  1663.0  2.2589656150548194
16000.0  4909.0  1597.0  2.4098913108271085
17000.0  5084.0  1537.0  2.560724446323735
18000.0  5270.0  1482.0  2.711456409385923
20000.0  5677.0  1385.0  2.9929916287888276
22500.0  6240.0  1282.0  3.3246381607627615
25000.0  6850.0  1195.0  3.645822059563522
27500.0  7495.0  1121.0  3.9368341405245917
30000.0  8164.0  1056.0  4.2175261528531145
