#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  55.07  1604.0  0.008452810183601665
11.0  57.76  1660.0  0.008940357934669059
12.0  60.33  1712.0  0.00934826187052973
13.0  62.79  1761.0  0.0097205966895042
14.0  65.16  1806.0  0.010175460677532002
15.0  67.45  1849.0  0.01053470455209827
16.0  69.66  1889.0  0.010906878563548786
17.0  71.81  1926.0  0.01136177802986839
18.0  73.89  1962.0  0.011688455843266894
20.0  77.88  2027.0  0.012387493693237548
22.5  82.61  2101.0  0.013330416347586447
25.0  87.08  2166.0  0.014145317246354002
27.5  91.33  2225.0  0.014972641717479251
30.0  95.39  2279.0  0.015755633912984904
32.5  99.28  2328.0  0.01657075737556977
35.0  103.0  2373.0  0.017398275776639476
37.5  106.6  2414.0  0.01818185909086307
40.0  110.1  2452.0  0.018912958520548816
45.0  116.8  2521.0  0.020396323198066852
50.0  123.1  2581.0  0.021836895383730723
55.0  129.2  2633.0  0.0232363938682404
60.0  134.9  2680.0  0.02459308845997184
65.0  140.4  2721.0  0.026077768309424026
70.0  145.7  2758.0  0.0273497714798497
80.0  155.8  2822.0  0.0300647634283059
90.0  165.2  2875.0  0.032706268512320384
100.0  174.2  2918.0  0.035264855025931977
110.0  182.7  2954.0  0.03780965485163809
120.0  190.8  2985.0  0.04029454057313472
130.0  198.6  3011.0  0.042768563221132413
140.0  206.1  3032.0  0.04528377192770055
150.0  213.3  3051.0  0.04775835005525212
160.0  220.3  3066.0  0.05020388431187372
170.0  227.1  3079.0  0.05263278445987824
180.0  233.7  3089.0  0.05507885256611652
200.0  246.3  3105.0  0.059914105184004876
225.0  261.2  3116.0  0.06595377168896409
250.0  275.4  3121.0  0.07194678589068453
275.0  288.8  3120.0  0.07795979733170168
300.0  331.1  3116.0  0.0838862920863713
325.0  362.1  3108.0  0.08980228282176352
350.0  384.9  3098.0  0.09572988039269661
375.0  402.2  3086.0  0.10161919110089393
400.0  415.9  3073.0  0.10750911589256049
450.0  437.1  3043.0  0.1193014249705342
500.0  454.7  3010.0  0.13127212194521728
550.0  471.4  2975.0  0.1433331085269555
600.0  488.4  2939.0  0.15548440436262412
650.0  506.3  2903.0  0.16772605641342672
700.0  525.1  2867.0  0.18005812950266922
800.0  565.2  2796.0  0.20499385356639355
900.0  607.5  2727.0  0.23020278017434978
1000.0  650.9  2661.0  0.2557102657305725
1100.0  694.4  2597.0  0.281454827636692
1200.0  737.4  2537.0  0.30738344132369916
1300.0  779.5  2480.0  0.3334851420978152
1400.0  820.4  2425.0  0.359861264934141
1500.0  860.0  2373.0  0.3862963370263819
1600.0  898.3  2324.0  0.412881314665607
1700.0  935.4  2277.0  0.439584917848645
1800.0  971.2  2232.0  0.4664149225743105
2000.0  1040.0  2148.0  0.5205543775629977
2250.0  1120.0  2053.0  0.5886296713554287
2500.0  1196.0  1967.0  0.6572912063918093
2750.0  1269.0  1890.0  0.7262460602302777
3000.0  1339.0  1819.0  0.795485109854358
3250.0  1407.0  1755.0  0.8648484086821228
3500.0  1474.0  1696.0  0.934261574720913
3750.0  1541.0  1641.0  1.0035496998156095
4000.0  1607.0  1591.0  1.0727534898568265
4500.0  1738.0  1500.0  1.2060528222262905
5000.0  1870.0  1420.0  1.3421994263148826
5500.0  2004.0  1350.0  1.4777262432534652
6000.0  2139.0  1288.0  1.6126900043095698
6500.0  2276.0  1232.0  1.7376957760206473
7000.0  2414.0  1182.0  1.8715529407419924
8000.0  2697.0  1094.0  2.109572795615264
9000.0  2986.0  1020.0  2.345672903454359
10000.0  3278.0  957.1  2.5706670360044686
11000.0  3572.0  902.3  2.7752248629615583
12000.0  3865.0  854.4  2.978544532149889
13000.0  4156.0  811.9  3.171294022950253
14000.0  4444.0  774.1  3.353605283869883
15000.0  4728.0  740.1  3.525583249619841
16000.0  5007.0  709.3  3.696911987050814
17000.0  5280.0  681.3  3.8484418509313616
18000.0  5547.0  655.7  4.009151781861096
20000.0  6061.0  610.6  4.300571614332216
22500.0  6664.0  563.2  4.641419107342064
25000.0  7224.0  523.4  4.951859943495979
27500.0  7742.0  489.5  5.251566975674974
30000.0  8222.0  460.2  5.540829111243189
