# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.015000e+00  1.021000e+01  5.000000e-04
1.099990e-02  1.065000e+00  1.073000e+01  5.000000e-04
1.199990e-02  1.112000e+00  1.121000e+01  5.000000e-04
1.299990e-02  1.158000e+00  1.168000e+01  5.000000e-04
1.399990e-02  1.201000e+00  1.212000e+01  5.000000e-04
1.499990e-02  1.244000e+00  1.254000e+01  6.000000e-04
1.599990e-02  1.284000e+00  1.295000e+01  6.000000e-04
1.699990e-02  1.324000e+00  1.334000e+01  6.000000e-04
1.799990e-02  1.362000e+00  1.372000e+01  6.000000e-04
1.999990e-02  1.436000e+00  1.443000e+01  6.000000e-04
2.249990e-02  1.523000e+00  1.526000e+01  7.000000e-04
2.499990e-02  1.605000e+00  1.603000e+01  7.000000e-04
2.749990e-02  1.684000e+00  1.676000e+01  8.000000e-04
2.999990e-02  1.759000e+00  1.743000e+01  8.000000e-04
3.249990e-02  1.831000e+00  1.807000e+01  8.000000e-04
3.499990e-02  1.900000e+00  1.868000e+01  9.000000e-04
3.749990e-02  1.966000e+00  1.926000e+01  9.000000e-04
3.999990e-02  2.031000e+00  1.980000e+01  9.000000e-04
4.499990e-02  2.154000e+00  2.083000e+01  1.000000e-03
4.999990e-02  2.271000e+00  2.177000e+01  1.100000e-03
5.499990e-02  2.381000e+00  2.265000e+01  1.100000e-03
5.999990e-02  2.487000e+00  2.347000e+01  1.200000e-03
6.499990e-02  2.589000e+00  2.423000e+01  1.200000e-03
6.999990e-02  2.687000e+00  2.495000e+01  1.300000e-03
7.999990e-02  2.872000e+00  2.627000e+01  1.400000e-03
8.999990e-02  3.046000e+00  2.746000e+01  1.500000e-03
9.999990e-02  3.211000e+00  2.854000e+01  1.600000e-03
1.100000e-01  3.368000e+00  2.953000e+01  1.700000e-03
1.200000e-01  3.517000e+00  3.044000e+01  1.800000e-03
1.300000e-01  3.661000e+00  3.129000e+01  1.900000e-03
1.399990e-01  3.799000e+00  3.208000e+01  1.900000e-03
1.499990e-01  3.933000e+00  3.282000e+01  2.000000e-03
1.599990e-01  4.062000e+00  3.351000e+01  2.100000e-03
1.699990e-01  4.187000e+00  3.417000e+01  2.200000e-03
1.799990e-01  4.308000e+00  3.478000e+01  2.300000e-03
1.999990e-01  4.541000e+00  3.592000e+01  2.400000e-03
2.249990e-01  4.817000e+00  3.719000e+01  2.600000e-03
2.499990e-01  5.077000e+00  3.832000e+01  2.800000e-03
2.749990e-01  5.325000e+00  3.934000e+01  3.000000e-03
2.999990e-01  5.562000e+00  4.026000e+01  3.200000e-03
3.249990e-01  5.789000e+00  4.110000e+01  3.400000e-03
3.499990e-01  6.007000e+00  4.187000e+01  3.600000e-03
3.749990e-01  6.218000e+00  4.257000e+01  3.800000e-03
3.999990e-01  6.422000e+00  4.322000e+01  3.900000e-03
4.499990e-01  6.812000e+00  4.438000e+01  4.300000e-03
4.999990e-01  7.180000e+00  4.539000e+01  4.600000e-03
5.499990e-01  7.530000e+00  4.628000e+01  5.000000e-03
5.999990e-01  7.865000e+00  4.706000e+01  5.300000e-03
6.499990e-01  8.186000e+00  4.775000e+01  5.700000e-03
6.999990e-01  8.496000e+00  4.836000e+01  6.000000e-03
7.999990e-01  9.082000e+00  4.941000e+01  6.700000e-03
8.999990e-01  9.633000e+00  5.027000e+01  7.300000e-03
9.999990e-01  1.015000e+01  5.097000e+01  8.000000e-03
1.100000e+00  1.065000e+01  5.154000e+01  8.600000e-03
1.200000e+00  1.112000e+01  5.202000e+01  9.200000e-03
1.300000e+00  1.158000e+01  5.241000e+01  9.900000e-03
1.400000e+00  1.201000e+01  5.274000e+01  1.050000e-02
1.500000e+00  1.244000e+01  5.301000e+01  1.110000e-02
1.600000e+00  1.284000e+01  5.323000e+01  1.180000e-02
1.700000e+00  1.324000e+01  5.340000e+01  1.240000e-02
1.800000e+00  1.362000e+01  5.354000e+01  1.300000e-02
2.000000e+00  1.436000e+01  5.372000e+01  1.430000e-02
2.250000e+00  1.523000e+01  5.382000e+01  1.590000e-02
2.500000e+00  1.606000e+01  5.380000e+01  1.750000e-02
2.750000e+00  1.684000e+01  5.370000e+01  1.910000e-02
3.000000e+00  1.759000e+01  5.353000e+01  2.070000e-02
3.250000e+00  1.831000e+01  5.332000e+01  2.230000e-02
