#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  64.95  1183.0  0.009366963221877194
11.0  68.12  1214.0  0.00993327740476425
12.0  71.15  1242.0  0.010549407566304375
13.0  74.06  1268.0  0.01103675676999362
14.0  76.85  1291.0  0.011573245007343446
15.0  79.55  1313.0  0.012105370708904373
16.0  82.16  1333.0  0.012592855117089215
17.0  84.69  1352.0  0.013080519867344723
18.0  87.14  1369.0  0.01361653406708183
20.0  91.86  1400.0  0.01455678535941229
22.5  97.43  1433.0  0.015741346829290057
25.0  102.7  1462.0  0.016973803345155147
27.5  107.7  1487.0  0.018124293089662836
30.0  112.5  1509.0  0.019228364465029263
32.5  117.1  1528.0  0.020332486321156102
35.0  121.5  1544.0  0.02148371476258238
37.5  125.8  1559.0  0.022541073621280775
40.0  129.9  1572.0  0.023611226143510636
45.0  137.8  1594.0  0.02578565492672234
50.0  145.2  1612.0  0.02791379587229225
55.0  152.3  1626.0  0.029960140186587915
60.0  159.1  1637.0  0.0320887830869293
65.0  165.6  1645.0  0.03410175948539899
70.0  171.9  1652.0  0.03623078801240735
80.0  183.7  1661.0  0.040212187207362894
90.0  194.9  1665.0  0.044310382530508584
100.0  205.4  1665.0  0.04837085899588718
110.0  215.4  1663.0  0.0524372005354977
120.0  225.0  1659.0  0.056420829486989996
130.0  234.2  1654.0  0.060520740246629505
140.0  243.0  1647.0  0.06450496104951928
150.0  251.6  1640.0  0.06857324551164251
160.0  262.5  1632.0  0.07264193004043877
170.0  280.7  1623.0  0.07662688823122077
180.0  295.8  1614.0  0.08065240232007972
200.0  319.8  1595.0  0.08869554667512908
225.0  342.4  1571.0  0.09884801464875256
250.0  360.9  1546.0  0.10897086766654657
275.0  377.5  1521.0  0.11925393075282677
300.0  393.1  1497.0  0.12949532810105546
325.0  408.5  1473.0  0.13991976272135398
350.0  423.8  1450.0  0.15041924743861737
375.0  439.1  1428.0  0.1609200422570166
400.0  454.6  1406.0  0.17151909514686697
450.0  485.7  1364.0  0.19289917055290828
500.0  516.8  1325.0  0.2143843744306007
550.0  547.7  1288.0  0.23604662674988602
600.0  578.1  1254.0  0.2579154318764195
650.0  608.0  1222.0  0.2797942458307533
700.0  637.1  1192.0  0.3018509731639108
800.0  693.3  1136.0  0.34596389985083703
900.0  746.7  1087.0  0.39035528688619037
1000.0  797.7  1042.0  0.4347275238583359
1100.0  846.7  1002.0  0.47915034175089555
1200.0  894.2  965.2  0.5235284423983094
1300.0  940.4  931.6  0.5678077315429934
1400.0  985.8  900.8  0.6118134519606446
1500.0  1030.0  872.3  0.6557280305126508
1600.0  1075.0  845.9  0.6993441356013504
1700.0  1118.0  821.4  0.74262990782758
1800.0  1162.0  798.5  0.7857106401214127
2000.0  1249.0  757.0  0.8706326263126142
2250.0  1356.0  711.9  0.9747585290727135
2500.0  1464.0  672.7  1.0761256199905287
2750.0  1572.0  638.3  1.172560211673584
3000.0  1680.0  607.8  1.2670911766719868
3250.0  1788.0  580.5  1.3608980013211864
3500.0  1897.0  556.0  1.4540860084602976
3750.0  2006.0  533.8  1.5375215022886672
4000.0  2114.0  513.5  1.6296462959795908
4500.0  2331.0  478.0  1.7847960023487277
5000.0  2547.0  447.7  1.9383443450532725
5500.0  2761.0  421.5  2.090625691031276
6000.0  2972.0  398.6  2.223136237390772
6500.0  3180.0  378.4  2.3547534244587056
7000.0  3384.0  360.4  2.476182240870005
8000.0  3781.0  329.7  2.7174163206987627
9000.0  4161.0  304.4  2.9284369790043288
10000.0  4523.0  283.1  3.128640722422439
11000.0  4868.0  265.0  3.318367363629289
12000.0  5195.0  249.3  3.4977914245992427
13000.0  5506.0  235.5  3.6574324286307736
14000.0  5800.0  223.4  3.8263019339827324
15000.0  6080.0  212.5  3.975562562707321
16000.0  6346.0  202.8  4.124556297348843
17000.0  6599.0  194.1  4.263656374521756
18000.0  6839.0  186.1  4.402601549084359
20000.0  7287.0  172.2  4.670452625816902
22500.0  7793.0  157.7  4.978046076524403
25000.0  8250.0  145.7  5.2755144516909445
27500.0  8666.0  135.6  5.553202702045009
30000.0  9048.0  126.9  5.830742605363403
