#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  103.2  121.8  0.030399671050851854
11.0  108.3  119.6  0.03299969696830563
12.0  113.1  117.6  0.03560028089776821
13.0  117.7  115.6  0.03807466349161868
14.0  122.2  113.6  0.04067603717177965
15.0  126.4  111.8  0.04310765593256029
16.0  130.6  110.0  0.04558300121755916
17.0  134.6  108.3  0.048085860707696604
18.0  138.5  106.7  0.050518511458672255
20.0  146.0  103.6  0.05544321419254118
22.5  154.9  100.1  0.06144428370483296
25.0  164.9  96.85  0.0673668316013155
27.5  176.1  93.91  0.07310519817359093
30.0  185.8  91.2  0.07879137008581587
32.5  194.4  88.7  0.08438370695815633
35.0  202.2  86.38  0.0899253579364575
37.5  209.2  84.22  0.09535381481618867
40.0  215.8  82.21  0.10080600180544808
45.0  227.6  78.54  0.11142360611647786
50.0  238.1  75.29  0.12203335609578228
55.0  247.8  72.38  0.13239369320326405
60.0  256.8  69.76  0.14262303460521375
65.0  265.3  67.37  0.15293939976343573
70.0  273.3  65.19  0.1630495323513686
80.0  288.6  61.33  0.18302488901786007
90.0  303.0  58.02  0.20261739806837914
100.0  316.8  55.13  0.22193922591556456
110.0  330.1  52.58  0.2408723520871584
120.0  343.0  50.31  0.259543445303479
130.0  355.6  48.27  0.2779151849035961
140.0  368.0  46.43  0.29598217851755876
150.0  380.2  44.75  0.3137499163346502
160.0  392.2  43.22  0.33117563316162013
170.0  404.2  41.81  0.34846213567617357
180.0  416.0  40.5  0.36528215122012186
200.0  439.4  38.17  0.39830654024256246
225.0  468.2  35.67  0.4381915220539987
250.0  496.7  33.53  0.4764535759127011
275.0  524.9  31.67  0.5133219360206615
300.0  552.6  30.04  0.548947665993763
325.0  580.0  28.6  0.5832386389806492
350.0  606.9  27.31  0.6165233247817961
375.0  633.4  26.15  0.6486554478303562
400.0  659.4  25.1  0.6798424082094321
450.0  710.1  23.27  0.7395197630895338
500.0  758.9  21.72  0.7961700446512667
550.0  806.0  20.39  0.8499538222750693
600.0  851.2  19.23  0.9014284941136486
650.0  894.8  18.22  0.9507853385491386
700.0  936.7  17.32  0.9981969194502657
800.0  1016.0  15.79  1.092875496111062
900.0  1089.0  14.54  1.172808398673884
1000.0  1156.0  13.5  1.2523499550844404
1100.0  1219.0  12.61  1.3315667839053362
1200.0  1276.0  11.84  1.401112575776836
1300.0  1329.0  11.17  1.4704682587529727
1400.0  1378.0  10.58  1.5397256541345279
1500.0  1423.0  10.05  1.6088878394717265
1600.0  1464.0  9.585  1.6684024844143575
1700.0  1502.0  9.162  1.7374525058256989
1800.0  1537.0  8.779  1.7968751208695612
2000.0  1599.0  8.11  1.915629202116109
2250.0  1661.0  7.416  2.064015629785782
2500.0  1711.0  6.843  2.20264441978273
2750.0  1750.0  6.359  2.341283829440591
3000.0  1781.0  5.945  2.479936325795483
3250.0  1805.0  5.586  2.608874180561416
3500.0  1822.0  5.271  2.7476167782279974
3750.0  1835.0  4.994  2.8766184401133215
4000.0  1844.0  4.746  3.015464173224414
4500.0  1854.0  4.324  3.2738049743379647
5000.0  1855.0  3.976  3.542150478170006
5500.0  1851.0  3.684  3.800815830844741
6000.0  1842.0  3.435  4.069488622665014
6500.0  1831.0  3.22  4.338303145240084
7000.0  1817.0  3.033  4.60724200579913
8000.0  1787.0  2.721  5.155667918902458
9000.0  1754.0  2.471  5.704441719397263
10000.0  1721.0  2.266  6.273348950122255
11000.0  1688.0  2.095  6.862378573789121
12000.0  1655.0  1.95  7.451632817711834
13000.0  1623.0  1.824  8.060967100788837
14000.0  1592.0  1.715  8.670481212135808
15000.0  1562.0  1.619  9.3000471638589
16000.0  1533.0  1.534  9.949661543992338
17000.0  1505.0  1.458  10.599401384040517
18000.0  1478.0  1.39  11.269173208359165
20000.0  1426.0  1.272  12.639647349510982
22500.0  1367.0  1.152  14.420792551035468
25000.0  1317.0  1.054  16.271986741022133
27500.0  1272.0  0.9718  18.20318255717939
30000.0  1224.0  0.9024  20.19438970828284
