# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
9.999990e-03  1.454000e+00  2.649000e+01  5.000000e-04
1.099990e-02  1.525000e+00  2.809000e+01  5.000000e-04
1.199990e-02  1.593000e+00  2.963000e+01  5.000000e-04
1.299990e-02  1.658000e+00  3.111000e+01  5.000000e-04
1.399990e-02  1.720000e+00  3.254000e+01  5.000000e-04
1.499990e-02  1.781000e+00  3.392000e+01  6.000000e-04
1.599990e-02  1.839000e+00  3.527000e+01  6.000000e-04
1.699990e-02  1.896000e+00  3.657000e+01  6.000000e-04
1.799990e-02  1.951000e+00  3.784000e+01  6.000000e-04
1.999990e-02  2.056000e+00  4.029000e+01  6.000000e-04
2.249990e-02  2.181000e+00  4.320000e+01  7.000000e-04
2.499990e-02  2.299000e+00  4.595000e+01  7.000000e-04
2.749990e-02  2.411000e+00  4.857000e+01  7.000000e-04
2.999990e-02  2.519000e+00  5.108000e+01  7.000000e-04
3.249990e-02  2.621000e+00  5.350000e+01  8.000000e-04
3.499990e-02  2.720000e+00  5.582000e+01  8.000000e-04
3.749990e-02  2.816000e+00  5.806000e+01  8.000000e-04
3.999990e-02  2.908000e+00  6.022000e+01  8.000000e-04
4.499990e-02  3.085000e+00  6.435000e+01  9.000000e-04
4.999990e-02  3.251000e+00  6.826000e+01  9.000000e-04
5.499990e-02  3.410000e+00  7.196000e+01  9.000000e-04
5.999990e-02  3.562000e+00  7.549000e+01  1.000000e-03
6.499990e-02  3.707000e+00  7.886000e+01  1.000000e-03
6.999990e-02  3.847000e+00  8.210000e+01  1.000000e-03
7.999990e-02  4.113000e+00  8.822000e+01  1.100000e-03
8.999990e-02  4.362000e+00  9.392000e+01  1.100000e-03
9.999990e-02  4.598000e+00  9.928000e+01  1.200000e-03
1.100000e-01  4.823000e+00  1.043000e+02  1.300000e-03
1.200000e-01  5.037000e+00  1.091000e+02  1.300000e-03
1.300000e-01  5.243000e+00  1.137000e+02  1.400000e-03
1.399990e-01  5.441000e+00  1.181000e+02  1.400000e-03
1.499990e-01  5.632000e+00  1.222000e+02  1.400000e-03
1.599990e-01  5.816000e+00  1.262000e+02  1.500000e-03
1.699990e-01  5.995000e+00  1.301000e+02  1.500000e-03
1.799990e-01  6.169000e+00  1.338000e+02  1.600000e-03
1.999990e-01  6.503000e+00  1.409000e+02  1.600000e-03
2.249990e-01  6.897000e+00  1.491000e+02  1.700000e-03
2.499990e-01  7.270000e+00  1.568000e+02  1.800000e-03
2.749990e-01  7.625000e+00  1.639000e+02  1.900000e-03
2.999990e-01  7.964000e+00  1.707000e+02  2.000000e-03
3.249990e-01  8.289000e+00  1.770000e+02  2.100000e-03
3.499990e-01  8.602000e+00  1.831000e+02  2.200000e-03
3.749990e-01  8.904000e+00  1.888000e+02  2.200000e-03
3.999990e-01  9.196000e+00  1.943000e+02  2.300000e-03
4.499990e-01  9.754000e+00  2.045000e+02  2.400000e-03
4.999990e-01  1.028000e+01  2.140000e+02  2.600000e-03
5.499990e-01  1.078000e+01  2.227000e+02  2.700000e-03
5.999990e-01  1.126000e+01  2.309000e+02  2.800000e-03
6.499990e-01  1.172000e+01  2.386000e+02  3.000000e-03
6.999990e-01  1.217000e+01  2.458000e+02  3.100000e-03
7.999990e-01  1.301000e+01  2.591000e+02  3.300000e-03
8.999990e-01  1.379000e+01  2.711000e+02  3.500000e-03
9.999990e-01  1.454000e+01  2.820000e+02  3.700000e-03
1.100000e+00  1.525000e+01  2.921000e+02  3.900000e-03
1.200000e+00  1.593000e+01  3.013000e+02  4.100000e-03
1.300000e+00  1.658000e+01  3.100000e+02  4.300000e-03
1.400000e+00  1.720000e+01  3.180000e+02  4.500000e-03
1.500000e+00  1.781000e+01  3.255000e+02  4.700000e-03
1.600000e+00  1.839000e+01  3.326000e+02  4.900000e-03
1.700000e+00  1.896000e+01  3.393000e+02  5.100000e-03
1.800000e+00  1.951000e+01  3.456000e+02  5.300000e-03
2.000000e+00  2.056000e+01  3.573000e+02  5.600000e-03
2.250000e+00  2.181000e+01  3.703000e+02  6.000000e-03
2.500000e+00  2.299000e+01  3.820000e+02  6.400000e-03
2.750000e+00  2.411000e+01  3.925000e+02  6.800000e-03
3.000000e+00  2.519000e+01  4.020000e+02  7.200000e-03
3.250000e+00  2.621000e+01  4.107000e+02  7.600000e-03
3.500000e+00  2.720000e+01  4.187000e+02  8.000000e-03
3.750000e+00  2.816000e+01  4.260000e+02  8.400000e-03
4.000000e+00  2.908000e+01  4.328000e+02  8.700000e-03
4.500000e+00  3.085000e+01  4.450000e+02  9.400000e-03
5.000000e+00  3.251000e+01  4.557000e+02  1.010000e-02
5.500000e+00  3.410000e+01  4.650000e+02  1.080000e-02
6.000000e+00  3.562000e+01  4.733000e+02  1.150000e-02
6.500000e+00  3.707000e+01  4.807000e+02  1.220000e-02
7.000000e+00  3.847000e+01  4.874000e+02  1.280000e-02
8.000000e+00  4.113000e+01  4.987000e+02  1.410000e-02
9.000000e+00  4.362000e+01  5.081000e+02  1.540000e-02
1.000000e+01  4.598000e+01  5.158000e+02  1.670000e-02
1.100000e+01  4.823000e+01  5.223000e+02  1.800000e-02
1.200000e+01  5.037000e+01  5.277000e+02  1.920000e-02
1.300000e+01  5.243000e+01  5.323000e+02  2.040000e-02
1.400000e+01  5.441000e+01  5.362000e+02  2.160000e-02
1.500000e+01  5.632000e+01  5.394000e+02  2.290000e-02
1.600000e+01  5.816000e+01  5.421000e+02  2.410000e-02
1.700000e+01  5.995000e+01  5.444000e+02  2.530000e-02
1.800000e+01  6.169000e+01  5.463000e+02  2.650000e-02
2.000000e+01  6.503000e+01  5.490000e+02  2.890000e-02
2.250000e+01  6.897000e+01  5.510000e+02  3.190000e-02
2.500000e+01  7.270000e+01  5.517000e+02  3.490000e-02
2.750000e+01  7.625000e+01  5.515000e+02  3.780000e-02
3.000000e+01  7.964000e+01  5.506000e+02  4.080000e-02
3.250000e+01  8.290000e+01  5.491000e+02  4.380000e-02
3.500000e+01  8.603000e+01  5.472000e+02  4.680000e-02
3.750000e+01  8.904000e+01  5.449000e+02  4.980000e-02
4.000000e+01  9.196000e+01  5.424000e+02  5.280000e-02
4.500000e+01  9.754000e+01  5.367000e+02  5.890000e-02
5.000000e+01  1.028000e+02  5.305000e+02  6.500000e-02
5.500000e+01  1.078000e+02  5.240000e+02  7.120000e-02
6.000000e+01  1.126000e+02  5.173000e+02  7.740000e-02
6.500000e+01  1.172000e+02  5.105000e+02  8.360000e-02
7.000000e+01  1.217000e+02  5.038000e+02  8.990000e-02
8.000000e+01  1.302000e+02  4.905000e+02  1.027000e-01
9.000000e+01  1.463000e+02  4.777000e+02  1.155000e-01
1.000000e+02  1.564000e+02  4.654000e+02  1.285000e-01
1.100000e+02  1.638000e+02  4.536000e+02  1.415000e-01
1.200000e+02  1.701000e+02  4.424000e+02  1.548000e-01
1.300000e+02  1.761000e+02  4.318000e+02  1.682000e-01
1.400000e+02  1.822000e+02  4.218000e+02  1.818000e-01
1.500000e+02  1.886000e+02  4.122000e+02  1.955000e-01
1.600000e+02  1.953000e+02  4.031000e+02  2.093000e-01
1.700000e+02  2.023000e+02  3.945000e+02  2.232000e-01
1.800000e+02  2.096000e+02  3.862000e+02  2.372000e-01
2.000000e+02  2.251000e+02  3.709000e+02  2.654000e-01
2.250000e+02  2.453000e+02  3.537000e+02  3.007000e-01
2.500000e+02  2.661000e+02  3.382000e+02  3.360000e-01
2.750000e+02  2.870000e+02  3.242000e+02  3.711000e-01
3.000000e+02  3.078000e+02  3.115000e+02  4.059000e-01
3.250000e+02  3.281000e+02  3.000000e+02  4.405000e-01
3.500000e+02  3.481000e+02  2.894000e+02  4.747000e-01
3.750000e+02  3.676000e+02  2.797000e+02  5.086000e-01
4.000000e+02  3.867000e+02  2.707000e+02  5.421000e-01
4.500000e+02  4.235000e+02  2.546000e+02  6.079000e-01
5.000000e+02  4.586000e+02  2.406000e+02  6.723000e-01
5.500000e+02  4.923000e+02  2.283000e+02  7.351000e-01
6.000000e+02  5.247000e+02  2.174000e+02  7.964000e-01
6.500000e+02  5.559000e+02  2.076000e+02  8.563000e-01
7.000000e+02  5.862000e+02  1.988000e+02  9.148000e-01
8.000000e+02  6.436000e+02  1.836000e+02  1.030000e+00
9.000000e+02  6.975000e+02  1.708000e+02  1.140000e+00
1.000000e+03  7.482000e+02  1.599000e+02  1.240000e+00
1.100000e+03  7.963000e+02  1.505000e+02  1.340000e+00
1.200000e+03  8.426000e+02  1.423000e+02  1.440000e+00
1.300000e+03  8.878000e+02  1.351000e+02  1.530000e+00
1.400000e+03  9.327000e+02  1.286000e+02  1.620000e+00
1.500000e+03  9.779000e+02  1.228000e+02  1.710000e+00
1.600000e+03  1.024000e+03  1.176000e+02  1.790000e+00
1.700000e+03  1.070000e+03  1.128000e+02  1.880000e+00
1.800000e+03  1.118000e+03  1.085000e+02  1.960000e+00
2.000000e+03  1.215000e+03  1.009000e+02  2.110000e+00
2.250000e+03  1.341000e+03  9.290000e+01  2.280000e+00
2.500000e+03  1.469000e+03  8.622000e+01  2.440000e+00
2.750000e+03  1.598000e+03  8.053000e+01  2.590000e+00
3.000000e+03  1.726000e+03  7.562000e+01  2.730000e+00
3.250000e+03  1.852000e+03  7.134000e+01  2.860000e+00
3.500000e+03  1.974000e+03  6.756000e+01  2.990000e+00
3.750000e+03  2.093000e+03  6.421000e+01  3.100000e+00
4.000000e+03  2.208000e+03  6.120000e+01  3.210000e+00
4.500000e+03  2.423000e+03  5.604000e+01  3.420000e+00
5.000000e+03  2.621000e+03  5.176000e+01  3.610000e+00
5.500000e+03  2.801000e+03  4.814000e+01  3.790000e+00
6.000000e+03  2.964000e+03  4.504000e+01  3.960000e+00
6.500000e+03  3.112000e+03  4.235000e+01  4.120000e+00
7.000000e+03  3.247000e+03  3.999000e+01  4.270000e+00
8.000000e+03  3.481000e+03  3.604000e+01  4.570000e+00
9.000000e+03  3.676000e+03  3.286000e+01  4.840000e+00
1.000000e+04  3.840000e+03  3.024000e+01  5.100000e+00
1.100000e+04  3.979000e+03  2.804000e+01  5.350000e+00
1.200000e+04  4.097000e+03  2.616000e+01  5.600000e+00
