#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  65.23  1469.0  0.008615103017375938
11.0  68.42  1517.0  0.00910274683818022
12.0  71.46  1560.0  0.009556673061269807
13.0  74.38  1601.0  0.009962931295557548
14.0  77.18  1638.0  0.010416813332300814
15.0  79.89  1673.0  0.010871062505569545
16.0  82.51  1706.0  0.0112769676775275
17.0  85.05  1737.0  0.011731155100841521
18.0  87.52  1766.0  0.012056948204251357
20.0  92.25  1819.0  0.012917043005270207
22.5  97.85  1877.0  0.013859292911256331
25.0  103.1  1929.0  0.01480168909280289
27.5  108.2  1976.0  0.015698726062964474
30.0  113.0  2017.0  0.01652573750245356
32.5  117.6  2055.0  0.017468543156199376
35.0  122.0  2089.0  0.01828332573685652
37.5  126.3  2121.0  0.019193748982416124
40.0  130.5  2149.0  0.020008748086774445
45.0  138.4  2200.0  0.021651096969899704
50.0  145.9  2243.0  0.02329356134213916
55.0  153.0  2281.0  0.024860209170479642
60.0  159.8  2313.0  0.026418932605235968
65.0  166.3  2342.0  0.02801802990932803
70.0  172.6  2367.0  0.02950152538429157
80.0  184.5  2409.0  0.03250061537878937
90.0  195.7  2441.0  0.03550014084479103
100.0  206.3  2467.0  0.03838398103375938
110.0  216.4  2487.0  0.04131077341323931
120.0  226.0  2503.0  0.044226010446342556
130.0  235.2  2515.0  0.04706846077789245
140.0  244.1  2525.0  0.04991132136098984
150.0  252.7  2532.0  0.05275452587219414
160.0  260.9  2536.0  0.055639644139767824
170.0  269.0  2539.0  0.058453229166573854
180.0  276.8  2541.0  0.061297145121122894
200.0  291.7  2540.0  0.06685820817222073
225.0  309.4  2534.0  0.0739173186743134
250.0  332.2  2524.0  0.08093633300316985
275.0  351.2  2510.0  0.08804283048607649
300.0  367.8  2495.0  0.09499421034989448
325.0  383.1  2477.0  0.10210254649126045
350.0  397.9  2459.0  0.10918291990966353
375.0  412.5  2440.0  0.11629239012076414
400.0  427.2  2420.0  0.12342155403332111
450.0  456.5  2380.0  0.13778958596352628
500.0  486.1  2340.0  0.15229540373891787
550.0  515.7  2300.0  0.1668033872557749
600.0  544.8  2261.0  0.18148909058122475
650.0  573.4  2223.0  0.19623763655323614
700.0  601.3  2186.0  0.21106515581687094
800.0  654.7  2115.0  0.24092955401942706
900.0  704.5  2048.0  0.2711284013156866
1000.0  751.0  1986.0  0.30165201806054603
1100.0  794.4  1928.0  0.33234949977395783
1200.0  835.2  1874.0  0.36337376074780087
1300.0  873.8  1824.0  0.3945471074535967
1400.0  910.6  1776.0  0.4259955868316009
1500.0  945.9  1732.0  0.457648478638354
1600.0  980.1  1689.0  0.48939768082817886
1700.0  1013.0  1650.0  0.5214134443989722
1800.0  1046.0  1612.0  0.5534307996488812
2000.0  1110.0  1543.0  0.6178927819614015
2250.0  1189.0  1466.0  0.6989309407945824
2500.0  1268.0  1398.0  0.7800216279052781
2750.0  1348.0  1337.0  0.8608943837660925
3000.0  1429.0  1281.0  0.9414399396668914
3250.0  1512.0  1232.0  1.0212055277954581
3500.0  1595.0  1186.0  1.0966873073032257
3750.0  1681.0  1144.0  1.180126645746125
4000.0  1767.0  1106.0  1.2540343416350288
4500.0  1943.0  1038.0  1.4102938204501925
5000.0  2124.0  978.8  1.5561468054139367
5500.0  2307.0  927.2  1.691605819923779
6000.0  2493.0  881.5  1.8260800913432027
6500.0  2680.0  840.8  1.959710695485433
7000.0  2867.0  804.3  2.083190718585315
8000.0  3240.0  741.2  2.318720244013926
9000.0  3608.0  688.6  2.54260971444695
10000.0  3968.0  643.9  2.7457912593640468
11000.0  4318.0  605.3  2.938073152595081
12000.0  4657.0  571.7  3.119729744705461
13000.0  4985.0  542.1  3.2909340254705803
14000.0  5300.0  515.8  3.4614604215561964
15000.0  5603.0  492.3  3.612200649188802
16000.0  5894.0  471.0  3.7624626576219997
17000.0  6174.0  451.8  3.912341468992705
18000.0  6442.0  434.2  4.0522569957987615
20000.0  6947.0  403.4  4.31207053049924
22500.0  7523.0  371.1  4.63093459789706
25000.0  8047.0  344.1  4.919858164622228
27500.0  8526.0  321.2  5.198446011069077
30000.0  8968.0  301.4  5.466885699372175
