#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  73.11  1923.0  0.007584853327520579
11.0  76.68  1983.0  0.008005623023850175
12.0  80.09  2038.0  0.008371977066380439
13.0  83.36  2088.0  0.008792610533851707
14.0  86.51  2134.0  0.009213576938409967
15.0  89.55  2178.0  0.009544631999192007
16.0  92.48  2218.0  0.009965942002640796
17.0  95.33  2256.0  0.01030582359639442
18.0  98.09  2291.0  0.010636728820459795
20.0  103.4  2356.0  0.011389029809426262
22.5  109.7  2427.0  0.012232334200797492
25.0  115.6  2490.0  0.013018832512940628
27.5  121.2  2545.0  0.013862539449898782
30.0  126.6  2595.0  0.0146157449348297
32.5  131.8  2639.0  0.015468031548972224
35.0  136.8  2679.0  0.016221282316759057
37.5  141.6  2716.0  0.016974687036879356
40.0  146.2  2749.0  0.017703671935505358
45.0  155.1  2807.0  0.019242920776223135
50.0  163.5  2856.0  0.020725829295832773
55.0  171.5  2898.0  0.022117413953715297
60.0  179.1  2933.0  0.02350914715594762
65.0  186.4  2964.0  0.02490100399582314
70.0  193.4  2990.0  0.026292964838526677
80.0  206.8  3033.0  0.02904634228263518
90.0  219.3  3065.0  0.031715453646448136
100.0  231.2  3089.0  0.03437746354808627
110.0  242.5  3106.0  0.03701702311099585
120.0  253.3  3118.0  0.039679717740931576
130.0  263.6  3126.0  0.042320089791965235
140.0  273.6  3130.0  0.04496087187766715
150.0  283.2  3132.0  0.04760199575648063
160.0  292.5  3131.0  0.05015027417671812
170.0  301.5  3129.0  0.052791855432443364
180.0  310.2  3124.0  0.05543365403795785
200.0  327.0  3112.0  0.06062441752297502
225.0  346.8  3091.0  0.06717990771056478
250.0  371.6  3066.0  0.07371492386213256
275.0  393.4  3038.0  0.08031649892767986
300.0  413.1  3008.0  0.08685315192898874
325.0  431.9  2977.0  0.09348416978291031
350.0  450.3  2945.0  0.10018228386296651
375.0  468.7  2913.0  0.1069084655207435
400.0  487.3  2881.0  0.11363507381086177
450.0  525.2  2818.0  0.1272313247592746
500.0  563.8  2756.0  0.14094371216907833
550.0  602.8  2696.0  0.15472585433598357
600.0  641.6  2638.0  0.1687059868528678
650.0  680.0  2583.0  0.18277554541021074
700.0  717.7  2529.0  0.19684661541413406
800.0  790.4  2429.0  0.22544198810336996
900.0  859.4  2338.0  0.25420798571248704
1000.0  924.6  2254.0  0.2832400218895628
1100.0  986.3  2176.0  0.3125207993078221
1200.0  1045.0  2105.0  0.3418959490839282
1300.0  1101.0  2039.0  0.37151541017836665
1400.0  1155.0  1977.0  0.4012353548729224
1500.0  1207.0  1920.0  0.4309922273081036
1600.0  1257.0  1866.0  0.4608444640005997
1700.0  1306.0  1816.0  0.49075750631039766
1800.0  1354.0  1769.0  0.5207708421177208
2000.0  1447.0  1684.0  0.5808016959341631
2250.0  1560.0  1589.0  0.655603889555271
2500.0  1672.0  1507.0  0.7299818490894141
2750.0  1783.0  1434.0  0.8038046777669312
3000.0  1894.0  1368.0  0.8767277228421605
3250.0  2005.0  1310.0  0.9486326264682235
3500.0  2118.0  1257.0  1.019526390045888
3750.0  2230.0  1208.0  1.0919495455377048
4000.0  2344.0  1164.0  1.1531834372726657
4500.0  2573.0  1087.0  1.2947915739608442
5000.0  2805.0  1020.0  1.416491923732712
5500.0  3038.0  962.0  1.5378201260225464
6000.0  3271.0  911.2  1.6588088075483565
6500.0  3504.0  866.3  1.7697568109771467
7000.0  3736.0  826.1  1.8804471489515466
8000.0  4195.0  757.4  2.08171787233525
9000.0  4643.0  700.5  2.2725256808229912
10000.0  5078.0  652.6  2.443172773260213
11000.0  5498.0  611.5  2.6035917825189108
12000.0  5902.0  575.9  2.7637071932460575
13000.0  6291.0  544.6  2.9038987878367934
14000.0  6664.0  517.0  3.0439046272838444
15000.0  7021.0  492.4  3.1837467314470853
16000.0  7363.0  470.2  3.3037403348326273
17000.0  7690.0  450.2  3.4335127930444647
18000.0  8004.0  432.0  3.5533352360845436
20000.0  8590.0  400.1  3.773067951945737
22500.0  9254.0  366.9  4.042545072104948
25000.0  9852.0  339.3  4.282107407573986
27500.0  10390.0  316.0  4.521517295112338
30000.0  10890.0  295.9  4.750926143395622
