#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  55.48  1631.0  0.008405950273467005
11.0  58.19  1689.0  0.0087783825389419
12.0  60.78  1743.0  0.009266067126888301
13.0  63.26  1793.0  0.009638464608017192
14.0  65.65  1839.0  0.010046890066085126
15.0  67.95  1883.0  0.010419213022104884
16.0  70.18  1924.0  0.010791663449162969
17.0  72.34  1963.0  0.011233432244866216
18.0  74.44  2000.0  0.011605602095539895
20.0  78.46  2068.0  0.01230447073221762
22.5  83.22  2144.0  0.013086634403084697
25.0  87.73  2212.0  0.014029611541307906
27.5  92.01  2274.0  0.014812494725737459
30.0  96.1  2329.0  0.015627539793582355
32.5  100.0  2380.0  0.016326971550168146
35.0  103.8  2427.0  0.017110523077919042
37.5  107.4  2470.0  0.017925958830701357
40.0  111.0  2510.0  0.018625520126965583
45.0  117.7  2582.0  0.020109201873769134
50.0  124.1  2645.0  0.021508602929990597
55.0  130.1  2700.0  0.022865038814749473
60.0  135.9  2749.0  0.024264583243896857
65.0  141.5  2793.0  0.025621475367355408
70.0  146.8  2832.0  0.026893493636937542
80.0  156.9  2900.0  0.029492371895118916
90.0  166.4  2956.0  0.03209205509156433
100.0  175.5  3003.0  0.03460650227919603
110.0  184.0  3042.0  0.03707977885586699
120.0  192.2  3076.0  0.03946745494708267
130.0  200.0  3104.0  0.04198249635264678
140.0  207.6  3128.0  0.04434083896364614
150.0  214.9  3148.0  0.046729005981296035
160.0  221.9  3165.0  0.049087880377950734
170.0  228.8  3180.0  0.05144706016868214
180.0  235.4  3192.0  0.05383558302832803
200.0  248.1  3211.0  0.05851478445657986
225.0  263.2  3226.0  0.06435161225641516
250.0  277.4  3233.0  0.07017820174384637
275.0  291.0  3235.0  0.07590079050971736
300.0  327.3  3233.0  0.08170048959461626
325.0  358.7  3227.0  0.08741315690443859
350.0  382.1  3219.0  0.09312620469019448
375.0  400.1  3208.0  0.09886116527737271
400.0  414.5  3196.0  0.10454754899087784
450.0  437.1  3168.0  0.11599862068145467
500.0  455.8  3137.0  0.12751254840210827
550.0  473.1  3103.0  0.13911682141279683
600.0  490.6  3069.0  0.15084909678218164
650.0  508.6  3033.0  0.16263397554016812
700.0  527.3  2998.0  0.1745205432033719
800.0  566.8  2927.0  0.19849083102249332
900.0  608.2  2858.0  0.22273363015045575
1000.0  650.6  2791.0  0.2473277380319482
1100.0  693.2  2727.0  0.27211668453073584
1200.0  735.3  2666.0  0.29707812103889447
1300.0  776.6  2608.0  0.32218761614934865
1400.0  816.9  2552.0  0.3475057409597718
1500.0  856.0  2499.0  0.3730387781451146
1600.0  894.0  2449.0  0.39859986201703584
1700.0  930.8  2400.0  0.42443588443957
1800.0  966.5  2354.0  0.4503211409649785
2000.0  1035.0  2268.0  0.5025084675903483
2250.0  1116.0  2170.0  0.5683224612840848
2500.0  1192.0  2081.0  0.6345385173494198
2750.0  1266.0  2001.0  0.701226147544428
3000.0  1337.0  1928.0  0.7681718102091486
3250.0  1406.0  1861.0  0.8352858792054371
3500.0  1474.0  1799.0  0.902401108155348
3750.0  1541.0  1742.0  0.9696508856284307
4000.0  1608.0  1689.0  1.0366289114239482
4500.0  1741.0  1594.0  1.1732785261820828
5000.0  1874.0  1511.0  1.2997642747821623
5500.0  2007.0  1437.0  1.4350644340934662
6000.0  2142.0  1372.0  1.5604453210542175
6500.0  2279.0  1313.0  1.685265608146087
7000.0  2417.0  1260.0  1.809567719097575
8000.0  2698.0  1167.0  2.047380582598165
9000.0  2984.0  1089.0  2.2833716583158337
10000.0  3273.0  1022.0  2.4988288176663884
11000.0  3564.0  964.4  2.7033855089498426
12000.0  3854.0  913.6  2.906766941122043
13000.0  4143.0  868.6  3.0900545529165018
14000.0  4428.0  828.4  3.2724347205100974
15000.0  4710.0  792.2  3.4445057961919585
16000.0  4988.0  759.5  3.6063082023032917
17000.0  5260.0  729.7  3.7675703417454596
18000.0  5526.0  702.5  3.9187279530480295
20000.0  6039.0  654.5  4.210311661860675
22500.0  6643.0  604.0  4.55135593202729
25000.0  7206.0  561.5  4.871634543969816
27500.0  7728.0  525.3  5.16181736406859
30000.0  8212.0  494.0  5.441452042423971
