#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  62.19  2087.0  0.0075239617223906725
11.0  65.22  2158.0  0.007945438943192504
12.0  68.12  2224.0  0.008276472678623427
13.0  70.9  2286.0  0.008698275691193054
14.0  73.58  2343.0  0.009004443347592345
15.0  76.16  2396.0  0.009335416434203672
16.0  78.66  2446.0  0.009757561170702441
17.0  81.08  2493.0  0.010088607436113272
18.0  83.43  2538.0  0.010419692893746916
20.0  87.94  2619.0  0.011057124400132252
22.5  93.28  2711.0  0.01181058846967415
25.0  98.32  2792.0  0.012572191535289302
27.5  103.1  2865.0  0.013325539388707687
30.0  107.7  2931.0  0.014079062468786763
32.5  112.1  2990.0  0.014808781178746616
35.0  116.3  3045.0  0.015470617311536086
37.5  120.4  3096.0  0.016169415573854238
40.0  124.4  3142.0  0.016831220989577674
45.0  131.9  3225.0  0.0182
50.0  139.1  3296.0  0.01946946326943812
55.0  145.8  3359.0  0.020769448716805174
60.0  152.3  3414.0  0.021923731434224422
65.0  158.5  3462.0  0.023193749157908908
70.0  164.5  3506.0  0.02449367265234024
80.0  175.9  3579.0  0.02680335799857921
90.0  186.6  3639.0  0.029136060131733667
100.0  196.7  3687.0  0.031469032396945415
110.0  206.3  3726.0  0.03378017169879396
120.0  215.4  3759.0  0.03599180462271932
130.0  224.2  3786.0  0.03830365517806362
140.0  232.7  3807.0  0.04052233951785114
150.0  240.8  3825.0  0.0427346463656832
160.0  248.7  3839.0  0.04495353156315975
170.0  256.4  3850.0  0.047144883073351664
180.0  263.8  3858.0  0.04936405574909744
200.0  278.1  3869.0  0.053681374796105956
225.0  295.0  3872.0  0.05912867324741864
250.0  310.9  3868.0  0.06457685343836443
275.0  326.1  3858.0  0.07002570956441642
300.0  366.2  3843.0  0.07540722777028737
325.0  401.4  3825.0  0.08081051911725355
350.0  428.4  3804.0  0.0862607094800408
375.0  449.7  3782.0  0.09159694318043589
400.0  467.3  3758.0  0.0970218532084396
450.0  496.0  3707.0  0.10788530947260615
500.0  520.6  3654.0  0.11893334267563492
550.0  544.1  3600.0  0.12996372570836834
600.0  567.9  3546.0  0.1411091067224224
650.0  592.6  3492.0  0.1523319073602113
700.0  618.2  3439.0  0.16374620606291923
800.0  672.2  3337.0  0.18671563940923644
900.0  728.8  3239.0  0.21002147509242955
1000.0  786.8  3147.0  0.23354541314271193
1100.0  845.3  3060.0  0.25733534541527714
1200.0  903.5  2978.0  0.2813136328015406
1300.0  961.0  2900.0  0.30546896732728845
1400.0  1017.0  2827.0  0.32970013648768787
1500.0  1073.0  2759.0  0.35412038913341326
1600.0  1127.0  2693.0  0.37862242405858637
1700.0  1179.0  2632.0  0.4032177823459675
1800.0  1230.0  2573.0  0.42787340417464603
2000.0  1329.0  2465.0  0.4774009844983565
2250.0  1445.0  2344.0  0.5394666254737173
2500.0  1555.0  2237.0  0.6017361880425675
2750.0  1660.0  2140.0  0.664038575686684
3000.0  1760.0  2053.0  0.7261419351614394
3250.0  1857.0  1973.0  0.7881681673348652
3500.0  1951.0  1901.0  0.8499555400137115
3750.0  2043.0  1835.0  0.9114730220911643
4000.0  2133.0  1774.0  0.9725090333770685
4500.0  2310.0  1665.0  1.0899058170319122
5000.0  2485.0  1570.0  1.21159399140141
5500.0  2658.0  1488.0  1.3330819704729338
6000.0  2831.0  1415.0  1.444554204590468
6500.0  3004.0  1349.0  1.5558226280652947
7000.0  3178.0  1291.0  1.6669096586198064
8000.0  3528.0  1190.0  1.869093804494574
9000.0  3881.0  1105.0  2.0706396813545322
10000.0  4234.0  1033.0  2.2618528975156633
11000.0  4587.0  971.5  2.4428110958483873
12000.0  4938.0  917.6  2.613586587431149
13000.0  5285.0  870.0  2.774222372125205
14000.0  5628.0  827.8  2.924748293443386
15000.0  5964.0  789.9  3.0750578401064264
16000.0  6294.0  755.8  3.215349009050184
17000.0  6617.0  724.9  3.355474894854676
18000.0  6932.0  696.7  3.4856179997240084
20000.0  7538.0  647.1  3.7259041922733336
22500.0  8247.0  595.3  4.0159330123895245
25000.0  8903.0  551.9  4.285804423909239
27500.0  9508.0  515.1  4.535613001568807
30000.0  10070.0  483.4  4.775310692509965
