#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  57.11  917.6  0.010628734637763801
11.0  59.9  937.7  0.0112809574061779
12.0  62.56  955.7  0.011972050785057671
13.0  65.12  971.8  0.0126763559432512
14.0  67.58  986.4  0.013290974381135495
15.0  69.95  999.6  0.013905754204644927
16.0  72.24  1012.0  0.014558159224297556
17.0  74.47  1023.0  0.015173002339682152
18.0  76.63  1033.0  0.015787970103848057
20.0  80.77  1050.0  0.0170182255244194
22.5  85.67  1069.0  0.01852916619818604
25.0  90.31  1084.0  0.019925360724463687
27.5  94.71  1097.0  0.0213995327051784
30.0  98.92  1107.0  0.022874002710500847
32.5  103.0  1116.0  0.024270352284217055
35.0  106.9  1124.0  0.025745096620521744
37.5  110.6  1130.0  0.027091511585734748
40.0  114.2  1135.0  0.028487892164918063
45.0  121.2  1142.0  0.03130974289258856
50.0  127.7  1147.0  0.034053046853402116
55.0  133.9  1150.0  0.03683938110229324
60.0  139.9  1151.0  0.039546934141599405
65.0  145.6  1151.0  0.04232127124744719
70.0  151.1  1150.0  0.045029212740175684
80.0  161.5  1145.0  0.050512572692350564
90.0  171.3  1139.0  0.055961236583906906
100.0  180.6  1130.0  0.061445992546300364
110.0  189.4  1121.0  0.06689596400381716
120.0  202.4  1111.0  0.07242720483354305
130.0  225.7  1101.0  0.07791309260965067
140.0  241.3  1091.0  0.08339814146610224
150.0  251.6  1080.0  0.08884981710729628
160.0  258.7  1069.0  0.09433604825304058
170.0  263.8  1059.0  0.09982289316584649
180.0  267.8  1048.0  0.10543837062473985
200.0  274.5  1028.0  0.11667051898401755
225.0  283.1  1003.0  0.1310103049381994
250.0  293.4  978.7  0.1455294128346569
275.0  305.5  956.0  0.160249648985575
300.0  319.4  934.4  0.17517100216645448
325.0  334.6  913.9  0.19017754862233344
350.0  351.0  894.4  0.2053022649655868
375.0  368.0  875.9  0.22046754863244614
400.0  385.6  858.2  0.23563492949900278
450.0  421.5  825.4  0.2660945320745994
500.0  457.4  795.5  0.2966441302301463
550.0  492.6  768.1  0.32704134295223286
600.0  526.8  743.0  0.3574571442844583
650.0  559.8  719.7  0.3877130897970818
700.0  591.6  698.2  0.41791590063073697
800.0  652.0  659.6  0.4778723365084026
900.0  708.7  625.9  0.5371728399686642
1000.0  762.5  596.0  0.5958714206940957
1100.0  814.4  569.4  0.6540073852794019
1200.0  865.0  545.6  0.7112471581665547
1300.0  914.8  524.0  0.767838921910058
1400.0  964.2  504.4  0.8234935640307093
1500.0  1014.0  486.4  0.8783689031380836
1600.0  1063.0  469.9  0.9323486740485022
1700.0  1113.0  454.7  0.9852578292000527
1800.0  1164.0  440.6  1.0373053359546551
2000.0  1267.0  415.3  1.13943461857186
2250.0  1400.0  388.1  1.2558793652258164
2500.0  1538.0  364.8  1.3707226196426467
2750.0  1680.0  344.5  1.4841869154523633
3000.0  1826.0  326.7  1.5874064791350702
3250.0  1974.0  310.9  1.6804890270394508
3500.0  2125.0  296.8  1.772574923663313
3750.0  2276.0  284.0  1.863951547117038
4000.0  2429.0  272.5  1.9454445507389821
4500.0  2734.0  252.4  2.0975420853942355
5000.0  3035.0  235.4  2.247986694800483
5500.0  3330.0  220.9  2.3784696003943377
6000.0  3616.0  208.2  2.4986265367197236
6500.0  3892.0  197.1  2.6180165660285653
7000.0  4158.0  187.2  2.727424855060172
8000.0  4655.0  170.5  2.926120055636815
9000.0  5107.0  156.8  3.1046018810791183
10000.0  5516.0  145.4  3.2823252809555608
