#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  61.57  1587.0  0.008452810183601665
11.0  64.58  1642.0  0.008940357934669059
12.0  67.45  1693.0  0.009266067126888301
13.0  70.2  1741.0  0.0097205966895042
14.0  72.85  1785.0  0.010093066927351665
15.0  75.41  1826.0  0.010580642702596095
16.0  77.89  1865.0  0.010906878563548786
17.0  80.28  1901.0  0.01127918436767482
18.0  82.61  1936.0  0.011688455843266894
20.0  87.08  2000.0  0.012387493693237548
22.5  92.36  2071.0  0.013247263868437135
25.0  97.36  2135.0  0.014190137420053407
27.5  102.1  2192.0  0.014972641717479251
30.0  106.6  2244.0  0.015832245576670418
32.5  111.0  2291.0  0.01661505341550246
35.0  115.2  2334.0  0.017430146298869666
37.5  119.2  2374.0  0.018213456563760763
40.0  123.1  2411.0  0.018912958520548816
45.0  130.6  2476.0  0.02042792206760149
50.0  137.7  2534.0  0.02191141255145364
55.0  144.4  2584.0  0.023395298673024034
60.0  150.8  2628.0  0.024751767613647314
65.0  157.0  2668.0  0.026151290599127228
70.0  162.9  2703.0  0.02750818060141383
80.0  174.2  2763.0  0.03026499628283473
90.0  184.7  2813.0  0.03286411416727979
100.0  194.7  2853.0  0.03549422488236643
110.0  204.2  2887.0  0.03809435653741903
120.0  213.3  2915.0  0.04060898915264945
130.0  222.0  2939.0  0.04312377534493009
140.0  230.4  2958.0  0.045683804570109975
150.0  238.5  2975.0  0.048198962644438736
160.0  246.3  2988.0  0.05064395324221836
170.0  253.9  2999.0  0.05303225433639419
180.0  261.2  3008.0  0.05554772722623312
200.0  275.4  3021.0  0.060469000322479295
225.0  292.1  3030.0  0.06654780236792196
250.0  307.9  3032.0  0.07262740529579727
275.0  322.1  3029.0  0.0787076235189451
300.0  336.8  3022.0  0.08480807744548864
325.0  353.1  3013.0  0.09088949334219
350.0  370.1  3001.0  0.09690412787905375
375.0  387.1  2988.0  0.10300732983627914
400.0  403.7  2973.0  0.1091389023217661
450.0  435.4  2941.0  0.12129905193364045
500.0  464.6  2906.0  0.13362589569391106
550.0  491.5  2871.0  0.14592741346299534
600.0  516.3  2834.0  0.1583190765511219
650.0  539.4  2797.0  0.170800936765581
700.0  561.2  2761.0  0.18337306236195108
800.0  601.8  2689.0  0.20878843358768703
900.0  639.8  2620.0  0.23447654466918436
1000.0  676.2  2554.0  0.260527100317798
1100.0  711.6  2491.0  0.2868763670991391
1200.0  746.4  2431.0  0.31355296203352956
1300.0  780.8  2374.0  0.3404746246051239
1400.0  814.9  2321.0  0.36760996994096884
1500.0  848.8  2270.0  0.39497905007734274
1600.0  882.5  2221.0  0.42256334436389537
1700.0  916.1  2175.0  0.4502317847509214
1800.0  949.7  2131.0  0.4781760449876175
2000.0  1016.0  2049.0  0.5343039865095525
2250.0  1100.0  1957.0  0.6049598168473672
2500.0  1182.0  1874.0  0.6759286130946078
2750.0  1264.0  1799.0  0.7469985609089217
3000.0  1346.0  1731.0  0.818058506465155
3250.0  1426.0  1668.0  0.8888911013166911
3500.0  1506.0  1611.0  0.9594196631297486
3750.0  1586.0  1559.0  1.0295547921310455
4000.0  1664.0  1510.0  1.101798166634888
4500.0  1820.0  1423.0  1.2385201007654254
5000.0  1973.0  1347.0  1.37451176786523
5500.0  2124.0  1279.0  1.5004385125689088
6000.0  2273.0  1220.0  1.6350170794214964
6500.0  2421.0  1166.0  1.7596118236702092
7000.0  2568.0  1118.0  1.8836027447421073
8000.0  2860.0  1034.0  2.120702310556576
9000.0  3148.0  964.0  2.346471073761618
10000.0  3434.0  903.9  2.561191615244748
11000.0  3718.0  851.8  2.774601845310422
12000.0  3999.0  806.2  2.9678375460931146
13000.0  4277.0  765.9  3.1601662266406176
14000.0  4551.0  730.0  3.3325182220056955
15000.0  4821.0  697.7  3.5041870740586893
16000.0  5087.0  668.5  3.67525732432438
17000.0  5349.0  642.0  3.8362289399878104
18000.0  5605.0  617.8  3.987115695587476
20000.0  6102.0  575.0  4.2782852184023445
22500.0  6693.0  530.2  4.618925626160265
25000.0  7248.0  492.6  4.938916448979472
27500.0  7769.0  460.5  5.23852024335117
30000.0  8256.0  432.8  5.517968814699843
