#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  47.92  1008.0  0.010270345661174215
11.0  50.26  1031.0  0.01088577052853862
12.0  52.49  1051.0  0.0115013042738639
13.0  54.64  1069.0  0.012116930304330384
14.0  56.7  1086.0  0.012732635233917605
15.0  58.69  1100.0  0.013384692749555368
16.0  60.61  1114.0  0.014000357138301866
17.0  62.48  1127.0  0.01456639969244288
18.0  64.29  1138.0  0.015103310895297099
20.0  67.77  1158.0  0.016334931894562647
22.5  71.88  1179.0  0.01768191166135608
25.0  75.77  1197.0  0.01915750505676561
27.5  79.46  1212.0  0.020469000952660098
30.0  83.0  1224.0  0.02181650751151522
32.5  86.39  1234.0  0.023212712034572782
35.0  89.65  1243.0  0.024604674352650964
37.5  92.79  1250.0  0.025872379094316007
40.0  95.84  1257.0  0.027184738365487352
45.0  101.7  1266.0  0.02984526763156933
50.0  107.2  1272.0  0.032506153263651485
55.0  112.4  1276.0  0.03508660713149678
60.0  117.4  1279.0  0.03771299510778745
65.0  122.2  1279.0  0.040246242060594926
70.0  126.8  1279.0  0.042907924675984976
80.0  135.5  1275.0  0.04806890887049549
90.0  143.8  1268.0  0.053277199626106476
100.0  151.5  1260.0  0.05843911361408556
110.0  158.9  1251.0  0.06368320029646751
120.0  166.0  1241.0  0.0689740530924492
130.0  182.7  1231.0  0.07413696783656586
140.0  207.7  1220.0  0.07938217684090051
150.0  226.5  1209.0  0.08458191296015953
160.0  241.0  1197.0  0.08969983277576386
170.0  252.4  1186.0  0.09491243332672492
180.0  261.5  1175.0  0.10003084524285498
200.0  275.4  1153.0  0.11052827692495708
225.0  288.5  1126.0  0.12372768485670456
250.0  299.8  1101.0  0.1371067467340685
275.0  310.9  1076.0  0.15077048782835453
300.0  322.3  1053.0  0.16453148634835826
325.0  334.5  1031.0  0.17839871075767336
350.0  347.4  1009.0  0.19244690176773438
375.0  360.9  989.1  0.20669700046202896
400.0  375.1  969.9  0.22090536435315464
450.0  404.7  934.0  0.24961221925218327
500.0  435.5  901.2  0.27852572592132313
550.0  466.8  871.1  0.3075735521789869
600.0  498.3  843.4  0.3367146269469148
650.0  529.7  817.8  0.365748410796274
700.0  560.8  794.0  0.39479261644564734
800.0  621.8  751.2  0.4525563832275488
900.0  681.0  713.7  0.509850752671799
1000.0  738.5  680.4  0.5664770516093304
1100.0  794.6  650.8  0.6224017432494867
1200.0  849.5  624.1  0.6776390558402018
1300.0  903.5  599.9  0.7319984289600627
1400.0  956.7  577.9  0.7855029280658348
1500.0  1009.0  557.7  0.8382528317876415
1600.0  1061.0  539.2  0.8900730644166243
1700.0  1113.0  522.0  0.9410013868215074
1800.0  1164.0  506.1  0.9910977852865983
2000.0  1265.0  477.6  1.088806144361796
2250.0  1391.0  446.8  1.2086748197923212
2500.0  1516.0  420.4  1.3144674739224247
2750.0  1641.0  397.3  1.428077287824437
3000.0  1765.0  377.1  1.5316080601772764
3250.0  1890.0  359.1  1.6250730075907358
3500.0  2014.0  343.0  1.717727932473592
3750.0  2137.0  328.5  1.809681234361455
4000.0  2261.0  315.3  1.9010696988800806
4500.0  2506.0  292.3  2.0638437586212772
5000.0  2750.0  272.8  2.215709134791839
5500.0  2990.0  256.1  2.3569164092092874
6000.0  3227.0  241.6  2.4971580967171465
6500.0  3459.0  228.8  2.6272311832040973
7000.0  3687.0  217.5  2.747224797864201
8000.0  4126.0  198.2  2.966886273519765
9000.0  4543.0  182.5  3.175598494772285
10000.0  4937.0  169.3  3.3642831405813634
11000.0  5307.0  158.1  3.5427051316755107
12000.0  5654.0  148.4  3.7110412352869377
13000.0  5979.0  140.0  3.8694220266081083
14000.0  6283.0  132.6  4.017876304716212
15000.0  6567.0  126.0  4.166113667436356
16000.0  6834.0  120.1  4.304557748480092
17000.0  7084.0  114.7  4.433171528375594
18000.0  7319.0  109.9  4.571380194208309
20000.0  7747.0  101.5  4.818579683890264
22500.0  8218.0  92.78  5.115205274473352
25000.0  8629.0  85.57  5.401937226588254
27500.0  8991.0  79.49  5.6788500420419625
30000.0  9313.0  74.29  5.936183006781378
