#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  43.85  977.1  0.010333440859655606
11.0  45.99  999.8  0.01094805918873295
12.0  48.04  1020.0  0.011652467549836816
13.0  50.0  1039.0  0.012267028980156523
14.0  51.88  1055.0  0.012881770064707724
15.0  53.71  1070.0  0.013496666255042393
16.0  55.47  1084.0  0.014148851543499917
17.0  57.17  1097.0  0.014712579651441144
18.0  58.83  1109.0  0.01525024589965683
20.0  62.01  1130.0  0.016480594649465777
22.5  65.78  1152.0  0.017876800608610032
25.0  69.33  1170.0  0.01922238278674109
27.5  72.72  1186.0  0.020696859665176263
30.0  75.95  1199.0  0.022043139522309428
32.5  79.05  1210.0  0.02340299126180241
35.0  82.04  1220.0  0.02467083298147835
37.5  84.92  1228.0  0.026067220795474154
40.0  87.7  1235.0  0.027377545543748074
45.0  93.02  1246.0  0.030071414998300298
50.0  98.05  1254.0  0.032650421130515306
55.0  102.8  1259.0  0.03527860541461354
60.0  107.4  1263.0  0.03782208349628561
65.0  111.8  1264.0  0.04048135373230496
70.0  116.0  1265.0  0.04306111935377435
80.0  124.0  1264.0  0.04813730362203517
90.0  131.6  1259.0  0.05337799171943433
100.0  138.7  1253.0  0.05850350416855387
110.0  145.4  1245.0  0.06370996782293961
120.0  151.9  1237.0  0.06899775358662048
130.0  167.8  1227.0  0.07419238505399324
140.0  192.0  1218.0  0.07935288274536723
150.0  210.0  1208.0  0.08451384501961794
160.0  223.7  1198.0  0.08967519166413865
170.0  234.2  1187.0  0.0948368599227115
180.0  242.5  1177.0  0.0999522385942406
200.0  255.3  1156.0  0.11035877853619078
225.0  267.9  1131.0  0.12351291430453741
250.0  279.2  1107.0  0.13687969170041261
275.0  290.6  1084.0  0.15045906420020033
300.0  302.5  1061.0  0.16416047027223088
325.0  315.2  1040.0  0.1779803078994977
350.0  328.6  1019.0  0.19201325475081144
375.0  342.7  999.4  0.2060361376069742
400.0  357.3  980.6  0.22019504989894756
450.0  388.1  945.4  0.24873966310180612
500.0  420.2  913.1  0.277339881733587
550.0  453.0  883.4  0.3061051126655679
600.0  486.0  855.9  0.3348443369686876
650.0  519.1  830.4  0.36354870375233084
700.0  552.0  806.8  0.3921772175942912
800.0  616.8  764.1  0.4490728782725584
900.0  679.9  726.5  0.5054223085697741
1000.0  741.3  693.2  0.5609829409171013
1100.0  800.9  663.3  0.6157507125452638
1200.0  859.0  636.5  0.6697005300878894
1300.0  915.7  612.1  0.722827150845899
1400.0  971.2  589.9  0.775038786126217
1500.0  1026.0  569.5  0.8264329494883418
1600.0  1079.0  550.7  0.8769909919719815
1700.0  1132.0  533.4  0.9266781264279416
1800.0  1184.0  517.3  0.9755023577623992
2000.0  1287.0  488.3  1.0707516331997817
2250.0  1414.0  457.1  1.1815751605378306
2500.0  1539.0  430.2  1.2960317974494298
2750.0  1664.0  406.8  1.4003277937683019
3000.0  1789.0  386.2  1.5036049647430672
3250.0  1914.0  367.8  1.5968782044977632
3500.0  2038.0  351.4  1.689340181846155
3750.0  2162.0  336.6  1.7811608714543443
4000.0  2286.0  323.2  1.8631825729112002
4500.0  2532.0  299.7  2.025715293421067
5000.0  2776.0  279.8  2.17736637477481
5500.0  3017.0  262.8  2.3184308594392027
6000.0  3253.0  247.9  2.449164610637676
6500.0  3485.0  234.8  2.5791104900721105
7000.0  3711.0  223.2  2.698996976656328
8000.0  4147.0  203.6  2.918525465025104
9000.0  4559.0  187.4  3.1271653569966524
10000.0  4947.0  173.9  3.315783432312792
11000.0  5311.0  162.4  3.4845641391714977
12000.0  5652.0  152.5  3.652834840230256
13000.0  5971.0  143.9  3.8111826012407226
14000.0  6270.0  136.2  3.9692278946918633
15000.0  6550.0  129.5  4.107796807292201
16000.0  6813.0  123.4  4.255894119923568
17000.0  7059.0  118.0  4.3844845729002175
18000.0  7291.0  113.0  4.52271678087408
20000.0  7715.0  104.4  4.7698998312333565
22500.0  8183.0  95.42  5.066507606823462
25000.0  8594.0  88.01  5.353231981709741
27500.0  8958.0  81.77  5.630130806650943
30000.0  9283.0  76.43  5.897259222723722
