#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  127.3  1736.0  0.008000624975587844
11.0  133.5  1802.0  0.008327064308626422
12.0  139.4  1864.0  0.008814760348415605
13.0  145.1  1921.0  0.00914166286842826
14.0  150.6  1975.0  0.00951367436903324
15.0  155.9  2026.0  0.009840731680114036
16.0  161.0  2073.0  0.01021273714534943
17.0  165.9  2119.0  0.010539924098398433
18.0  170.8  2162.0  0.010911920087683926
20.0  180.0  2242.0  0.011483030958766943
22.5  190.9  2332.0  0.012266213759754882
25.0  201.2  2413.0  0.012965724044572288
27.5  211.1  2487.0  0.013749545447032059
30.0  220.4  2555.0  0.014449221432312538
32.5  229.4  2617.0  0.01514892735476674
35.0  238.1  2674.0  0.015805378831271335
37.5  246.5  2727.0  0.016505150711217394
40.0  254.5  2777.0  0.017077177752778706
45.0  270.0  2867.0  0.018349114420047635
50.0  284.6  2947.0  0.019590303724036542
55.0  298.5  3018.0  0.02082042266621886
60.0  311.8  3081.0  0.021976578441604597
65.0  324.5  3139.0  0.023091123835794567
70.0  336.7  3191.0  0.024205990993966763
80.0  360.0  3283.0  0.02647753764986465
90.0  381.8  3360.0  0.02862219418563154
100.0  402.5  3427.0  0.030726698488448122
110.0  422.1  3484.0  0.03278551509432176
120.0  440.9  3534.0  0.03486172686485855
130.0  458.9  3577.0  0.036920725886688634
140.0  476.2  3616.0  0.03891092391604188
150.0  492.9  3649.0  0.040814335716755204
160.0  509.1  3679.0  0.04280525668653326
170.0  524.8  3705.0  0.04470905948462795
180.0  540.0  3729.0  0.046612981024603005
200.0  569.2  3768.0  0.05038233817519787
225.0  603.7  3805.0  0.05515378500157537
250.0  636.4  3832.0  0.059711724141913704
275.0  667.4  3852.0  0.06433070806387879
300.0  697.1  3865.0  0.06888983959917457
325.0  725.6  3873.0  0.07338433075255235
350.0  711.2  3877.0  0.07791700712938095
375.0  703.1  3878.0  0.08250175755703633
400.0  704.5  3876.0  0.08703539509877577
450.0  726.7  3865.0  0.09621839740922732
500.0  764.4  3848.0  0.10535093734751487
550.0  810.0  3826.0  0.11441197489773525
600.0  858.4  3801.0  0.1236003236241718
650.0  907.0  3773.0  0.13262831522717916
700.0  953.9  3744.0  0.1416933661114733
800.0  1040.0  3682.0  0.1597300848306292
900.0  1115.0  3619.0  0.17786101315352953
1000.0  1179.0  3555.0  0.19602635026954923
1100.0  1234.0  3492.0  0.21416089745796266
1200.0  1281.0  3430.0  0.23251438665166507
1300.0  1323.0  3369.0  0.2508939218076038
1400.0  1360.0  3311.0  0.2694686252609012
1500.0  1394.0  3254.0  0.28813755395643936
1600.0  1424.0  3199.0  0.3068674958349287
1700.0  1453.0  3146.0  0.3258161137819921
1800.0  1479.0  3094.0  0.34491780180211057
2000.0  1529.0  2997.0  0.3835193345843205
2250.0  1587.0  2884.0  0.4324958381302646
2500.0  1642.0  2781.0  0.48225251684154025
2750.0  1697.0  2686.0  0.5325683899744709
3000.0  1752.0  2599.0  0.583421682833266
3250.0  1807.0  2518.0  0.6347748025875003
3500.0  1862.0  2442.0  0.6865334587622078
3750.0  1917.0  2372.0  0.7384936763439481
4000.0  1973.0  2307.0  0.7907796848680422
4500.0  2087.0  2188.0  0.8958433456804823
5000.0  2201.0  2082.0  1.001168562231156
5500.0  2316.0  1989.0  1.1067053808489413
6000.0  2432.0  1904.0  1.2108467822148266
6500.0  2549.0  1828.0  1.3147643515094254
7000.0  2667.0  1759.0  1.4184016708958012
8000.0  2903.0  1637.0  1.6250189537356172
9000.0  3142.0  1533.0  1.8211529452519906
10000.0  3382.0  1444.0  2.016320416005353
11000.0  3623.0  1366.0  2.2011104674686366
12000.0  3865.0  1298.0  2.3851054022830938
13000.0  4108.0  1236.0  2.5587779426906123
14000.0  4352.0  1182.0  2.731823605213192
15000.0  4596.0  1132.0  2.8946792568434936
16000.0  4841.0  1087.0  3.0569989237812956
17000.0  5086.0  1046.0  3.209210359262851
18000.0  5331.0  1009.0  3.3610100996575425
20000.0  5818.0  941.9  3.6538883193113603
22500.0  6423.0  871.6  3.9868787854661445
25000.0  7017.0  812.2  4.2989145606769155
27500.0  7598.0  761.3  4.590302884342165
30000.0  8164.0  717.2  4.8710611461980236
