#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  156.4  2176.0  0.007340980860893183
11.0  164.0  2255.0  0.00773950902835574
12.0  171.3  2329.0  0.008070315978944071
13.0  178.3  2398.0  0.00840119039184329
14.0  185.0  2462.0  0.00873212459828649
15.0  191.5  2523.0  0.00903935838431025
16.0  197.8  2579.0  0.009370165420097982
17.0  203.9  2633.0  0.009669539802906859
18.0  209.8  2684.0  0.009976973488989535
20.0  221.1  2778.0  0.010638608931622592
22.5  234.5  2884.0  0.011276967677527502
25.0  247.2  2978.0  0.012030793822520609
27.5  259.3  3064.0  0.012638829059687452
30.0  270.8  3142.0  0.013370115930686616
32.5  281.9  3213.0  0.014031393373432307
35.0  292.5  3279.0  0.014640355186948164
37.5  302.8  3339.0  0.015186177925995732
40.0  312.7  3396.0  0.015824980252752294
45.0  331.7  3497.0  0.017002352778365707
50.0  349.6  3586.0  0.0181287065175649
55.0  366.7  3665.0  0.019284449693989198
60.0  383.0  3735.0  0.02036884876471913
65.0  398.6  3798.0  0.021431285542402725
70.0  413.7  3855.0  0.022559033667247364
80.0  442.3  3953.0  0.02456277671599854
90.0  469.1  4035.0  0.026660457610476234
100.0  494.5  4103.0  0.028549605951746517
110.0  518.6  4162.0  0.030526873406885285
120.0  541.7  4211.0  0.03243732418064105
130.0  563.8  4254.0  0.03430029154395047
140.0  585.1  4291.0  0.03621077187799233
150.0  605.6  4322.0  0.03807426952680774
160.0  625.5  4349.0  0.03995860357920432
170.0  644.7  4372.0  0.04172828776741266
180.0  663.4  4392.0  0.04349816088066254
200.0  699.3  4424.0  0.04713300329917456
225.0  741.7  4451.0  0.051521645936441124
250.0  781.8  4467.0  0.05591064299397746
275.0  820.0  4475.0  0.06028042800113483
300.0  856.5  4476.0  0.06464534012595186
325.0  891.4  4472.0  0.06889651660280076
350.0  866.0  4464.0  0.07326759174423574
375.0  852.4  4453.0  0.0776148181728206
400.0  853.5  4440.0  0.08196255242487266
450.0  884.1  4406.0  0.09068290908434733
500.0  935.6  4367.0  0.09949959798913763
550.0  996.4  4325.0  0.10819819776687596
600.0  1060.0  4280.0  0.11699324766840179
650.0  1124.0  4233.0  0.12567565396686822
700.0  1186.0  4186.0  0.13435363783686693
800.0  1299.0  4091.0  0.15167695935770867
900.0  1398.0  3997.0  0.16911611395724538
1000.0  1483.0  3905.0  0.18651836370716962
1100.0  1557.0  3817.0  0.20390598323737338
1200.0  1622.0  3733.0  0.22148331765620635
1300.0  1679.0  3651.0  0.23912151722502933
1400.0  1729.0  3574.0  0.25687471654485583
1500.0  1776.0  3500.0  0.2747101017436381
1600.0  1818.0  3429.0  0.29264386205762116
1700.0  1857.0  3361.0  0.31077252130778876
1800.0  1894.0  3296.0  0.32897946744439843
2000.0  1964.0  3174.0  0.36569284926014073
2250.0  2045.0  3036.0  0.41220044881101237
2500.0  2122.0  2912.0  0.4593415940234457
2750.0  2198.0  2798.0  0.5068604738978962
3000.0  2274.0  2695.0  0.554738767349101
3250.0  2349.0  2600.0  0.6028979515639442
3500.0  2425.0  2513.0  0.6513059342582409
3750.0  2500.0  2432.0  0.6997975707302792
4000.0  2576.0  2358.0  0.7483616037718666
4500.0  2728.0  2224.0  0.8455563434804331
5000.0  2880.0  2106.0  0.9423053485999112
5500.0  3032.0  2002.0  1.0425866726560435
6000.0  3184.0  1910.0  1.1338479836380184
6500.0  3335.0  1827.0  1.224976836515695
7000.0  3485.0  1752.0  1.3160049733948578
8000.0  3783.0  1622.0  1.49786691665181
9000.0  4079.0  1513.0  1.6793378278357216
10000.0  4373.0  1419.0  1.8506674471660218
11000.0  4666.0  1337.0  2.0118581684601926
12000.0  4958.0  1266.0  2.1727999562776135
13000.0  5251.0  1203.0  2.323647959567025
14000.0  5544.0  1147.0  2.474325932451099
15000.0  5837.0  1096.0  2.61495023470811
16000.0  6130.0  1051.0  2.7554184618674533
17000.0  6424.0  1009.0  2.8957695522952096
18000.0  6717.0  971.3  3.016224403123879
20000.0  7301.0  904.3  3.2668156544255753
22500.0  8025.0  834.0  3.557355076457789
25000.0  8736.0  774.9  3.8177606053811175
27500.0  9431.0  724.6  4.0679456596665595
30000.0  10100.0  681.1  4.307960726376227
