#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  123.7  1759.0  0.007954872720540537
11.0  129.7  1826.0  0.008327064308626422
12.0  135.5  1889.0  0.008699425268372618
13.0  141.0  1948.0  0.009058697478114611
14.0  146.3  2003.0  0.009430800602281866
15.0  151.5  2055.0  0.009757561170702441
16.0  156.4  2104.0  0.01012965942171799
17.0  161.2  2151.0  0.01045657687773585
18.0  165.9  2195.0  0.010783784122468328
20.0  174.9  2277.0  0.011399561395071305
22.5  185.5  2370.0  0.012182364302548173
25.0  195.5  2453.0  0.012965724044572288
27.5  205.1  2529.0  0.01366528448295168
30.0  214.2  2599.0  0.014321312788986911
32.5  222.9  2663.0  0.015020985320544057
35.0  231.4  2722.0  0.015720687007888683
37.5  239.5  2777.0  0.01629263637352777
40.0  247.3  2829.0  0.016992351220475644
45.0  262.3  2922.0  0.0181906569425076
50.0  276.5  3004.0  0.019462785001124583
55.0  290.0  3078.0  0.02061892334725555
60.0  302.9  3144.0  0.021733154395991394
65.0  315.3  3204.0  0.02284775700150892
70.0  327.2  3259.0  0.023992915621074487
80.0  349.8  3354.0  0.026137138328439863
90.0  371.0  3435.0  0.028251902590799086
100.0  391.1  3505.0  0.030397039329513657
110.0  410.2  3565.0  0.032415582672535755
120.0  428.4  3618.0  0.03444502866888051
130.0  445.9  3664.0  0.03634790227784817
140.0  462.7  3705.0  0.038367173468995604
150.0  479.0  3741.0  0.04027046063804088
160.0  494.7  3772.0  0.04217392559390221
170.0  509.9  3801.0  0.04407754530370311
180.0  524.7  3826.0  0.04591361453860935
200.0  553.1  3868.0  0.0496830957167526
225.0  586.6  3909.0  0.05427881723103407
250.0  618.3  3940.0  0.05877040071328424
275.0  648.5  3962.0  0.06332906125942497
300.0  677.4  3978.0  0.0677721181607894
325.0  705.0  3988.0  0.07217797447975387
350.0  755.6  3995.0  0.07658446317628662
375.0  805.5  3997.0  0.080964374881796
400.0  846.5  3997.0  0.08524605562722536
450.0  909.6  3989.0  0.09390985038855083
500.0  957.1  3975.0  0.10242314191626813
550.0  996.2  3955.0  0.11093827112408053
600.0  1030.0  3932.0  0.11945484502522281
650.0  1061.0  3906.0  0.1279725751870298
700.0  1090.0  3878.0  0.1365554832293453
800.0  1143.0  3818.0  0.1536899801548559
900.0  1191.0  3756.0  0.1710095903743413
1000.0  1238.0  3692.0  0.1884236184770901
1100.0  1284.0  3629.0  0.20596383177635827
1200.0  1328.0  3568.0  0.22356596342019508
1300.0  1371.0  3507.0  0.24138601865062526
1400.0  1414.0  3448.0  0.2591759826835813
1500.0  1455.0  3391.0  0.2771170510813076
1600.0  1496.0  3335.0  0.29518687301436697
1700.0  1536.0  3281.0  0.3133184003533786
1800.0  1575.0  3229.0  0.33148535412594027
2000.0  1651.0  3130.0  0.36811946430472814
2250.0  1741.0  3016.0  0.414367288766862
2500.0  1827.0  2910.0  0.4609345072784202
2750.0  1908.0  2813.0  0.5078221046784002
3000.0  1985.0  2723.0  0.554908226646533
3250.0  2058.0  2640.0  0.6023176653560811
3500.0  2127.0  2562.0  0.6498655707144363
3750.0  2194.0  2490.0  0.6975815507881498
4000.0  2258.0  2422.0  0.7454797180339651
4500.0  2379.0  2299.0  0.8415399099270338
5000.0  2493.0  2190.0  0.9379857728132128
5500.0  2601.0  2093.0  1.0344451942949902
6000.0  2706.0  2005.0  1.1349061679275516
6500.0  2808.0  1926.0  1.2285141146930303
7000.0  2908.0  1853.0  1.3219262309221345
8000.0  3106.0  1726.0  1.517720781303333
9000.0  3303.0  1618.0  1.7033659148873448
10000.0  3503.0  1525.0  1.888286720813341
11000.0  3705.0  1443.0  2.072592996707265
12000.0  3912.0  1371.0  2.2466994925890735
13000.0  4122.0  1307.0  2.4202445372317234
14000.0  4336.0  1250.0  2.5932493131205105
15000.0  4554.0  1198.0  2.756136317383449
16000.0  4776.0  1151.0  2.9185683699375624
17000.0  5001.0  1108.0  3.070977085554368
18000.0  5228.0  1068.0  3.222953094601285
20000.0  5689.0  997.9  3.516299424110523
22500.0  6271.0  923.7  3.849848803524627
25000.0  6855.0  861.1  4.172157447891918
27500.0  7435.0  807.5  4.473807570738821
30000.0  8007.0  760.9  4.745280532276253
