#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  151.9  2201.0  0.0073171032519706875
11.0  159.3  2282.0  0.007647875521999558
12.0  166.4  2357.0  0.008070315978944071
13.0  173.2  2428.0  0.00840119039184329
14.0  179.8  2493.0  0.008708616422830896
15.0  186.1  2555.0  0.00903935838431025
16.0  192.2  2613.0  0.00933862944976403
17.0  198.1  2668.0  0.009646242791885347
18.0  203.8  2720.0  0.009976973488989535
20.0  214.9  2817.0  0.010523307464861036
22.5  227.9  2925.0  0.011276967677527502
25.0  240.2  3023.0  0.011884864324004714
27.5  251.9  3111.0  0.012638829059687452
30.0  263.1  3191.0  0.013277424449041312
32.5  273.9  3265.0  0.013916177636118332
35.0  284.2  3333.0  0.01454750837772572
37.5  294.2  3395.0  0.015093376030563873
40.0  303.9  3454.0  0.015702547564010114
45.0  322.3  3559.0  0.01688016587596224
50.0  339.7  3651.0  0.018035520508152793
55.0  356.3  3733.0  0.019097905644337027
60.0  372.1  3806.0  0.02022523176628639
65.0  387.3  3871.0  0.02128778992756176
70.0  402.0  3931.0  0.022350391495452607
80.0  429.7  4033.0  0.024354055103822034
90.0  455.8  4119.0  0.026330400680582133
100.0  480.4  4192.0  0.0283346078144731
110.0  503.9  4254.0  0.0301970197204956
120.0  526.3  4307.0  0.03210747576499903
130.0  547.8  4352.0  0.03397057550292606
140.0  568.5  4391.0  0.03576045301726476
150.0  588.4  4425.0  0.03765036520407206
160.0  607.7  4455.0  0.03944033468417833
170.0  626.4  4480.0  0.041209950254762505
180.0  644.6  4503.0  0.042979762679661235
200.0  679.5  4538.0  0.04651988821998609
225.0  720.7  4569.0  0.05090834902056832
250.0  759.7  4589.0  0.05517735042569551
275.0  796.7  4600.0  0.05945216564600486
300.0  832.2  4604.0  0.0637026687039091
325.0  866.2  4603.0  0.06785875035689944
350.0  921.3  4598.0  0.07211033213070095
375.0  977.0  4589.0  0.07626716200305345
400.0  1026.0  4577.0  0.0804242500742158
450.0  1106.0  4547.0  0.08861997517490061
500.0  1171.0  4510.0  0.09679819213187818
550.0  1225.0  4470.0  0.10495422811873756
600.0  1272.0  4426.0  0.1131344333083434
650.0  1315.0  4381.0  0.12129245648431729
700.0  1354.0  4335.0  0.12943357369708988
800.0  1426.0  4241.0  0.14595002569372847
900.0  1494.0  4148.0  0.1625426405593314
1000.0  1558.0  4057.0  0.17919492180304666
1100.0  1620.0  3969.0  0.19594606400742018
1200.0  1680.0  3884.0  0.212892038366868
1300.0  1739.0  3802.0  0.2298190810180913
1400.0  1797.0  3724.0  0.2468652668967427
1500.0  1853.0  3649.0  0.2640649351958719
1600.0  1909.0  3577.0  0.2812869175770533
1700.0  1963.0  3508.0  0.2985868550355156
1800.0  2016.0  3442.0  0.3158726958760444
2000.0  2120.0  3318.0  0.35075059515273815
2250.0  2243.0  3176.0  0.39454774109098634
2500.0  2360.0  3048.0  0.4385432019767266
2750.0  2470.0  2932.0  0.48255720904365323
3000.0  2575.0  2826.0  0.5267694562140064
3250.0  2675.0  2728.0  0.5710349726592935
3500.0  2770.0  2638.0  0.6152572388846799
3750.0  2861.0  2555.0  0.6595487169269606
4000.0  2947.0  2477.0  0.7037982523422461
4500.0  3110.0  2338.0  0.7920912952431685
5000.0  3263.0  2216.0  0.8801646209658737
5500.0  3406.0  2108.0  0.9677594380836594
6000.0  3542.0  2012.0  1.051925330049619
6500.0  3673.0  1926.0  1.1427788762485944
7000.0  3801.0  1848.0  1.2237481154224508
8000.0  4048.0  1712.0  1.3953692593718696
9000.0  4290.0  1597.0  1.566710036988338
10000.0  4531.0  1499.0  1.727994843742307
11000.0  4774.0  1414.0  1.8890412912374364
12000.0  5021.0  1339.0  2.0400553178774343
13000.0  5272.0  1273.0  2.1908714453385896
14000.0  5527.0  1214.0  2.3415440824379115
15000.0  5787.0  1161.0  2.4821848803020297
16000.0  6051.0  1113.0  2.6227044248256415
17000.0  6319.0  1069.0  2.7532274243149626
18000.0  6591.0  1029.0  2.88363950937006
20000.0  7142.0  958.3  3.1343649197245687
22500.0  7839.0  884.1  3.425077355330825
25000.0  8538.0  821.8  3.695558785894226
27500.0  9232.0  768.7  3.955804565445568
30000.0  9915.0  722.7  4.195960863735505
