#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  130.9  2149.0  0.007340980860893183
11.0  137.3  2226.0  0.007672027111526654
12.0  143.4  2297.0  0.008127115109311545
13.0  149.3  2363.0  0.008433860326090302
14.0  154.9  2424.0  0.008764701934464172
15.0  160.4  2482.0  0.009063112048297758
16.0  165.6  2536.0  0.009394147114027968
17.0  170.7  2587.0  0.009701030873056739
18.0  175.7  2636.0  0.010031948963187562
20.0  185.2  2725.0  0.010670051546267243
22.5  196.4  2825.0  0.011423659658795863
25.0  207.0  2915.0  0.012154011683390798
27.5  217.1  2996.0  0.012815615474880636
30.0  226.8  3069.0  0.013515546603818878
32.5  236.0  3136.0  0.014177094201563309
35.0  245.0  3198.0  0.014815532390029054
37.5  253.6  3254.0  0.015454125662747797
40.0  261.9  3307.0  0.01608539710420604
45.0  277.8  3401.0  0.01724006960542793
50.0  292.8  3483.0  0.018447222013083707
55.0  307.1  3555.0  0.01957268504830137
60.0  320.7  3620.0  0.020728000385951368
65.0  333.8  3677.0  0.02190570701894828
70.0  346.4  3728.0  0.022968021246942458
80.0  370.3  3817.0  0.025157702597812862
90.0  392.8  3890.0  0.02728277845088363
100.0  414.1  3950.0  0.029379925119033232
110.0  434.3  4001.0  0.031383753758911635
120.0  453.6  4044.0  0.033387722294280574
130.0  472.1  4080.0  0.035364530252782946
140.0  489.9  4110.0  0.03736883728456105
150.0  507.1  4136.0  0.03935225533562213
160.0  523.8  4158.0  0.041235906683374866
170.0  539.9  4176.0  0.04321978713506118
180.0  555.5  4191.0  0.04510376924382263
200.0  585.6  4214.0  0.04897223703283321
225.0  621.1  4231.0  0.05366879912947559
250.0  654.7  4239.0  0.058386042852722954
275.0  686.7  4239.0  0.06298904666686106
300.0  717.2  4233.0  0.06766173216819091
325.0  755.5  4223.0  0.0722403626790453
350.0  790.9  4210.0  0.07684438821410448
375.0  821.9  4194.0  0.08149944785089039
400.0  850.0  4176.0  0.08607926579612538
450.0  900.7  4135.0  0.09522084855744566
500.0  947.5  4089.0  0.10433949396082004
550.0  992.5  4041.0  0.11357865116297165
600.0  1037.0  3991.0  0.12279495103627022
650.0  1080.0  3941.0  0.13201761246136823
700.0  1123.0  3891.0  0.1413312067450073
800.0  1205.0  3792.0  0.15992001125562744
900.0  1284.0  3695.0  0.17870884141530324
1000.0  1357.0  3602.0  0.19747268165495702
1100.0  1425.0  3514.0  0.2164140938109161
1200.0  1488.0  3429.0  0.23555029186991044
1300.0  1546.0  3349.0  0.25466721422279703
1400.0  1601.0  3272.0  0.27397894079655105
1500.0  1651.0  3200.0  0.2933517342713351
1600.0  1698.0  3130.0  0.312839575501566
1700.0  1742.0  3065.0  0.33242582631317924
1800.0  1783.0  3002.0  0.35207401210540945
2000.0  1859.0  2885.0  0.3919112782250595
2250.0  1944.0  2753.0  0.4421256947973054
2500.0  2021.0  2634.0  0.4929733562780042
2750.0  2094.0  2527.0  0.5441954244570603
3000.0  2163.0  2430.0  0.5959563910220278
3250.0  2230.0  2341.0  0.64801408163712
3500.0  2296.0  2259.0  0.7003205266162059
3750.0  2363.0  2184.0  0.7528943219336962
4000.0  2429.0  2115.0  0.8054377319197308
4500.0  2565.0  1991.0  0.9108747883216441
5000.0  2706.0  1882.0  1.0158981543442236
5500.0  2851.0  1787.0  1.1153154979645894
6000.0  3001.0  1703.0  1.2264160631694285
6500.0  3156.0  1627.0  1.3276114190530302
7000.0  3315.0  1558.0  1.4286685304856406
8000.0  3643.0  1440.0  1.6207222618326684
9000.0  3982.0  1341.0  1.8024669899889985
10000.0  4326.0  1256.0  1.9837699160941018
11000.0  4673.0  1183.0  2.1548818366676166
12000.0  5020.0  1119.0  2.3158331654072146
13000.0  5366.0  1062.0  2.4666667427927917
14000.0  5708.0  1012.0  2.6172690136858305
15000.0  6047.0  966.3  2.757798087242792
16000.0  6381.0  925.5  2.8981718185780494
17000.0  6710.0  888.4  3.0285119415316823
18000.0  7032.0  854.5  3.158743137705249
20000.0  7660.0  794.8  3.389298365443798
22500.0  8409.0  732.2  3.6696532942500166
25000.0  9118.0  679.7  3.9297971817894117
27500.0  9790.0  635.1  4.179743848610821
30000.0  10430.0  596.5  4.409666985158856
