#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  146.8  1706.0  0.008038034585643434
11.0  154.0  1770.0  0.00841011296000238
12.0  160.8  1829.0  0.008865664103720602
13.0  167.4  1884.0  0.009192932067626737
14.0  173.7  1936.0  0.009596874491208062
15.0  179.8  1984.0  0.009924212815130477
16.0  185.7  2030.0  0.010296115772464877
17.0  191.4  2073.0  0.010623558725775464
18.0  197.0  2115.0  0.010951255635770723
20.0  207.6  2191.0  0.011650751048752178
22.5  220.2  2277.0  0.012434629065637625
25.0  232.1  2354.0  0.013134306224540374
27.5  243.5  2424.0  0.01391869246732609
30.0  254.3  2487.0  0.014618481453283719
32.5  264.7  2546.0  0.015275470532851028
35.0  274.7  2600.0  0.015975293424535277
37.5  284.3  2650.0  0.01667513118389178
40.0  293.6  2697.0  0.017332628190785147
45.0  311.4  2781.0  0.01869037185290865
50.0  328.3  2855.0  0.019932385707686875
55.0  344.3  2921.0  0.02116341182323871
60.0  359.6  2980.0  0.022319722220493696
65.0  374.3  3033.0  0.023521266972678156
70.0  388.4  3081.0  0.024677722747449775
80.0  415.2  3165.0  0.026938819573247823
90.0  440.4  3236.0  0.02917087588674704
100.0  464.3  3296.0  0.031287377646584576
110.0  486.9  3347.0  0.03339371198294673
120.0  508.6  3392.0  0.035539977490144814
130.0  529.3  3430.0  0.037618346587802075
140.0  549.3  3464.0  0.039677449514806264
150.0  568.6  3493.0  0.041668933271683355
160.0  587.2  3518.0  0.04366073751094913
170.0  605.3  3541.0  0.0456528202852792
180.0  622.9  3561.0  0.047645146657345906
200.0  656.6  3593.0  0.05150417458808558
225.0  696.4  3623.0  0.056277348906998106
250.0  734.1  3643.0  0.0611020457922646
275.0  769.9  3657.0  0.06578791682368428
300.0  804.1  3664.0  0.07046119499412425
325.0  803.6  3668.0  0.07511071827642178
350.0  763.9  3668.0  0.07982267848174476
375.0  745.7  3664.0  0.0845719220545448
400.0  743.2  3659.0  0.08937426922778167
450.0  768.6  3642.0  0.09899121173114307
500.0  816.8  3620.0  0.10851041424674408
550.0  875.2  3594.0  0.11803092815020987
600.0  936.5  3565.0  0.12749152913037007
650.0  996.9  3535.0  0.136943345950068
700.0  1054.0  3503.0  0.14634141587397603
800.0  1156.0  3438.0  0.1650754070114625
900.0  1240.0  3372.0  0.18368856796218977
1000.0  1308.0  3306.0  0.20236177998821814
1100.0  1362.0  3242.0  0.2211148344186794
1200.0  1405.0  3180.0  0.24001004145660243
1300.0  1440.0  3120.0  0.25900953650396735
1400.0  1467.0  3062.0  0.27819478787353297
1500.0  1489.0  3006.0  0.2975659590746227
1600.0  1507.0  2952.0  0.31712322526109626
1700.0  1522.0  2900.0  0.33693566151418286
1800.0  1535.0  2850.0  0.35686594121602583
2000.0  1558.0  2756.0  0.3975026163435909
2250.0  1584.0  2648.0  0.44931131746262526
2500.0  1611.0  2549.0  0.5022044006179158
2750.0  1641.0  2459.0  0.5561425177056687
3000.0  1677.0  2376.0  0.610950292577064
3250.0  1717.0  2299.0  0.6663825177778901
3500.0  1762.0  2228.0  0.7223980412487289
3750.0  1812.0  2162.0  0.7787392760096283
4000.0  1865.0  2101.0  0.8353266726257459
4500.0  1984.0  1990.0  0.9488508576167279
5000.0  2114.0  1891.0  1.0620800016947876
5500.0  2253.0  1804.0  1.1786464270509627
6000.0  2398.0  1726.0  1.2833537353356634
6500.0  2549.0  1655.0  1.3971312894642365
7000.0  2703.0  1591.0  1.5010464150052123
8000.0  3015.0  1479.0  1.7078431368249252
9000.0  3329.0  1384.0  1.9037308265613604
10000.0  3639.0  1302.0  2.098397314618945
11000.0  3944.0  1231.0  2.282455664410593
12000.0  4241.0  1168.0  2.4560433098787167
13000.0  4531.0  1112.0  2.6287910719568415
14000.0  4813.0  1062.0  2.781709231749429
15000.0  5087.0  1017.0  2.943614419383082
16000.0  5354.0  976.6  3.0954122197213088
17000.0  5614.0  939.4  3.237118510342184
18000.0  5866.0  905.2  3.378455516948536
20000.0  6354.0  844.8  3.650539260164175
22500.0  6933.0  781.1  3.962610455242857
25000.0  7483.0  727.4  4.263716317955499
27500.0  8010.0  681.5  4.54444901500721
30000.0  8516.0  641.6  4.81471436535959
