#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  165.0  2156.0  0.007340980860893183
11.0  173.1  2234.0  0.007647875521999558
12.0  180.8  2306.0  0.007978721702127477
13.0  188.2  2373.0  0.00840119039184329
14.0  195.3  2436.0  0.00873212459828649
15.0  202.1  2494.0  0.00903935838431025
16.0  208.8  2550.0  0.009370165420097982
17.0  215.2  2602.0  0.009701030873056739
18.0  221.4  2651.0  0.009976973488989535
20.0  233.4  2742.0  0.010546563421323554
22.5  247.6  2844.0  0.011276967677527502
25.0  261.0  2936.0  0.012030793822520609
27.5  273.7  3018.0  0.012669254121691616
30.0  285.9  3093.0  0.013300375934536588
32.5  297.5  3162.0  0.013938794782907165
35.0  308.8  3225.0  0.01457737973711325
37.5  319.6  3283.0  0.015186177925995732
40.0  330.1  3337.0  0.015847397262642216
45.0  350.1  3434.0  0.017002352778365707
50.0  369.1  3519.0  0.018157643018850218
55.0  387.1  3594.0  0.01933520105920805
60.0  404.3  3660.0  0.020462160198766895
65.0  420.8  3720.0  0.021524637046881883
70.0  436.7  3773.0  0.0225871644966782
80.0  466.8  3865.0  0.024684205476376998
90.0  495.2  3941.0  0.026781710176909918
100.0  521.9  4005.0  0.028785760368626706
110.0  547.4  4059.0  0.030762802213062452
120.0  571.8  4104.0  0.032673230633042706
130.0  595.1  4143.0  0.034656745375179134
140.0  617.6  4176.0  0.03654052544778195
150.0  639.2  4204.0  0.03840390605133806
160.0  660.2  4228.0  0.04031438949060248
170.0  680.5  4248.0  0.04208384488137937
180.0  700.3  4265.0  0.04394792372797605
200.0  738.1  4291.0  0.04760252094164762
225.0  782.9  4312.0  0.052110843401349784
250.0  825.3  4323.0  0.056594080962588306
275.0  865.6  4326.0  0.06103326961584149
300.0  904.0  4323.0  0.0654227789076557
325.0  902.6  4316.0  0.06979319451063978
350.0  857.1  4305.0  0.07425368677715606
375.0  837.4  4291.0  0.0787199466463234
400.0  836.1  4274.0  0.08328181073920043
450.0  868.9  4236.0  0.09232995180330163
500.0  928.8  4193.0  0.10143219410029541
550.0  1001.0  4147.0  0.11044034588862896
600.0  1078.0  4099.0  0.11946731770655941
650.0  1154.0  4051.0  0.1284539216995729
700.0  1227.0  4002.0  0.13734573164099423
800.0  1361.0  3904.0  0.15518717730534312
900.0  1475.0  3808.0  0.1729355949479459
1000.0  1570.0  3716.0  0.19064212546024553
1100.0  1649.0  3628.0  0.20843046802231194
1200.0  1714.0  3543.0  0.2262376847477007
1300.0  1768.0  3463.0  0.2442015151468148
1400.0  1813.0  3386.0  0.2623231785412795
1500.0  1852.0  3313.0  0.2804842598079258
1600.0  1885.0  3243.0  0.2989162257221913
1700.0  1914.0  3176.0  0.31733428746355163
1800.0  1940.0  3113.0  0.3360601285484489
2000.0  1987.0  2994.0  0.3739079699605239
2250.0  2039.0  2860.0  0.4220192768109059
2500.0  2091.0  2739.0  0.4709935349874773
2750.0  2145.0  2629.0  0.5206559516609793
3000.0  2202.0  2530.0  0.5708871517208983
3250.0  2264.0  2439.0  0.6214643111233339
3500.0  2331.0  2355.0  0.6724350526259023
3750.0  2402.0  2278.0  0.7235756007495002
4000.0  2477.0  2206.0  0.7747828147293925
4500.0  2639.0  2078.0  0.8769610766733037
5000.0  2814.0  1967.0  0.9782033530917793
5500.0  2997.0  1868.0  1.073624701653236
6000.0  3188.0  1781.0  1.1747668917704481
6500.0  3382.0  1702.0  1.275760204740687
7000.0  3579.0  1631.0  1.3668029594641653
8000.0  3975.0  1508.0  1.5486003002711837
9000.0  4367.0  1405.0  1.7200919888192026
10000.0  4751.0  1317.0  1.8813442693988787
11000.0  5124.0  1241.0  2.042245122408179
12000.0  5486.0  1174.0  2.193024769581958
13000.0  5836.0  1115.0  2.33371072114776
14000.0  6175.0  1062.0  2.464342364607645
15000.0  6503.0  1015.0  2.6046787920970216
16000.0  6820.0  972.5  2.725126553024648
17000.0  7128.0  933.7  2.8553129933511667
18000.0  7427.0  898.3  2.97554000645261
20000.0  8002.0  835.9  3.19602175368066
22500.0  8681.0  770.3  3.466333394236625
25000.0  9325.0  715.4  3.726385530242409
27500.0  9939.0  668.6  3.9564898710852274
30000.0  10530.0  628.2  4.186406623824304
