#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  59.14  1110.0  0.00977496803063826
11.0  62.02  1137.0  0.010341179816636011
12.0  64.78  1162.0  0.010957189420649806
13.0  67.43  1185.0  0.011493911431710269
14.0  69.97  1205.0  0.012060679914499016
15.0  72.43  1224.0  0.01267675037223657
16.0  74.8  1242.0  0.013164345787011218
17.0  77.1  1258.0  0.01366528448295168
18.0  79.34  1272.0  0.014232708807532038
20.0  83.63  1299.0  0.015336557632011168
22.5  88.71  1327.0  0.016568946858506125
25.0  93.5  1351.0  0.017833956375409247
27.5  98.07  1372.0  0.019066462702871764
30.0  102.4  1390.0  0.02025141970331957
32.5  106.6  1405.0  0.02148394749574668
35.0  110.6  1418.0  0.022669142021699895
37.5  114.5  1430.0  0.023854559312634555
40.0  118.3  1440.0  0.025087048451342377
45.0  125.4  1457.0  0.027376815008324104
50.0  132.2  1469.0  0.02971430631867418
55.0  138.7  1479.0  0.03200453092922938
60.0  144.9  1486.0  0.03426091067090891
65.0  150.8  1491.0  0.03651753003695623
70.0  156.5  1495.0  0.038774347189862536
80.0  167.3  1498.0  0.04327620593351501
90.0  177.4  1497.0  0.047790689469812006
100.0  187.0  1494.0  0.052260309987599576
110.0  196.1  1489.0  0.05664750656472004
120.0  204.9  1482.0  0.061118000621748096
130.0  213.2  1474.0  0.06568416856442655
140.0  221.3  1465.0  0.07015539893693143
150.0  227.3  1456.0  0.07462687183582065
160.0  228.3  1446.0  0.07918213182277932
170.0  231.3  1437.0  0.0837498059699245
180.0  235.7  1426.0  0.0883056623326047
200.0  247.5  1406.0  0.09763001587626625
225.0  265.5  1380.0  0.10926614297210276
250.0  284.9  1354.0  0.1209759066922005
275.0  304.6  1329.0  0.132814871155304
300.0  323.7  1305.0  0.1447275371171637
325.0  342.0  1281.0  0.15661028063316917
350.0  359.2  1259.0  0.1686641040648543
375.0  375.4  1237.0  0.18075007607190655
400.0  390.5  1216.0  0.1928915239195336
450.0  417.8  1176.0  0.21749521833824303
500.0  441.7  1139.0  0.242329486443561
550.0  462.9  1105.0  0.26741454709869467
600.0  482.0  1073.0  0.2928894159917698
650.0  499.5  1044.0  0.31858678566444026
700.0  515.6  1016.0  0.34454842910685285
800.0  545.6  965.7  0.3973550050018246
900.0  574.0  921.0  0.4510292895145503
1000.0  602.0  881.1  0.5054686736089588
1100.0  630.6  845.2  0.5604035064130132
1200.0  660.3  812.7  0.6157601075094099
1300.0  691.3  783.1  0.6713750814559623
1400.0  723.8  755.9  0.7269482650092784
1500.0  757.9  731.0  0.7825416730117317
1600.0  793.6  707.9  0.8377380318452781
1700.0  830.8  686.6  0.8925956195276784
1800.0  869.5  666.7  0.9469773439739728
2000.0  951.0  630.8  1.0539528737092565
2250.0  1060.0  591.9  1.1871330380374392
2500.0  1175.0  558.3  1.305453951696497
2750.0  1295.0  528.8  1.4314000873270898
3000.0  1420.0  502.9  1.5378563001789212
3250.0  1548.0  479.7  1.652215654810231
3500.0  1679.0  458.9  1.7564238582984462
3750.0  1811.0  440.1  1.8504339653173252
4000.0  1945.0  423.0  1.943617022460958
4500.0  2216.0  393.0  2.1185336910231096
5000.0  2487.0  367.5  2.2818619108088027
5500.0  2757.0  345.6  2.434082301402317
6000.0  3023.0  326.5  2.5661854356222973
6500.0  3284.0  309.6  2.697151261979943
7000.0  3541.0  294.6  2.817819484991897
8000.0  4034.0  269.1  3.0477793309227623
9000.0  4501.0  248.1  3.247448378342603
10000.0  4940.0  230.5  3.436273507740616
11000.0  5351.0  215.6  3.60513145391399
12000.0  5736.0  202.6  3.773345053132565
13000.0  6096.0  191.3  3.9219313724235407
14000.0  6431.0  181.3  4.070143581005467
15000.0  6745.0  172.4  4.208489307340581
16000.0  7038.0  164.4  4.34662656320968
17000.0  7313.0  157.2  4.4749629953777275
18000.0  7570.0  150.7  4.593534695634725
20000.0  8038.0  139.3  4.840114763102214
22500.0  8551.0  127.5  5.126275132101281
25000.0  8999.0  117.7  5.3927952399474615
27500.0  9394.0  109.5  5.649487357274109
30000.0  9745.0  102.4  5.906153209153992
