#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.8141  0.7096  0.00037416573867739413
0.0012  0.8141  0.7424  0.00037416573867739413
0.0013000000000000002  0.8474  0.7735  0.0004123105625617661
0.0014  0.8793  0.8033  0.0004123105625617661
0.0015  0.9102  0.8319  0.0004123105625617661
0.0016  0.9401  0.8593  0.0005385164807134503
0.0017  0.969  0.8856  0.0005385164807134503
0.0018000000000000002  0.9971  0.9111  0.0005385164807134503
0.002  1.051  0.9594  0.0005385164807134503
0.0022500000000000003  1.115  1.016  0.0005385164807134503
0.00249999  1.175  1.068  0.0006164414002968976
0.00274999  1.232  1.117  0.0006164414002968976
0.00299999  1.287  1.163  0.0006708203932499369
0.00324999  1.34  1.207  0.0006708203932499369
0.00349999  1.39  1.248  0.0007071067811865476
0.00374999  1.439  1.288  0.0007810249675906655
0.00399999  1.486  1.325  0.0007810249675906655
0.004499990000000001  1.577  1.396  0.0007810249675906655
0.00499999  1.662  1.461  0.0009110433579144298
0.005499990000000001  1.743  1.521  0.0009110433579144298
0.00599999  1.82  1.577  0.0009110433579144298
0.006499990000000001  1.895  1.63  0.0009486832980505137
0.00699999  1.966  1.68  0.0010770329614269007
0.00799999  2.102  1.771  0.0010770329614269007
0.008999990000000001  2.23  1.854  0.0011532562594670798
0.00999999  2.35  1.93  0.0012449899597988734
0.0109999  2.465  1.999  0.0013190905958272918
0.0119999  2.574  2.063  0.0013190905958272918
0.0129999  2.68  2.123  0.001449137674618944
0.013999900000000001  2.781  2.179  0.0014866068747318507
0.0149999  2.878  2.231  0.001562049935181331
0.0159999  2.973  2.28  0.0016155494421403514
0.016999900000000002  3.064  2.326  0.0017291616465790584
0.0179999  3.153  2.37  0.0017291616465790584
0.0199999  3.324  2.452  0.001857417562100671
0.0224999  3.525  2.543  0.002024845673131659
0.024999900000000002  3.716  2.624  0.0021
0.0274999  3.897  2.697  0.002193171219946131
0.0299999  4.071  2.764  0.002267156809750927
0.0324999  4.237  2.825  0.0024351591323771844
0.0349999  4.397  2.881  0.0026038433132583075
0.037499899999999996  4.551  2.933  0.002677685567799177
0.0399999  4.7  2.981  0.0027730849247724096
0.044999899999999995  4.985  3.067  0.003014962686336267
0.0499999  5.255  3.143  0.0031843366656181316
0.0549999  5.512  3.209  0.003426368339802363
0.059999899999999995  5.757  3.268  0.0035524639336663223
0.0649999  5.992  3.321  0.003721558813185679
0.0699999  6.218  3.368  0.003963584236521283
0.0799999  6.647  3.45  0.004302324952859791
0.0899999  7.05  3.518  0.0045891175622335065
0.0999999  7.432  3.574  0.005000999900019996
0.11  7.795  3.622  0.005341348144429456
0.12  8.141  3.662  0.005583009940883144
0.13  8.474  3.696  0.005923681287847955
0.13999899999999998  8.793  3.726  0.006212889826803627
0.149999  9.102  3.75  0.006554387843269577
0.159999  9.401  3.771  0.006795586803212803
0.169999  9.69  3.789  0.007137226352022192
0.179999  9.971  3.804  0.007427651041883968
0.199999  10.51  3.828  0.00794103267843673
0.224999  11.15  3.846  0.008644073113989724
0.249999  11.75  3.856  0.009329523031752482
0.27499900000000005  12.32  3.858  0.009964436762808022
0.299999  12.87  3.856  0.010653168542738822
0.32499900000000004  13.4  3.849  0.011289818421923357
0.349999  13.9  3.84  0.011926860441876564
0.374999  14.39  3.827  0.012564234954823157
0.39999900000000005  14.86  3.813  0.013135448222272432
0.44999900000000004  15.77  3.779  0.014296153328780438
0.499999  16.62  3.742  0.01545897797398004
0.549999  17.43  3.701  0.016672432336045033
0.5999990000000001  18.2  3.659  0.01777357589231835
0.649999  18.95  3.617  0.01882817038376273
0.699999  19.66  3.574  0.01993313823761828
0.799999  21.02  3.488  0.022037014316826135
0.899999  22.3  3.404  0.02414725657295255
0.9999990000000001  23.5  3.324  0.026201908327448214
