#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
0.0011  0.6703  2.817  0.0002449489742783178
0.0012  0.6703  2.958  0.0002449489742783178
0.0013000000000000002  0.6977  3.093  0.0002449489742783178
0.0014  0.724  3.223  0.0002449489742783178
0.0015  0.7494  3.347  0.0002449489742783178
0.0016  0.774  3.468  0.0003
0.0017  0.7978  3.585  0.00034641016151377546
0.0018000000000000002  0.8209  3.698  0.00034641016151377546
0.002  0.8653  3.914  0.00034641016151377546
0.0022500000000000003  0.9178  4.167  0.00034641016151377546
0.00249999  0.9675  4.406  0.0004123105625617661
0.00274999  1.015  4.631  0.0004123105625617661
0.00299999  1.06  4.845  0.0004123105625617661
0.00324999  1.103  5.048  0.0004123105625617661
0.00349999  1.145  5.242  0.0004123105625617661
0.00374999  1.185  5.429  0.0004123105625617661
0.00399999  1.224  5.607  0.0004123105625617661
0.004499990000000001  1.298  5.945  0.000469041575982343
0.00499999  1.368  6.261  0.0005830951894845301
0.005499990000000001  1.435  6.557  0.0005830951894845301
0.00599999  1.499  6.836  0.0005830951894845301
0.006499990000000001  1.56  7.1  0.0005830951894845301
0.00699999  1.619  7.351  0.0005830951894845301
0.00799999  1.731  7.82  0.0006557438524302001
0.008999990000000001  1.836  8.25  0.0007071067811865476
0.00999999  1.935  8.647  0.000754983443527075
0.0109999  2.029  9.017  0.000754983443527075
0.0119999  2.12  9.364  0.0008246211251235322
0.0129999  2.206  9.69  0.0008246211251235322
0.013999900000000001  2.289  9.998  0.0008774964387392122
0.0149999  2.37  10.29  0.0009273618495495704
0.0159999  2.448  10.57  0.0009273618495495704
0.016999900000000002  2.523  10.83  0.00099498743710662
0.0179999  2.596  11.08  0.00099498743710662
0.0199999  2.736  11.56  0.00099498743710662
0.0224999  2.902  12.1  0.0011661903789690602
0.024999900000000002  3.059  12.59  0.0011661903789690602
0.0274999  3.209  13.04  0.0012884098726725127
0.0299999  3.351  13.46  0.0013379088160259652
0.0324999  3.488  13.85  0.0013379088160259652
0.0349999  3.62  14.21  0.0014594519519326424
0.037499899999999996  3.747  14.55  0.00150996688705415
0.0399999  3.87  14.87  0.00157797338380595
0.044999899999999995  4.105  15.46  0.001630950643030009
0.0499999  4.327  15.99  0.0018027756377319948
0.0549999  4.538  16.47  0.0019209372712298547
0.059999899999999995  4.74  16.9  0.00197484176581315
0.0649999  4.933  17.31  0.002092844953645635
0.0699999  5.119  17.68  0.002213594362117866
0.0799999  5.473  18.34  0.0023853720883753125
0.0899999  5.805  18.92  0.002557342370508884
0.0999999  6.119  19.43  0.0027294688127912363
0.11  6.418  19.89  0.002901723625709382
0.12  6.703  20.29  0.003023243291566195
