#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  142.1  1795.0  0.007961783719745218
11.0  149.0  1866.0  0.008365404951345752
12.0  155.6  1931.0  0.008820997676000149
13.0  162.0  1993.0  0.009148770409186144
14.0  168.1  2050.0  0.009476813810558905
15.0  174.0  2105.0  0.009848350115628506
16.0  179.7  2156.0  0.010176443386566841
17.0  185.2  2205.0  0.010504760825454333
18.0  190.6  2251.0  0.01079166344916297
20.0  200.9  2337.0  0.011417092449481173
22.5  213.1  2435.0  0.012147839314050874
25.0  224.6  2523.0  0.012932517156377565
27.5  235.6  2603.0  0.013632314550361579
30.0  246.1  2677.0  0.014259382875847047
32.5  256.1  2745.0  0.01495927805744649
35.0  265.8  2808.0  0.015617298101784445
37.5  275.1  2867.0  0.016231450951778772
40.0  284.2  2922.0  0.016889641796083186
45.0  301.4  3021.0  0.018090881681112173
50.0  317.7  3110.0  0.019247337478207213
55.0  333.2  3189.0  0.02036295656332842
60.0  348.0  3260.0  0.0214788267836025
65.0  362.2  3325.0  0.022594910931446485
70.0  375.9  3384.0  0.02371117879819559
80.0  401.9  3489.0  0.025857107340149246
90.0  426.2  3578.0  0.027847621083316978
100.0  449.3  3655.0  0.029867373503540618
110.0  471.2  3722.0  0.031858750760191464
120.0  492.2  3780.0  0.03376284940581882
130.0  512.3  3832.0  0.035628499828087065
140.0  531.6  3878.0  0.037532918884627134
150.0  550.3  3919.0  0.03937118235461059
160.0  568.3  3956.0  0.04123796794217678
170.0  585.8  3988.0  0.04305450034549234
180.0  602.8  4018.0  0.04480546841625473
200.0  635.4  4068.0  0.04842427077406535
225.0  673.9  4118.0  0.05274239281640529
250.0  710.4  4156.0  0.05711295824942007
275.0  745.1  4185.0  0.06127944190346384
300.0  778.2  4208.0  0.06557217397646659
325.0  810.0  4224.0  0.06970351497593218
350.0  840.6  4235.0  0.07387164543991152
375.0  898.6  4243.0  0.07804011788817339
400.0  961.2  4247.0  0.08214706324635106
450.0  1049.0  4247.0  0.09023513728033
500.0  1107.0  4239.0  0.09814764388409944
550.0  1148.0  4225.0  0.1060617744524388
600.0  1179.0  4206.0  0.1140675676956426
650.0  1206.0  4184.0  0.121984138313143
700.0  1230.0  4160.0  0.12996726510933435
800.0  1276.0  4106.0  0.14602787405149745
900.0  1322.0  4048.0  0.16205881648339904
1000.0  1369.0  3988.0  0.17827557320059303
1100.0  1417.0  3927.0  0.19456325449580658
1200.0  1465.0  3866.0  0.21096890766176898
1300.0  1513.0  3807.0  0.22741295037882078
1400.0  1561.0  3748.0  0.2439838929109871
1500.0  1607.0  3691.0  0.26058484222993483
1600.0  1652.0  3635.0  0.27722029146510907
1700.0  1695.0  3581.0  0.2939405552148257
1800.0  1736.0  3528.0  0.3107013035054729
2000.0  1815.0  3427.0  0.34444548189807916
2250.0  1904.0  3309.0  0.3870249733544336
2500.0  1984.0  3200.0  0.42990389623728703
2750.0  2058.0  3098.0  0.47321981150412545
3000.0  2126.0  3004.0  0.5167958397665369
3250.0  2189.0  2916.0  0.5607044230251801
3500.0  2249.0  2834.0  0.6048657867659569
3750.0  2306.0  2758.0  0.64928838739038
4000.0  2360.0  2686.0  0.6940382554297709
4500.0  2463.0  2555.0  0.784051280210676
5000.0  2562.0  2438.0  0.8747991197983683
5500.0  2658.0  2333.0  0.9660838576438383
6000.0  2752.0  2239.0  1.0573409904094326
6500.0  2846.0  2153.0  1.1504597906923997
7000.0  2940.0  2074.0  1.2434196435636682
8000.0  3130.0  1936.0  1.4195344201533122
9000.0  3326.0  1818.0  1.6045423085727595
10000.0  3526.0  1716.0  1.779465369148835
11000.0  3732.0  1626.0  1.9537807963023899
12000.0  3942.0  1546.0  2.1275716415669765
13000.0  4157.0  1476.0  2.300837347575878
14000.0  4376.0  1412.0  2.4640174776165855
15000.0  4597.0  1354.0  2.6171102479643458
16000.0  4821.0  1302.0  2.779412689760195
17000.0  5046.0  1254.0  2.9220164612814896
18000.0  5273.0  1210.0  3.073895347925821
20000.0  5727.0  1132.0  3.357483801896891
22500.0  6293.0  1049.0  3.6910232415957505
25000.0  6853.0  978.8  4.003704247318975
27500.0  7403.0  918.6  4.295774999927254
30000.0  7941.0  866.3  4.577179972428438
