#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  160.3  1869.0  0.007918333157931662
11.0  168.1  1945.0  0.008289752710425083
12.0  175.6  2016.0  0.008618004409374597
13.0  182.7  2083.0  0.00898943824718764
14.0  189.6  2146.0  0.009317725044236924
15.0  196.3  2206.0  0.009646242791885347
16.0  202.7  2262.0  0.010017484714238401
17.0  209.0  2316.0  0.01034601372510205
18.0  215.0  2367.0  0.010644247272588137
20.0  226.6  2462.0  0.011216505694733989
22.5  240.4  2570.0  0.011916375287812987
25.0  253.4  2668.0  0.012616259350536514
27.5  265.8  2758.0  0.013274411474713296
30.0  277.6  2841.0  0.013974262055650739
32.5  288.9  2918.0  0.014603081866510234
35.0  299.8  2989.0  0.01517563837207516
37.5  310.3  3056.0  0.015748333245140578
40.0  320.5  3118.0  0.016418587028121514
45.0  340.0  3232.0  0.017534537347760278
50.0  358.4  3334.0  0.01865073725084346
55.0  375.8  3426.0  0.01964026476399949
60.0  392.6  3509.0  0.02075692655476721
65.0  408.6  3585.0  0.021786463687344947
70.0  424.0  3655.0  0.02274796694212474
80.0  453.3  3779.0  0.024739644298170497
90.0  480.8  3886.0  0.026643948656308432
100.0  506.8  3979.0  0.02850999824622934
110.0  531.5  4061.0  0.03028844664224298
120.0  555.2  4134.0  0.03203919474643519
130.0  577.8  4199.0  0.03381804252170726
140.0  599.7  4257.0  0.035569368844555
150.0  620.7  4309.0  0.03723237838226293
160.0  641.1  4357.0  0.03888573003043662
170.0  660.8  4400.0  0.040548859416757954
180.0  679.9  4439.0  0.04217522969706271
200.0  716.7  4508.0  0.04546537143805162
225.0  760.2  4578.0  0.04939088984823011
250.0  801.3  4634.0  0.05334388437300006
275.0  840.4  4680.0  0.05714551600956982
300.0  877.8  4717.0  0.06094792859482594
325.0  913.7  4747.0  0.06466111660031863
350.0  948.1  4771.0  0.06843865866599082
375.0  981.4  4790.0  0.07215261603018978
400.0  1014.0  4805.0  0.0757509735911031
450.0  1141.0  4824.0  0.08299499984938852
500.0  1235.0  4832.0  0.0901248578362263
550.0  1304.0  4832.0  0.09713140583765892
600.0  1355.0  4826.0  0.10417283715057396
650.0  1396.0  4815.0  0.11115669120660258
700.0  1430.0  4800.0  0.11805062473362858
800.0  1485.0  4761.0  0.1319902269109346
900.0  1534.0  4715.0  0.1459419405106017
1000.0  1579.0  4664.0  0.15993189175395883
1100.0  1624.0  4610.0  0.17401678080001365
1200.0  1669.0  4555.0  0.18807253919698114
1300.0  1714.0  4498.0  0.20225454259422704
1400.0  1759.0  4442.0  0.2164992840634814
1500.0  1804.0  4386.0  0.2307237959119085
1600.0  1849.0  4331.0  0.24515748000010115
1700.0  1894.0  4276.0  0.2594784191411687
1800.0  1938.0  4223.0  0.27388486632159875
2000.0  2024.0  4119.0  0.30295930419777506
2250.0  2127.0  3996.0  0.33939614022554826
2500.0  2225.0  3880.0  0.376082437771295
2750.0  2318.0  3771.0  0.4129771664390176
3000.0  2407.0  3668.0  0.45003805394655244
3250.0  2491.0  3572.0  0.4871713045736582
3500.0  2571.0  3481.0  0.52453611887076
3750.0  2648.0  3395.0  0.5620677984015807
4000.0  2721.0  3314.0  0.5996450033144611
4500.0  2860.0  3165.0  0.6751212779938136
5000.0  2989.0  3032.0  0.750939824486623
5500.0  3109.0  2911.0  0.8269146812096156
6000.0  3223.0  2800.0  0.9030929797091771
6500.0  3331.0  2700.0  0.9793176502034466
7000.0  3435.0  2607.0  1.0522321084247526
8000.0  3632.0  2443.0  1.206738020450172
9000.0  3819.0  2302.0  1.3608729734989964
10000.0  4000.0  2179.0  1.5146535214365033
11000.0  4178.0  2070.0  1.658519393917358
12000.0  4355.0  1973.0  1.8116348031543223
13000.0  4532.0  1887.0  1.954845845584761
14000.0  4711.0  1808.0  2.0977287932428252
15000.0  4892.0  1738.0  2.2403474953676272
16000.0  5075.0  1673.0  2.382674390259819
17000.0  5261.0  1613.0  2.5247558376999546
18000.0  5449.0  1559.0  2.65692151370717
20000.0  5833.0  1461.0  2.9206447250564387
22500.0  6325.0  1357.0  3.2443142095056086
25000.0  6828.0  1269.0  3.5474081594877127
27500.0  7338.0  1193.0  3.8300409318961592
30000.0  7851.0  1127.0  4.1020928560918755
