#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  180.2  2282.0  0.007469270379361026
11.0  189.0  2373.0  0.007777531742140306
12.0  197.4  2457.0  0.008108020720249796
13.0  205.4  2536.0  0.008408329203831163
14.0  213.2  2610.0  0.00871665073293636
15.0  220.7  2680.0  0.009047098982546837
16.0  227.9  2747.0  0.009377632963600144
17.0  234.9  2809.0  0.00968607247546703
18.0  241.7  2869.0  0.009893937537704591
20.0  254.8  2981.0  0.010532805893967665
22.5  270.3  3107.0  0.011171839597846006
25.0  284.9  3221.0  0.011803389343743602
27.5  298.8  3325.0  0.012442266674525186
30.0  312.1  3420.0  0.013052585950684257
32.5  324.8  3509.0  0.013691603266235844
35.0  337.1  3590.0  0.014208800090085018
37.5  348.9  3666.0  0.014847895473770013
40.0  360.3  3738.0  0.015386357593660692
45.0  382.2  3867.0  0.016449012128392393
50.0  402.9  3982.0  0.01748399267901929
55.0  422.5  4085.0  0.01851944923587092
60.0  441.3  4179.0  0.019467408661658078
65.0  459.4  4263.0  0.020503170486536958
70.0  476.7  4341.0  0.021445046047980407
80.0  509.6  4477.0  0.023234887561595818
90.0  540.5  4594.0  0.025098804752417995
100.0  569.8  4695.0  0.026774241352464125
110.0  597.6  4783.0  0.02854435145523541
120.0  624.1  4861.0  0.030220026472523153
130.0  649.6  4929.0  0.03187051929291394
140.0  674.2  4990.0  0.033451606837340414
150.0  697.8  5044.0  0.035102564008915364
160.0  720.7  5093.0  0.0366836475830853
170.0  742.9  5137.0  0.038220544213812546
180.0  764.4  5176.0  0.03977712910706352
200.0  805.8  5243.0  0.042895687428924606
225.0  854.7  5310.0  0.04664772234525497
250.0  900.9  5362.0  0.05035732320129814
275.0  944.9  5402.0  0.0539958331725699
300.0  986.9  5433.0  0.05761119682839439
325.0  1027.0  5456.0  0.06122703651165881
350.0  1066.0  5473.0  0.06486616991930386
375.0  1103.0  5484.0  0.06838691395289014
400.0  1140.0  5491.0  0.07188970719094633
450.0  1281.0  5493.0  0.07879606589164208
500.0  1389.0  5485.0  0.08560759312117122
550.0  1471.0  5468.0  0.09240221858808369
600.0  1535.0  5446.0  0.09911901936560916
650.0  1588.0  5418.0  0.10579730620389159
700.0  1634.0  5388.0  0.11249768886514959
800.0  1714.0  5319.0  0.12595372165998114
900.0  1787.0  5244.0  0.1393195607228217
1000.0  1856.0  5167.0  0.1527422993148918
1100.0  1924.0  5088.0  0.16618727388100452
1200.0  1992.0  5009.0  0.17969401770788032
1300.0  2060.0  4931.0  0.1932183738674974
1400.0  2128.0  4855.0  0.2068249017889287
1500.0  2196.0  4780.0  0.22043271082123908
1600.0  2263.0  4706.0  0.23402232799457406
1700.0  2330.0  4635.0  0.24761312566178717
1800.0  2396.0  4566.0  0.2612830457568956
2000.0  2526.0  4433.0  0.28874211677550615
2250.0  2683.0  4278.0  0.3230030495212081
2500.0  2832.0  4134.0  0.3573447774908709
2750.0  2975.0  4001.0  0.3916412388909013
3000.0  3110.0  3877.0  0.4259107300831948
3250.0  3237.0  3762.0  0.46026498889226847
3500.0  3358.0  3654.0  0.4944920424031109
3750.0  3473.0  3554.0  0.5286927084800773
4000.0  3582.0  3459.0  0.5628672667689959
4500.0  3784.0  3287.0  0.6312113512921009
5000.0  3967.0  3134.0  0.6992671949977347
5500.0  4135.0  2997.0  0.7671653602711739
6000.0  4290.0  2874.0  0.8348213042322291
6500.0  4435.0  2762.0  0.902207941663118
7000.0  4571.0  2659.0  0.9693678352410916
8000.0  4823.0  2479.0  1.098919978888363
9000.0  5056.0  2326.0  1.2398967215054646
10000.0  5277.0  2193.0  1.370906389947906
11000.0  5492.0  2077.0  1.4919306451708805
12000.0  5703.0  1974.0  1.6227094410275675
13000.0  5912.0  1882.0  1.7533865746035586
14000.0  6123.0  1800.0  1.874093300772403
15000.0  6335.0  1725.0  1.9947272745916922
16000.0  6550.0  1658.0  2.1152685408713476
17000.0  6768.0  1596.0  2.2357306568547117
18000.0  6989.0  1539.0  2.3561263803115486
20000.0  7439.0  1439.0  2.5770436880270386
22500.0  8017.0  1332.0  2.8479326133179486
25000.0  8609.0  1242.0  3.098691136592997
27500.0  9208.0  1165.0  3.3491673502528956
30000.0  9812.0  1098.0  3.5795786414045994
