#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  172.1  2188.0  0.0073171032519706875
11.0  180.5  2269.0  0.007647875521999558
12.0  188.5  2344.0  0.007978721702127477
13.0  196.2  2413.0  0.00840119039184329
14.0  203.6  2478.0  0.008676981041814025
15.0  210.7  2539.0  0.009007774419910837
16.0  217.6  2597.0  0.00933862944976403
17.0  224.3  2651.0  0.009646242791885347
18.0  230.8  2702.0  0.009884836872705588
20.0  243.3  2798.0  0.010492378186092988
22.5  258.1  2905.0  0.01124633273560764
25.0  272.1  3001.0  0.011884864324004714
27.5  285.3  3088.0  0.012546314199795891
30.0  298.0  3167.0  0.013184839779079608
32.5  310.2  3239.0  0.01379347671908718
35.0  321.9  3306.0  0.014432255540974876
37.5  333.2  3368.0  0.015063864046120439
40.0  344.1  3425.0  0.015702547564010114
45.0  365.0  3528.0  0.016857935816700694
50.0  384.8  3619.0  0.017942407865166817
55.0  403.5  3699.0  0.019069347130932408
60.0  421.5  3771.0  0.02013181561608391
65.0  438.7  3835.0  0.02119433886678233
70.0  455.2  3893.0  0.022228810134597852
80.0  486.7  3993.0  0.024232622639739184
90.0  516.2  4077.0  0.026236615635405417
100.0  544.1  4148.0  0.028192552207985715
110.0  570.7  4208.0  0.0301029898847274
120.0  596.1  4259.0  0.03198671599273673
130.0  620.4  4303.0  0.033876392960290214
140.0  643.8  4341.0  0.035645616841345304
150.0  666.4  4374.0  0.03752985478255944
160.0  688.3  4402.0  0.03929949109085256
170.0  709.5  4427.0  0.041069331623487616
180.0  730.0  4448.0  0.042839351068847904
200.0  769.5  4481.0  0.04630518329517766
225.0  816.2  4510.0  0.05064869198705925
250.0  860.4  4528.0  0.05494306143636337
275.0  902.3  4537.0  0.0591933273266506
300.0  942.5  4540.0  0.0633492699247592
325.0  981.0  4538.0  0.06760073964092406
350.0  955.3  4531.0  0.07175750831794538
375.0  936.9  4521.0  0.07600980199947899
400.0  936.3  4509.0  0.08026244451796868
450.0  968.9  4477.0  0.08875015492944223
500.0  1026.0  4439.0  0.09725733905469552
550.0  1095.0  4397.0  0.10574715126186617
600.0  1166.0  4353.0  0.11421479764023576
650.0  1237.0  4307.0  0.12258764211779262
700.0  1305.0  4260.0  0.13105697234409167
800.0  1430.0  4166.0  0.14778328728242582
900.0  1538.0  4073.0  0.16447252050114633
1000.0  1630.0  3981.0  0.18123846170170393
1100.0  1708.0  3893.0  0.19800669180611044
1200.0  1777.0  3808.0  0.21483540211054603
1300.0  1837.0  3727.0  0.23176276663864712
1400.0  1890.0  3649.0  0.24878854475236598
1500.0  1939.0  3574.0  0.26589215859065873
1600.0  1983.0  3503.0  0.28309427758257494
1700.0  2025.0  3434.0  0.3003789939393233
1800.0  2065.0  3369.0  0.31777783119657665
2000.0  2140.0  3246.0  0.352835032274291
2250.0  2230.0  3106.0  0.3972499716803011
2500.0  2318.0  2980.0  0.44204222648973257
2750.0  2405.0  2865.0  0.4871784991150574
3000.0  2492.0  2760.0  0.5325956158287448
3250.0  2579.0  2664.0  0.5781606870066488
3500.0  2667.0  2575.0  0.6238299127165994
3750.0  2755.0  2493.0  0.6694390636943739
4000.0  2844.0  2417.0  0.7151349662825892
4500.0  3020.0  2281.0  0.8060608785941668
5000.0  3195.0  2161.0  0.8963906124006432
5500.0  3368.0  2055.0  0.985807374693454
6000.0  3538.0  1961.0  1.0721717213207966
6500.0  3706.0  1876.0  1.1630404851078915
7000.0  3871.0  1800.0  1.24399717443409
8000.0  4193.0  1667.0  1.4155533476347686
9000.0  4507.0  1555.0  1.5769383786312008
10000.0  4814.0  1459.0  1.7380193698575397
11000.0  5118.0  1375.0  1.889014070884598
12000.0  5418.0  1302.0  2.0397889694769895
13000.0  5717.0  1238.0  2.180528546018144
14000.0  6016.0  1180.0  2.31122226538254
15000.0  6315.0  1128.0  2.4516364024871224
16000.0  6614.0  1081.0  2.582051854630344
17000.0  6914.0  1039.0  2.702480018427518
18000.0  7214.0  999.9  2.8227862919463105
20000.0  7815.0  931.1  3.0533400269213384
22500.0  8566.0  858.9  3.3238396621979223
25000.0  9310.0  798.2  3.574148067721873
27500.0  10040.0  746.5  3.8142502330077925
30000.0  10760.0  701.8  4.034315684227004
