#Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
10.0  100.7  1544.0  0.008290355842785037
11.0  105.7  1597.0  0.008777812939451377
12.0  110.4  1646.0  0.00910274683818022
13.0  114.9  1692.0  0.009556673061269807
14.0  119.2  1734.0  0.009962931295557548
15.0  123.4  1774.0  0.010416813332300814
16.0  127.4  1811.0  0.010742439201596628
17.0  131.4  1847.0  0.011114854924829205
18.0  135.2  1880.0  0.011487384384619503
20.0  142.5  1941.0  0.012218837915284742
22.5  151.1  2009.0  0.013081666560496029
25.0  159.3  2070.0  0.01394166417613048
27.5  167.1  2125.0  0.014756015722409624
30.0  174.5  2174.0  0.015583003561573102
32.5  181.6  2220.0  0.016397560794215706
35.0  188.5  2261.0  0.017179639111459824
37.5  195.1  2299.0  0.017878758346149208
40.0  201.5  2334.0  0.018661457606521523
45.0  213.7  2396.0  0.020175975812832453
50.0  225.3  2451.0  0.02157475376452765
55.0  236.3  2498.0  0.022973680593235384
60.0  246.8  2540.0  0.024488568761771277
65.0  256.9  2578.0  0.025759852484049668
70.0  266.5  2611.0  0.027115678121706635
80.0  285.0  2667.0  0.029755167618415464
90.0  302.2  2713.0  0.032383637843824774
100.0  318.6  2751.0  0.034981709506540705
110.0  334.1  2783.0  0.03749519969276067
120.0  349.0  2808.0  0.0400396053926609
130.0  363.2  2830.0  0.042511763077999955
140.0  377.0  2848.0  0.0449956664580046
150.0  390.2  2862.0  0.047382908310908904
160.0  403.0  2874.0  0.049856393772514274
170.0  415.4  2884.0  0.05225523897180072
180.0  427.4  2892.0  0.05464302334241765
200.0  450.6  2902.0  0.05947570932742207
225.0  477.9  2908.0  0.06542545376227818
250.0  503.7  2908.0  0.0712896205628842
275.0  526.9  2904.0  0.07721249898818196
300.0  545.6  2896.0  0.08316525716908475
325.0  561.9  2885.0  0.0890027527664173
350.0  577.1  2873.0  0.09492823605229374
375.0  592.3  2858.0  0.10081517742879789
400.0  607.6  2843.0  0.1068297243280165
450.0  639.6  2810.0  0.11873403050515889
500.0  672.9  2775.0  0.1306129396346319
550.0  706.5  2738.0  0.14265934950083012
600.0  739.9  2701.0  0.15471890640771735
650.0  772.7  2665.0  0.16685772382482028
700.0  804.7  2628.0  0.17897153404941246
800.0  865.3  2557.0  0.20337086812028907
900.0  921.2  2489.0  0.2279805693474775
1000.0  972.4  2424.0  0.25280098892211633
1100.0  1019.0  2362.0  0.2777438388155532
1200.0  1062.0  2304.0  0.30292573347274415
1300.0  1100.0  2249.0  0.3283183363749274
1400.0  1136.0  2196.0  0.3538708945364114
1500.0  1169.0  2147.0  0.37957389267440406
1600.0  1199.0  2100.0  0.4055433638958971
1700.0  1227.0  2055.0  0.43158371146279373
1800.0  1253.0  2012.0  0.4579254306107055
2000.0  1300.0  1933.0  0.511133730055061
2250.0  1353.0  1844.0  0.578682728271719
2500.0  1400.0  1765.0  0.6471305896030569
2750.0  1444.0  1693.0  0.7165472978108284
3000.0  1487.0  1627.0  0.786675110830386
3250.0  1528.0  1568.0  0.857477148383559
3500.0  1570.0  1513.0  0.9287787734439241
3750.0  1612.0  1463.0  1.0004809743318461
4000.0  1655.0  1417.0  1.0725776288921935
4500.0  1745.0  1334.0  1.214389105682359
5000.0  1842.0  1261.0  1.3607094105649449
5500.0  1945.0  1198.0  1.5065831540276826
6000.0  2056.0  1141.0  1.6425861682115799
6500.0  2173.0  1091.0  1.7874015581284468
7000.0  2297.0  1045.0  1.922322483351844
8000.0  2560.0  965.8  2.181111352040514
9000.0  2842.0  899.5  2.437820380996106
10000.0  3136.0  842.9  2.6737023712447874
11000.0  3441.0  793.9  2.898401844120307
12000.0  3751.0  751.0  3.1026289014318165
13000.0  4065.0  713.2  3.3055982711152305
14000.0  4379.0  679.5  3.4979510831342395
15000.0  4692.0  649.2  3.670268807594343
16000.0  5003.0  621.9  3.8418261660309407
17000.0  5310.0  597.0  4.0031298555005685
18000.0  5612.0  574.3  4.163871012651568
20000.0  6199.0  534.4  4.455242897979862
22500.0  6897.0  492.4  4.786135008542906
25000.0  7552.0  457.3  5.096155329265387
27500.0  8165.0  427.3  5.375932835331929
30000.0  8739.0  401.5  5.645186453962349
